数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-4	9-7	7	10	12	7	10	12	2.58	
1	20-11-4	7-48	7	9	9	7	9	9	2.64	
2	20-11-4	7-59	7	12	13	7	12	13	2.88	
3	20-11-4	8-0	8	12	13	8	12	13	2.90	
4	20-11-4	8-6	9	12	13	9	12	13	3.28	
5	20-11-4	8-11	8	13	14	8	13	14	3.44	
6	20-11-4	8-17	9	13	14	9	13	14	3.69	
7	20-11-4	8-22	8	13	14	8	13	14	3.76	
8	20-11-4	8-28	7	11	11	7	11	11	3.80	
9	20-11-4	8-33	8	12	12	8	12	12	3.81	
10	20-11-4	8-39	7	10	11	7	10	11	3.82	
11	20-11-4	8-44	7	11	11	7	11	11	3.82	
12	20-11-4	8-50	8	12	13	8	12	13	3.84	
13	20-11-4	8-55	8	11	14	8	11	14	3.84	
14	20-11-4	9-1	9	12	12	9	12	12	3.85	
15	20-11-4	9-6	7	11	12	7	11	12	3.87	
16	20-11-4	9-12	7	11	13	7	11	13	3.88	
17	20-11-4	9-17	7	10	10	7	10	10	3.88	
18	20-11-4	9-23	6	10	10	6	10	10	3.89	
19	20-11-4	9-28	5	9	10	5	9	10	3.90	
20	100-11-4	9-34	6	9	9	6	9	9	3.91	
21	20-11-4	9-39	6	9	9	6	9	9	3.91	
22	20-11-4	9-45	6	10	11	6	10	11	3.94	
23	20-11-4	9-50	6	9	9	6	9	9	3.92	
24	20-11-4	9-56	6	9	9	6	9	9	3.93	
25	20-11-4	10-1	14	19	22	14	19	22	3.93	
26	20-11-4	10-7	13	21	22	13	21	22	3.94	
27	20-11-4	10-12	9	11	15	9	11	15	3.94	
28	20-11-4	10-18	8	11	13	8	11	13	3.95	
29	20-11-4	10-23	7	10	10	7	10	10	3.95	
30	20-11-4	10-29	5	8	9	5	8	9	3.96	
31	20-11-4	10-34	6	10	10	6	10	10	3.97	
32	20-11-4	10-40	6	9	10	6	9	10	3.97	
33	20-11-4	10-45	6	9	10	6	9	10	4.00	
34	20-11-4	10-51	5	7	9	5	7	9	4.01	
35	20-11-4	10-56	5	8	10	5	8	10	4.02	
36	20-11-4	11-2	6	9	9	6	9	9	4.03	
37	20-11-4	11-7	7	9	12	7	9	12	4.05	
38	20-11-4	11-13	5	9	10	5	9	10	4.06	
39	20-11-4	11-18	6	10	11	6	10	11	4.08	
40	20-11-4	11-24	6	11	12	6	11	12	4.09	
41	20-11-4	11-29	7	10	10	7	10	10	4.11	
42	20-11-4	11-35	6	9	10	6	9	10	4.13	
43	20-11-4	11-40	5	10	11	5	10	11	4.19	
44	20-11-4	11-46	6	10	10	6	10	10	4.17	
45	20-11-4	11-51	8	11	13	8	11	13	4.18	
46	20-11-4	11-57	7	10	10	7	10	10	4.20	
47	20-11-4	12-2	8	11	12	8	11	12	4.21	
48	20-11-4	12-8	7	10	11	7	10	11	4.22	
