数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-4	0-18	5	8	9	5	8	9	4.17	
1	20-11-4	0-23	5	7	8	5	7	8	4.16	
2	20-11-4	0-29	5	7	7	5	7	7	4.16	
3	20-11-4	0-34	5	7	7	5	7	7	4.16	
4	20-11-4	0-40	5	6	7	5	6	7	4.16	
5	20-11-4	0-46	4	6	6	4	6	6	4.16	
6	20-11-4	0-51	4	6	6	4	6	6	4.16	
7	20-11-4	0-57	5	7	7	5	7	7	4.16	
8	20-11-4	1-2	5	7	8	5	7	8	4.15	
9	20-11-4	1-8	4	7	8	4	7	8	4.15	
10	20-11-4	1-13	6	8	8	6	8	8	4.15	
11	20-11-4	1-19	7	10	10	7	10	10	4.15	
12	20-11-4	1-24	7	11	12	7	11	12	4.15	
13	20-11-4	1-30	7	11	14	7	11	14	4.15	
14	20-11-4	1-35	6	9	9	6	9	9	4.14	
15	20-11-4	1-41	8	11	11	8	11	11	4.14	
16	20-11-4	1-46	6	9	11	6	9	11	4.14	
17	20-11-4	1-52	5	8	8	5	8	8	4.14	
18	20-11-4	1-57	6	8	9	6	8	9	4.14	
19	20-11-4	2-3	4	7	7	4	7	7	4.13	
20	20-11-4	2-9	5	7	8	5	7	8	4.14	
21	20-11-4	2-14	4	6	8	4	6	8	4.14	
22	20-11-4	2-20	5	7	7	5	7	7	4.14	
23	20-11-4	2-25	5	7	7	5	7	7	4.14	
24	20-11-4	2-31	5	7	7	5	7	7	4.14	
25	20-11-4	2-36	5	7	7	5	7	7	4.14	
26	20-11-4	2-42	5	7	8	5	7	8	4.13	
27	20-11-4	2-47	5	8	9	5	8	9	4.13	
28	20-11-4	2-53	5	8	9	5	8	9	4.13	
29	20-11-4	2-58	4	7	7	4	7	7	4.13	
30	20-11-4	3-4	5	7	7	5	7	7	4.13	
31	20-11-4	3-9	6	7	7	6	7	7	4.13	
32	20-11-4	3-15	6	8	9	6	8	9	4.13	
33	20-11-4	3-21	5	7	8	5	7	8	4.13	
34	20-11-4	3-26	5	7	8	5	7	8	4.12	
35	20-11-4	3-32	5	8	10	5	8	10	4.12	
36	20-11-4	3-37	6	8	8	6	8	8	4.12	
37	20-11-4	3-43	6	8	8	6	8	8	4.12	
38	20-11-4	3-48	5	7	7	5	7	7	4.12	
39	20-11-4	3-54	5	7	8	5	7	8	4.12	
40	20-11-4	3-59	6	8	9	6	8	9	4.12	
41	20-11-4	4-5	5	8	8	5	8	8	4.12	
42	20-11-4	4-10	5	8	9	5	8	9	4.12	
43	20-11-4	4-16	5	9	10	5	9	10	4.11	
44	20-11-4	4-21	6	7	7	6	7	7	4.12	
45	20-11-4	4-27	6	8	9	6	8	9	4.12	
46	20-11-4	4-32	6	9	10	6	9	10	4.11	
47	20-11-4	4-38	5	6	7	5	6	7	4.11	
48	20-11-4	4-44	6	9	10	6	9	10	4.11	
49	20-11-4	4-49	6	8	8	6	8	8	4.09	
50	20-11-4	4-55	6	8	9	6	8	9	4.11	
51	20-11-4	5-0	7	9	9	7	9	9	4.11	
52	20-11-4	5-6	7	9	9	7	9	9	4.09	
53	20-11-4	5-11	7	9	9	7	9	9	4.11	
54	20-11-4	5-17	7	9	9	7	9	9	4.11	
55	20-11-4	5-22	7	9	9	7	9	9	4.11	
56	20-11-4	5-28	7	9	10	7	9	10	4.10	
57	20-11-4	5-33	5	8	8	5	8	8	4.11	
58	20-11-4	5-39	7	10	10	7	10	10	4.09	
59	20-11-4	5-44	7	9	9	7	9	9	4.10	
60	20-11-4	5-50	6	7	8	6	7	8	4.11	
61	20-11-4	5-55	7	9	9	7	9	9	4.10	
62	20-11-4	6-1	6	8	8	6	8	8	4.10	
63	20-11-4	6-7	6	9	9	6	9	9	4.12	
64	20-11-4	6-12	7	9	10	7	9	10	4.10	
65	20-11-4	6-18	7	10	11	7	10	11	4.10	
66	20-11-4	6-23	7	10	11	7	10	11	4.09	
67	20-11-4	6-29	8	12	14	8	12	14	4.10	
68	20-11-4	6-34	8	10	10	8	10	10	4.10	
69	20-11-4	6-40	8	11	11	8	11	11	4.10	
70	20-11-4	6-45	8	11	11	8	11	11	4.10	
71	20-11-4	6-51	8	11	11	8	11	11	4.10	
72	20-11-4	6-56	8	11	11	8	11	11	4.10	
73	20-11-4	7-2	9	12	13	9	12	13	4.10	
74	20-11-4	7-7	8	13	15	8	13	15	4.11	
75	20-11-4	7-13	10	13	14	10	13	14	4.10	
76	20-11-4	7-18	10	13	14	10	13	14	4.09	
77	20-11-4	7-24	11	15	17	11	15	17	4.09	
78	20-11-4	7-30	10	15	17	10	15	17	4.09	
79	20-11-4	7-35	10	13	15	10	13	15	4.09	
80	20-11-4	7-41	10	15	15	10	15	15	4.09	
81	20-11-4	7-46	11	15	15	11	15	15	4.09	
82	20-11-4	7-52	9	11	11	9	11	11	4.09	
83	20-11-4	7-57	10	14	16	10	14	16	4.08	
84	20-11-4	8-3	10	13	13	10	13	13	4.09	
85	20-11-4	8-8	11	14	15	11	14	15	4.09	
86	20-11-4	8-14	9	13	14	9	13	14	4.09	
87	20-11-4	8-19	11	15	15	11	15	15	4.08	
88	20-11-4	8-25	12	15	15	12	15	15	4.09	
89	20-11-4	8-30	13	17	18	13	17	18	4.08	
90	20-11-4	8-36	12	17	18	12	17	18	4.08	
91	20-11-4	8-42	13	17	17	13	17	17	4.08	
92	20-11-4	8-47	12	17	17	12	17	17	4.08	
93	20-11-4	8-53	12	17	17	12	17	17	4.07	
94	20-11-4	8-58	11	16	17	11	16	17	4.08	
95	20-11-4	9-4	13	18	20	13	18	20	4.08	
96	20-11-4	9-9	10	13	14	10	13	14	4.08	
97	20-11-4	9-15	11	13	15	11	13	15	4.08	
98	20-11-4	9-20	10	14	14	10	14	14	4.08	
99	20-11-4	9-26	9	12	12	9	12	12	4.06	
100	20-11-4	9-31	10	14	15	10	14	15	4.08	
101	20-11-4	9-37	10	14	14	10	14	14	4.08	
102	20-11-4	9-42	10	12	13	10	12	13	4.08	
103	20-11-4	9-48	10	12	12	10	12	12	4.07	
104	20-11-4	9-53	10	14	14	10	14	14	4.08	
105	20-11-4	9-59	9	12	13	9	12	13	4.08	
106	20-11-4	10-5	10	12	13	10	12	13	4.07	
107	20-11-4	10-10	9	12	13	9	12	13	4.08	
108	20-11-4	10-16	9	11	11	9	11	11	4.08	
109	20-11-4	10-21	9	12	12	9	12	12	4.07	
110	20-11-4	10-27	9	12	14	9	12	14	4.07	
111	20-11-4	10-32	8	10	11	8	10	11	4.07	
112	20-11-4	10-38	9	10	11	9	10	11	4.08	
113	20-11-4	10-43	9	12	13	9	12	13	4.07	
114	20-11-4	10-49	10	14	14	10	14	14	4.07	
115	20-11-4	10-54	8	11	11	8	11	11	4.07	
116	20-11-4	11-0	7	10	11	7	10	11	4.08	
117	20-11-4	11-5	8	11	12	8	11	12	4.07	
118	20-11-4	11-11	9	12	14	9	12	14	4.07	
119	20-11-4	11-16	9	12	13	9	12	13	4.07	
120	20-11-4	11-22	9	12	13	9	12	13	4.07	
121	20-11-4	11-28	9	12	12	9	12	12	4.07	
122	20-11-4	11-33	10	13	13	10	13	13	4.07	
123	20-11-4	11-39	10	13	14	10	13	14	4.07	
124	20-11-4	11-44	10	13	14	10	13	14	4.07	
125	20-11-4	11-50	10	14	14	10	14	14	4.07	
126	20-11-4	11-55	9	12	12	9	12	12	4.07	
127	20-11-4	12-1	8	12	13	8	12	13	4.07	
128	20-11-4	12-6	8	12	13	8	12	13	4.07	
129	20-11-4	12-12	9	12	13	9	12	13	4.06	
130	20-11-4	12-17	9	12	13	9	12	13	4.07	
131	20-11-4	12-23	11	15	15	11	15	15	4.06	
132	20-11-4	12-28	11	13	14	11	13	14	4.07	
133	20-11-4	12-34	12	15	15	12	15	15	4.06	
134	20-11-4	12-39	12	15	16	12	15	16	4.06	
135	20-11-4	12-45	11	16	17	11	16	17	4.06	
136	20-11-4	12-51	12	14	15	12	14	15	4.05	
137	20-11-4	12-56	11	14	14	11	14	14	4.07	
138	20-11-4	13-2	11	14	15	11	14	15	4.06	
139	20-11-4	13-7	10	12	12	10	12	12	4.06	
140	20-11-4	13-13	9	13	13	9	13	13	4.06	
141	20-11-4	13-18	9	11	11	9	11	11	4.06	
142	20-11-4	13-24	13	17	18	13	17	18	4.06	
143	20-11-4	13-29	12	18	19	12	18	19	4.06	
144	20-11-4	13-35	13	18	19	13	18	19	4.05	
145	20-11-4	13-40	13	19	21	13	19	21	4.06	
146	20-11-4	13-46	12	16	16	12	16	16	4.04	
147	20-11-4	13-51	14	17	17	14	17	17	4.06	
148	20-11-4	13-57	16	21	25	16	21	25	4.06	
149	20-11-4	14-3	14	18	19	14	18	19	4.06	
150	20-11-4	14-8	10	15	16	10	15	16	4.06	
151	20-11-4	14-14	12	14	15	12	14	15	4.06	
152	20-11-4	14-19	9	12	13	9	12	13	4.06	
153	20-11-4	14-25	15	23	25	15	23	25	4.06	
154	20-11-4	14-30	10	14	15	10	14	15	4.06	
155	20-11-4	14-36	10	15	16	10	15	16	4.04	
156	20-11-4	14-41	10	14	15	10	14	15	4.06	
157	20-11-4	14-47	10	12	13	10	12	13	4.06	
158	20-11-4	14-52	10	12	14	10	12	14	4.06	
159	20-11-4	14-58	9	12	13	9	12	13	4.06	
160	20-11-4	15-3	9	13	14	9	13	14	4.06	
161	20-11-4	15-9	8	10	11	8	10	11	4.05	
162	20-11-4	15-14	9	11	13	9	11	13	4.05	
163	20-11-4	15-20	9	12	12	9	12	12	4.06	
164	20-11-4	15-26	9	11	11	9	11	11	4.05	
165	20-11-4	15-31	8	10	12	8	10	12	4.06	
166	20-11-4	15-37	9	12	12	9	12	12	4.06	
167	20-11-4	15-42	7	9	9	7	9	9	4.06	
168	20-11-4	15-48	8	10	10	8	10	10	4.05	
169	20-11-4	15-53	8	10	11	8	10	11	4.05	
170	20-11-4	15-59	8	11	11	8	11	11	4.06	
171	20-11-4	16-4	9	13	13	9	13	13	4.07	
172	20-11-4	16-10	7	10	10	7	10	10	4.05	
173	20-11-4	16-15	7	10	10	7	10	10	4.05	
174	20-11-4	16-21	8	11	12	8	11	12	4.06	
175	20-11-4	16-26	7	10	10	7	10	10	4.05	
176	20-11-4	16-32	8	10	11	8	10	11	4.05	
177	20-11-4	16-37	6	10	10	6	10	10	4.05	
178	20-11-4	16-43	7	9	9	7	9	9	4.05	
179	20-11-4	16-49	7	10	10	7	10	10	4.05	
180	20-11-4	16-54	8	11	11	8	11	11	4.05	
181	20-11-4	17-0	7	10	10	7	10	10	4.05	
182	20-11-4	17-5	6	8	8	6	8	8	4.05	
183	20-11-4	17-11	7	10	10	7	10	10	4.05	
184	20-11-4	17-16	7	9	9	7	9	9	4.05	
185	20-11-4	17-22	7	9	9	7	9	9	4.05	
186	20-11-4	17-27	8	10	11	8	10	11	4.05	
187	20-11-4	17-33	7	9	9	7	9	9	4.05	
188	20-11-4	17-38	7	10	10	7	10	10	4.05	
189	20-11-4	17-44	7	10	12	7	10	12	4.05	
190	20-11-4	17-49	8	10	11	8	10	11	4.05	
191	20-11-4	17-55	7	9	9	7	9	9	4.05	
192	20-11-4	18-1	7	10	10	7	10	10	4.05	
193	20-11-4	18-6	7	10	10	7	10	10	4.05	
194	20-11-4	18-12	7	10	10	7	10	10	4.05	
195	20-11-4	18-14	8	10	10	8	10	10	4.02	
196	20-11-4	18-19	5	9	9	5	9	9	4.33	
197	20-11-4	18-24	6	10	11	6	10	11	4.33	
198	20-11-4	18-30	6	10	13	6	10	13	4.33	
199	20-11-4	18-35	6	8	8	6	8	8	4.32	
200	20-11-4	18-41	7	11	11	7	11	11	4.30	
201	20-11-4	18-46	6	9	9	6	9	9	4.30	
202	20-11-4	18-52	6	8	10	6	8	10	4.28	
203	20-11-4	18-57	6	9	10	6	9	10	4.27	
204	20-11-4	19-3	7	10	10	7	10	10	4.26	
205	20-11-4	19-8	7	10	12	7	10	12	4.20	
206	20-11-4	19-14	8	12	13	8	12	13	4.20	
