数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
1	20-11-4	0-0	2	5	5	2	5	5	4.15
2	20-11-4	0-6	2	5	10	2	5	10	4.15
3	20-11-4	0-11	2	5	5	2	5	5	4.15
4	20-11-4	0-17	4	5	5	4	5	5	4.15
5	20-11-4	0-22	4	7	8	4	7	8	4.15
6	20-11-4	0-28	4	6	6	4	6	6	4.15
7	20-11-4	0-34	2	5	6	2	5	6	4.15
8	20-11-4	0-39	4	6	8	4	6	8	4.15
9	20-11-4	0-45	4	6	6	4	6	6	4.15
10	20-11-4	0-50	2	5	8	2	5	8	4.15
11	20-11-4	0-56	4	5	6	4	5	6	4.15
12	20-11-4	1-1	4	6	6	4	6	6	4.15
13	20-11-4	1-7	2	5	5	2	5	5	4.15
14	20-11-4	1-12	5	8	9	5	8	9	4.15
15	20-11-4	1-18	6	11	12	6	11	12	4.15
16	20-11-4	1-23	6	11	12	6	11	12	4.15
17	20-11-4	1-29	6	8	9	6	8	9	4.15
18	20-11-4	1-34	5	8	9	5	8	9	4.15
19	20-11-4	1-40	6	11	15	6	11	15	4.15
20	20-11-4	1-45	6	9	11	6	9	11	4.15
21	20-11-4	1-51	5	8	12	5	8	12	4.15
22	20-11-4	1-56	5	8	9	5	8	9	4.15
23	20-11-4	2-2	5	9	9	5	9	9	4.15
24	20-11-4	2-7	6	9	11	6	9	11	4.15
25	20-11-4	2-13	6	12	13	6	12	13	4.15
26	20-11-4	2-18	5	9	12	5	9	12	4.15
27	20-11-4	2-24	5	8	8	5	8	8	4.15
28	20-11-4	2-29	5	8	9	5	8	9	4.15
29	20-11-4	2-35	5	9	9	5	9	9	4.15
30	20-11-4	2-40	4	8	8	4	8	8	4.15
31	20-11-4	2-46	6	9	11	6	9	11	4.15
32	20-11-4	2-51	4	5	5	4	5	5	4.15
33	20-11-4	2-57	4	6	6	4	6	6	4.15
34	20-11-4	3-2	4	8	8	4	8	8	4.15
35	20-11-4	3-8	4	6	9	4	6	9	4.15
36	20-11-4	3-13	4	6	8	4	6	8	4.15
