数据排序	年月日	时分	PM1.0标	PM2.5标	PM10标	PM1.0气	PM2.5气	PM10气	电压
1020	20-11-8	6-52	108	174	205	71	115	135	3.62
1021	20-11-8	6-58	110	180	221	72	119	146	3.61
1022	20-11-8	7-3	110	173	204	72	115	135	3.62
1023	20-11-8	7-9	108	173	200	71	115	132	3.62
1024	20-11-8	7-15	108	178	217	72	118	144	3.62
1025	20-11-8	7-20	105	173	198	69	115	131	3.62
1026	20-11-8	7-26	110	171	202	72	113	133	3.62
1027	20-11-8	7-31	101	166	201	66	110	133	3.62
1028	20-11-8	7-37	101	168	210	66	111	139	3.62
1029	20-11-8	7-42	105	172	202	69	114	134	3.62
1030	20-11-8	7-48	96	153	182	63	101	121	3.62
1031	20-11-8	7-53	93	151	175	61	99	116	3.62
1032	20-11-8	7-59	97	153	177	64	101	118	3.62
1033	20-11-8	8-4	98	151	180	64	100	119	3.61
1034	20-11-8	8-10	96	152	171	63	100	114	3.62
1035	20-11-8	8-15	97	147	171	63	97	114	3.61
1036	20-11-8	8-21	92	148	171	60	98	113	3.62
1037	20-11-8	8-26	87	137	153	57	90	102	3.62
1038	20-11-8	8-32	91	137	153	60	90	102	3.61
1039	20-11-8	8-38	83	133	145	55	88	96	3.61
1040	20-11-8	8-43	80	127	140	52	83	92	3.62
1041	20-11-8	8-49	82	124	146	54	82	96	3.62
1042	20-11-8	8-54	80	117	132	52	77	87	3.62
1043	20-11-8	9-0	79	123	133	52	81	87	3.62
1044	20-11-8	9-5	75	111	126	49	73	83	3.62
1045	20-11-8	9-11	75	114	127	49	75	84	3.61
1046	20-11-8	9-16	80	118	134	53	78	89	3.61
1047	20-11-8	9-22	77	114	128	50	75	84	3.62
1048	20-11-8	9-27	73	109	124	48	72	82	3.62
1049	20-11-8	9-33	73	113	128	48	74	85	3.62
1050	20-11-8	9-38	73	107	121	48	70	82	3.61
1051	20-11-8	9-44	67	103	114	44	68	79	3.61
1052	20-11-8	9-49	67	99	111	44	65	78	3.62
1053	20-11-8	9-55	63	91	103	41	60	74	3.61
1054	20-11-8	10-1	55	81	89	36	54	69	3.62
1055	20-11-8	10-6	48	67	75	34	50	63	3.62
1056	20-11-8	10-12	51	73	81	35	51	65	3.61
1057	20-11-8	10-17	45	67	74	33	49	63	3.61
1058	20-11-8	10-23	45	67	74	33	49	63	3.62
1059	20-11-8	10-28	44	64	71	32	48	60	3.59
1060	20-11-8	10-34	41	62	70	31	47	60	3.61
1061	20-11-8	10-39	37	51	54	28	42	51	3.61
1062	20-11-8	10-45	35	50	56	29	42	51	3.61
1063	20-11-8	10-50	34	46	48	28	40	47	3.61
1064	20-11-8	10-56	33	47	56	28	40	51	3.61
1065	20-11-8	11-1	30	42	50	26	37	49	3.59
1066	20-11-8	11-7	25	38	40	23	35	40	3.61
1067	20-11-8	11-12	28	37	39	24	34	39	3.61
1068	20-11-8	11-18	23	32	36	22	31	36	3.61
1069	20-11-8	11-23	23	32	35	22	31	35	3.61
1070	20-11-8	11-29	22	31	34	21	31	34	3.61
1071	20-11-8	11-35	20	29	31	20	29	31	3.61
1072	20-11-8	11-40	19	29	29	19	29	29	3.61
1073	20-11-8	11-46	19	26	32	19	26	32	3.61
1074	20-11-8	11-51	17	25	29	17	25	29	3.61
1075	20-11-8	11-57	16	22	25	16	22	25	3.61
1076	20-11-8	12-2	14	22	24	14	22	24	3.61
1077	20-11-8	12-8	14	20	24	14	20	24	3.60
1078	20-11-8	12-13	14	20	22	14	20	22	3.61
1079	20-11-8	12-19	15	23	30	15	23	30	3.61
1080	20-11-8	12-24	12	17	19	12	17	19	3.61
1081	20-11-8	12-30	11	15	19	11	15	19	3.61
1082	20-11-8	12-35	12	17	18	12	17	18	3.61
1083	20-11-8	12-41	13	18	22	13	18	22	3.61
1084	20-11-8	12-46	14	20	23	14	20	23	3.60
1085	20-11-8	12-52	13	19	21	13	19	21	3.61
1086	20-11-8	12-58	12	17	19	12	17	19	3.61
1087	20-11-8	13-3	13	20	22	13	20	22	3.61
1088	20-11-8	13-9	12	18	22	12	18	22	3.61
1089	20-11-8	13-14	14	20	23	14	20	23	3.60
1090	20-11-8	13-20	14	19	21	14	19	21	3.60
1091	20-11-8	13-25	13	18	23	13	18	23	3.61
1092	20-11-8	13-31	12	17	18	12	17	18	3.60
1093	20-11-8	13-36	11	16	17	11	16	17	3.61
1094	20-11-8	13-42	10	16	20	10	16	20	3.61
1095	20-11-8	13-47	12	17	19	12	17	19	3.60
1096	20-11-8	13-53	12	16	20	12	16	20	3.60
1097	20-11-8	13-58	10	15	19	10	15	19	3.60
1098	20-11-8	14-4	11	16	17	11	16	17	3.61
1099	20-11-8	14-9	13	19	22	13	19	22	3.60
1100	20-11-8	14-15	11	15	17	11	15	17	3.60
1101	20-11-8	14-21	11	16	18	11	16	18	3.60
1102	20-11-8	14-26	10	16	20	10	16	20	3.60
1103	20-11-8	14-32	10	15	17	10	15	17	3.60
1104	20-11-8	14-37	10	14	16	10	14	16	3.60
1105	20-11-8	14-43	11	14	18	11	14	18	3.60
1106	20-11-8	14-48	11	15	17	11	15	17	3.60
1107	20-11-8	14-54	9	14	17	9	14	17	3.60
1108	20-11-8	14-59	10	14	14	10	14	14	3.60
1109	20-11-8	15-5	9	14	15	9	14	15	3.60
1110	20-11-8	15-10	9	14	17	9	14	17	3.59
1111	20-11-8	15-16	8	12	15	8	12	15	3.60
1112	20-11-8	15-21	7	10	13	7	10	13	3.60
1113	20-11-8	15-27	7	11	14	7	11	14	3.60
1114	20-11-8	15-32	6	9	11	6	9	11	3.60
1115	20-11-8	15-38	7	10	11	7	10	11	3.60
1116	20-11-8	15-43	7	13	15	7	13	15	3.60
1117	20-11-8	15-49	7	10	11	7	10	11	3.60
1118	20-11-8	15-55	7	11	11	7	11	11	3.60
1119	20-11-8	16-0	6	11	13	6	11	13	3.60
1120	20-11-8	16-6	6	8	11	6	8	11	3.60
1121	20-11-8	16-11	6	10	13	6	10	13	3.60
1122	20-11-8	16-17	7	9	11	7	9	11	3.60
1123	20-11-8	16-22	6	9	10	6	9	10	3.60
1124	20-11-8	16-28	7	10	10	7	10	10	3.60
1125	20-11-8	16-33	6	9	10	6	9	10	3.59
1126	20-11-8	16-39	6	9	10	6	9	10	3.60
1127	20-11-8	16-44	6	10	11	6	10	11	3.60
1128	20-11-8	16-50	6	8	9	6	8	9	3.60
1129	20-11-8	16-55	5	7	7	5	7	7	3.60
1130	20-11-8	17-1	6	8	9	6	8	9	3.60
1131	20-11-8	17-6	7	10	11	7	10	11	3.60
1132	20-11-8	17-12	6	8	9	6	8	9	3.60
1133	20-11-8	17-18	7	10	10	7	10	10	3.59
1134	20-11-8	17-23	6	10	11	6	10	11	3.59
1135	20-11-8	17-29	6	10	12	6	10	12	3.60
1136	20-11-8	17-34	6	10	11	6	10	11	3.59
1137	20-11-8	17-40	7	11	11	7	11	11	3.59
1138	20-11-8	17-45	7	10	11	7	10	11	3.59
1139	20-11-8	17-51	5	9	11	5	9	11	3.59
1140	20-11-8	17-56	7	9	10	7	9	10	3.59
1141	20-11-8	18-2	6	9	12	6	9	12	3.59
1142	20-11-8	18-7	8	11	16	8	11	16	3.59
1143	20-11-8	18-13	8	12	13	8	12	13	3.59
1144	20-11-8	18-18	8	11	14	8	11	14	3.58
1145	20-11-8	18-24	9	13	16	9	13	16	3.59
1146	20-11-8	18-29	11	17	20	11	17	20	3.59
1147	20-11-8	18-35	11	14	18	11	14	18	3.59
1148	20-11-8	18-41	10	15	20	10	15	20	3.59
1149	20-11-8	18-46	11	16	21	11	16	21	3.59
1150	20-11-8	18-52	11	14	20	11	14	20	3.59
1151	20-11-8	18-57	12	19	25	12	19	25	3.59
1152	20-11-8	19-3	11	16	21	11	16	21	3.59
1153	20-11-8	19-8	10	17	20	10	17	20	3.59
1154	20-11-8	19-14	11	17	24	11	17	24	3.59
1155	20-11-8	19-19	10	15	17	10	15	17	3.59
1156	20-11-8	19-25	9	12	16	9	12	16	3.58
1157	20-11-8	19-30	11	15	19	11	15	19	3.59
1158	20-11-8	19-36	9	13	14	9	13	14	3.59
1159	20-11-8	19-41	10	13	15	10	13	15	3.59
1160	20-11-8	19-47	10	13	16	10	13	16	3.59
1161	20-11-8	19-52	10	15	21	10	15	21	3.59
1162	20-11-8	19-58	9	15	18	9	15	18	3.59
1163	20-11-8	20-4	10	14	15	10	14	15	3.59
1164	20-11-8	20-9	8	13	17	8	13	17	3.57
1165	20-11-8	20-15	9	12	12	9	12	12	3.59
1166	20-11-8	20-20	9	14	18	9	14	18	3.58
1167	20-11-8	20-26	10	15	19	10	15	19	3.58
1168	20-11-8	20-31	10	14	19	10	14	19	3.58
1169	20-11-8	20-37	9	13	17	9	13	17	3.57
1170	20-11-8	20-42	10	14	18	10	14	18	3.58
1171	20-11-8	20-48	8	14	16	8	14	16	3.59
1172	20-11-8	20-53	7	11	11	7	11	11	3.58
1173	20-11-8	20-59	8	11	13	8	11	13	3.58
1174	20-11-8	21-4	8	13	13	8	13	13	3.58
1175	20-11-8	21-10	9	14	18	9	14	18	3.58
1176	20-11-8	21-15	10	14	16	10	14	16	3.57
1177	20-11-8	21-21	9	12	14	9	12	14	3.58
1178	20-11-8	21-26	9	13	17	9	13	17	3.58
1179	20-11-8	21-32	8	12	14	8	12	14	3.58
1180	20-11-8	21-38	10	14	16	10	14	16	3.58
1181	20-11-8	21-43	9	14	18	9	14	18	3.58
1182	20-11-8	21-49	10	15	21	10	15	21	3.58
1183	20-11-8	21-54	9	14	17	9	14	17	3.58
1184	20-11-8	22-0	10	14	15	10	14	15	3.58
1185	20-11-8	22-5	9	13	14	9	13	14	3.58
1186	20-11-8	22-11	9	11	14	9	11	14	3.58
1187	20-11-8	22-16	9	12	14	9	12	14	3.58
1188	20-11-8	22-22	8	11	12	8	11	12	3.58
1189	20-11-8	22-27	8	11	14	8	11	14	3.58
1190	20-11-8	22-33	7	11	15	7	11	15	3.58
1191	20-11-8	22-38	7	11	14	7	11	14	3.58
1192	20-11-8	22-44	7	11	15	7	11	15	3.57
1193	20-11-8	22-49	6	9	11	6	9	11	3.57
1194	20-11-8	22-55	7	11	12	7	11	12	3.57
1195	20-11-8	23-1	7	11	11	7	11	11	3.58
1196	20-11-8	23-6	7	11	16	7	11	16	3.57
1197	20-11-8	23-12	8	12	12	8	12	12	3.55
1198	20-11-8	23-17	9	12	12	9	12	12	3.57
1199	20-11-8	23-23	7	10	12	7	10	12	3.57
1200	20-11-8	23-28	8	11	12	8	11	12	3.57
1201	20-11-8	23-34	7	11	12	7	11	12	3.57
1202	20-11-8	23-39	8	11	14	8	11	14	3.57
1203	20-11-8	23-45	8	14	17	8	14	17	3.57
1204	20-11-8	23-50	9	14	18	9	14	18	3.57
1205	20-11-8	23-56	8	13	16	8	13	16	3.57
1206	20-11-9	0-1	9	12	13	9	12	13	3.57
1207	20-11-9	0-7	9	12	14	9	12	14	3.57
1208	20-11-9	0-12	8	12	15	8	12	15	3.57
1209	20-11-9	0-18	10	14	16	10	14	16	3.57
1210	20-11-9	0-24	7	10	12	7	10	12	3.57
1211	20-11-9	0-29	8	11	15	8	11	15	3.56
1212	20-11-9	0-35	8	12	13	8	12	13	3.56
1213	20-11-9	0-40	7	11	15	7	11	15	3.57
1214	20-11-9	0-46	7	11	15	7	11	15	3.56
1215	20-11-9	0-51	7	10	12	7	10	12	3.57
1216	20-11-9	0-57	7	9	11	7	9	11	3.56
1217	20-11-9	1-2	7	11	13	7	11	13	3.56
1218	20-11-9	1-8	7	10	13	7	10	13	3.56
1219	20-11-9	1-13	7	10	11	7	10	11	3.56
1220	20-11-9	1-19	6	8	10	6	8	10	3.56
1221	20-11-9	1-24	5	9	10	5	9	10	3.56
1222	20-11-9	1-30	6	9	11	6	9	11	3.56
1223	20-11-9	1-35	6	8	8	6	8	8	3.57
1224	20-11-9	1-41	6	9	11	6	9	11	3.56
1225	20-11-9	1-47	6	9	12	6	9	12	3.56
1226	20-11-9	1-52	4	7	9	4	7	9	3.56
1227	20-11-9	1-58	5	8	9	5	8	9	3.56
1228	20-11-9	2-3	5	7	10	5	7	10	3.56
1229	20-11-9	2-9	5	8	13	5	8	13	3.57
1230	20-11-9	2-14	5	7	10	5	7	10	3.55
1231	20-11-9	2-20	4	7	7	4	7	7	3.56
1232	20-11-9	2-25	4	6	7	4	6	7	3.56
1233	20-11-9	2-31	4	6	8	4	6	8	3.56
1234	20-11-9	2-36	4	6	6	4	6	6	3.56
1235	20-11-9	2-42	4	7	9	4	7	9	3.56
1236	20-11-9	2-47	4	7	7	4	7	7	3.56
1237	20-11-9	2-53	4	7	8	4	7	8	3.55
1238	20-11-9	2-58	4	6	7	4	6	7	3.55
1239	20-11-9	3-4	5	6	7	5	6	7	3.55
1240	20-11-9	3-9	4	5	6	4	5	6	3.56
1241	20-11-9	3-15	4	6	6	4	6	6	3.56
1242	20-11-9	3-21	4	7	7	4	7	7	3.55
1243	20-11-9	3-26	4	6	6	4	6	6	3.55
1244	20-11-9	3-32	3	5	7	3	5	7	3.55
1245	20-11-9	3-37	4	6	6	4	6	6	3.55
1246	20-11-9	3-43	4	6	6	4	6	6	3.55
1247	20-11-9	3-48	3	5	5	3	5	5	3.55
1248	20-11-9	3-54	3	4	5	3	4	5	3.55
1249	20-11-9	3-59	4	4	4	4	4	4	3.55
1250	20-11-9	4-5	4	5	6	4	5	6	3.55
1251	20-11-9	4-10	3	5	5	3	5	5	3.55
1252	20-11-9	4-16	3	5	5	3	5	5	3.54
1253	20-11-9	4-21	4	6	9	4	6	9	3.55
1254	20-11-9	4-27	3	4	5	3	4	5	3.55
1255	20-11-9	4-32	3	6	7	3	6	7	3.55
1256	20-11-9	4-38	2	4	4	2	4	4	3.55
1257	20-11-9	4-44	3	5	5	3	5	5	3.55
1258	20-11-9	4-49	3	4	4	3	4	4	3.54
1259	20-11-9	4-55	3	5	5	3	5	5	3.54
1260	20-11-9	5-0	3	5	6	3	5	6	3.55
1261	20-11-9	5-6	3	4	4	3	4	4	3.55
1262	20-11-9	5-11	3	5	6	3	5	6	3.54
1263	20-11-9	5-17	2	5	7	2	5	7	3.54
1264	20-11-9	5-22	3	5	5	3	5	5	3.54
1265	20-11-9	5-28	3	5	5	3	5	5	3.54
1266	20-11-9	5-33	3	4	6	3	4	6	3.55
1267	20-11-9	5-39	4	5	5	4	5	5	3.54
1268	20-11-9	5-44	3	4	5	3	4	5	3.54
1269	20-11-9	5-50	3	5	7	3	5	7	3.54
1270	20-11-9	5-55	3	5	6	3	5	6	3.54
1271	20-11-9	6-1	3	5	7	3	5	7	3.54
1272	20-11-9	6-7	3	5	5	3	5	5	3.54
1273	20-11-9	6-12	3	5	5	3	5	5	3.54
1274	20-11-9	6-18	3	5	6	3	5	6	3.54
1275	20-11-9	6-23	3	4	5	3	4	5	3.53
1276	20-11-9	6-29	3	5	5	3	5	5	3.54
1277	20-11-9	6-34	3	4	4	3	4	4	3.54
1278	20-11-9	6-40	3	5	5	3	5	5	3.53
1279	20-11-9	6-45	4	5	6	4	5	6	3.54
1280	20-11-9	6-51	3	6	6	3	6	6	3.53
1281	20-11-9	6-56	4	7	7	4	7	7	3.52
1282	20-11-9	7-2	4	6	7	4	6	7	3.53
1283	20-11-9	7-7	4	6	7	4	6	7	3.54
1284	20-11-9	7-13	3	6	6	3	6	6	3.53
1285	20-11-9	7-18	4	6	9	4	6	9	3.53
1286	20-11-9	7-24	4	6	6	4	6	6	3.54
1287	20-11-9	7-30	5	7	8	5	7	8	3.53
1288	20-11-9	7-35	5	7	8	5	7	8	3.53
1289	20-11-9	7-41	6	9	14	6	9	14	3.53
1290	20-11-9	7-46	5	8	8	5	8	8	3.53
1291	20-11-9	7-52	4	8	10	4	8	10	3.53
1292	20-11-9	7-57	5	9	11	5	9	11	3.53
1293	20-11-9	8-3	4	6	9	4	6	9	3.53
1294	20-11-9	8-8	4	8	10	4	8	10	3.53
1295	20-11-9	8-14	6	8	8	6	8	8	3.53
1296	20-11-9	8-19	5	8	10	5	8	10	3.53
1297	20-11-9	8-25	6	10	10	6	10	10	3.53
1298	20-11-9	8-30	6	9	13	6	9	13	3.53
1299	20-11-9	8-36	6	8	9	6	8	9	3.53
1300	20-11-9	8-41	6	9	10	6	9	10	3.53
1301	20-11-9	8-47	6	7	9	6	7	9	3.53
1302	20-11-9	8-52	5	8	10	5	8	10	3.52
1303	20-11-9	8-58	6	9	12	6	9	12	3.53
1304	20-11-9	9-4	5	8	9	5	8	9	3.52
1305	20-11-9	9-9	6	10	11	6	10	11	3.52
1306	20-11-9	9-15	7	10	12	7	10	12	3.51
1307	20-11-9	9-20	7	10	11	7	10	11	3.52
1308	20-11-9	9-26	9	12	14	9	12	14	3.52
1309	20-11-9	9-31	8	11	13	8	11	13	3.52
1310	20-11-9	9-37	9	11	13	9	11	13	3.52
1311	20-11-9	9-42	8	13	13	8	13	13	3.52
1312	20-11-9	9-48	8	11	13	8	11	13	3.52
1313	20-11-9	9-53	7	10	10	7	10	10	3.52
1314	20-11-9	9-59	9	12	14	9	12	14	3.52
1315	20-11-9	10-4	8	11	12	8	11	12	3.52
1316	20-11-9	10-10	8	10	12	8	10	12	3.52
1317	20-11-9	10-15	9	13	15	9	13	15	3.52
1318	20-11-9	10-21	9	12	12	9	12	12	3.51
1319	20-11-9	10-27	9	12	13	9	12	13	3.51
1320	20-11-9	10-32	10	12	15	10	12	15	3.52
1321	20-11-9	10-38	9	13	14	9	13	14	3.51
1322	20-11-9	10-43	9	14	16	9	14	16	3.51
1323	20-11-9	10-49	10	13	14	10	13	14	3.51
1324	20-11-9	10-54	11	16	22	11	16	22	3.51
1325	20-11-9	11-0	13	19	23	13	19	23	3.51
1326	20-11-9	11-5	13	19	22	13	19	22	3.51
1327	20-11-9	11-11	13	18	19	13	18	19	3.51
1328	20-11-9	11-16	12	17	17	12	17	17	3.51
1329	20-11-9	11-22	11	16	22	11	16	22	3.51
1330	20-11-9	11-27	12	16	19	12	16	19	3.51
1331	20-11-9	11-33	12	16	16	12	16	16	3.51
1332	20-11-9	11-38	13	19	20	13	19	20	3.51
1333	20-11-9	11-44	12	16	19	12	16	19	3.51
1334	20-11-9	11-50	11	15	16	11	15	16	3.50
1335	20-11-9	11-55	11	15	19	11	15	19	3.50
1336	20-11-9	12-1	10	15	16	10	15	16	3.51
1337	20-11-9	12-6	10	14	14	10	14	14	3.50
1338	20-11-9	12-12	11	15	17	11	15	17	3.50
1339	20-11-9	12-17	13	16	17	13	16	17	3.50
1340	20-11-9	12-23	12	16	17	12	16	17	3.50
1341	20-11-9	12-28	11	15	16	11	15	16	3.50
1342	20-11-9	12-34	12	17	18	12	17	18	3.50
1343	20-11-9	12-39	12	16	18	12	16	18	3.50
1344	20-11-9	12-45	12	15	15	12	15	15	3.50
1345	20-11-9	12-50	12	15	16	12	15	16	3.50
1346	20-11-9	12-56	12	15	15	12	15	15	3.50
1347	20-11-9	13-1	12	15	17	12	15	17	3.50
1348	20-11-9	13-7	12	15	18	12	15	18	3.50
1349	20-11-9	13-13	11	13	14	11	13	14	3.50
1350	20-11-9	13-18	14	20	21	14	20	21	3.50
1351	20-11-9	13-24	15	21	24	15	21	24	3.50
1352	20-11-9	13-29	15	21	22	15	21	22	3.49
1353	20-11-9	13-35	15	21	23	15	21	23	3.49
1354	20-11-9	13-40	14	18	20	14	18	20	3.48
1355	20-11-9	13-46	14	18	21	14	18	21	3.50
1356	20-11-9	13-51	15	21	23	15	21	23	3.49
1357	20-11-9	13-57	13	18	19	13	18	19	3.49
1358	20-11-9	14-2	15	21	22	15	21	22	3.49
1359	20-11-9	14-8	15	20	21	15	20	21	3.49
1360	20-11-9	14-13	16	21	21	16	21	21	3.49
1361	20-11-9	14-19	18	25	26	18	25	26	3.48
1362	20-11-9	14-24	20	25	25	20	25	25	3.49
1363	20-11-9	14-30	16	21	23	16	21	23	3.49
1364	20-11-9	14-36	20	25	27	20	25	27	3.49
1365	20-11-9	14-41	18	24	25	18	24	25	3.49
1366	20-11-9	14-47	17	22	26	17	22	26	3.49
1367	20-11-9	14-52	17	22	23	17	22	23	3.49
1368	20-11-9	14-58	18	24	26	18	24	26	3.48
1369	20-11-9	15-3	19	25	26	19	25	26	3.48
1370	20-11-9	15-9	17	23	23	17	23	23	3.48
1371	20-11-9	15-14	18	23	27	18	23	27	3.48
1372	20-11-9	15-20	18	22	23	18	22	23	3.48
1373	20-11-9	15-25	17	23	25	17	23	25	3.48
1374	20-11-9	15-31	16	21	23	16	21	23	3.48
1375	20-11-9	15-36	17	21	22	17	21	22	3.48
1376	20-11-9	15-42	17	21	22	17	21	22	3.47
1377	20-11-9	15-47	16	24	25	16	24	25	3.48
1378	20-11-9	15-53	17	22	25	17	22	25	3.45
1379	20-11-9	15-58	15	21	21	15	21	21	3.47
1380	20-11-9	16-4	16	21	23	16	21	23	3.47
1381	20-11-9	16-10	15	18	18	15	18	18	3.47
1382	20-11-9	16-15	14	18	22	14	18	22	3.46
1383	20-11-9	16-21	15	19	19	15	19	19	3.48
1384	20-11-9	16-26	16	20	22	16	20	22	3.47
1385	20-11-9	16-32	18	23	26	18	23	26	3.47
1386	20-11-9	16-37	18	24	25	18	24	25	3.46
1387	20-11-9	16-43	18	24	26	18	24	26	3.47
1388	20-11-9	16-48	18	24	26	18	24	26	3.47
1389	20-11-9	16-54	19	25	26	19	25	26	3.47
1390	20-11-9	16-59	17	24	26	17	24	26	3.47
1391	20-11-9	17-5	21	24	26	21	24	26	3.46
1392	20-11-9	17-10	17	23	24	17	23	24	3.46
1393	20-11-9	17-16	19	24	25	19	24	25	3.46
1394	20-11-9	17-21	16	22	27	16	22	27	3.46
1395	20-11-9	17-27	18	24	26	18	24	26	3.46
1396	20-11-9	17-33	16	23	25	16	23	25	3.46
1397	20-11-9	17-38	18	23	24	18	23	24	3.46
1398	20-11-9	17-44	15	20	22	15	20	22	3.47
1399	20-11-9	17-49	14	18	20	14	18	20	3.46
1400	20-11-9	17-55	13	19	20	13	19	20	3.46
1401	20-11-9	18-0	13	18	20	13	18	20	3.46
1402	20-11-9	18-6	14	19	22	14	19	22	3.46
1403	20-11-9	18-11	14	20	21	14	20	21	3.46
1404	20-11-9	18-17	15	21	24	15	21	24	3.46
1405	20-11-9	18-22	13	18	19	13	18	19	3.45
1406	20-11-9	18-28	13	19	23	13	19	23	3.45
1407	20-11-9	18-33	15	20	22	15	20	22	3.46
1408	20-11-9	18-39	15	21	23	15	21	23	3.45
1409	20-11-9	18-44	14	21	23	14	21	23	3.46
1410	20-11-9	18-50	13	20	21	13	20	21	3.45
1411	20-11-9	18-56	13	19	21	13	19	21	3.45
1412	20-11-9	19-1	14	19	19	14	19	19	3.45
1413	20-11-9	19-7	13	20	23	13	20	23	3.45
1414	20-11-9	19-12	14	20	21	14	20	21	3.45
1415	20-11-9	19-18	13	18	20	13	18	20	3.45
1416	20-11-9	19-23	14	20	20	14	20	20	3.45
1417	20-11-9	19-29	14	19	22	14	19	22	3.45
1418	20-11-9	19-34	15	22	27	15	22	27	3.45
1419	20-11-9	19-40	15	21	22	15	21	22	3.45
1420	20-11-9	19-45	16	22	25	16	22	25	3.45
1421	20-11-9	19-51	15	20	23	15	20	23	3.45
1422	20-11-9	19-56	13	19	20	13	19	20	3.45
1423	20-11-9	20-2	15	20	22	15	20	22	3.45
1424	20-11-9	20-7	15	22	24	15	22	24	3.45
1425	20-11-9	20-13	19	23	24	19	23	24	3.43
1426	20-11-9	20-19	17	22	24	17	22	24	3.45
1427	20-11-9	20-24	15	21	21	15	21	21	3.45
1428	20-11-9	20-30	17	21	22	17	21	22	3.45
1429	20-11-9	20-35	17	22	25	17	22	25	3.44
1430	20-11-9	20-41	15	20	22	15	20	22	3.45
1431	20-11-9	20-46	17	23	24	17	23	24	3.44
1432	20-11-9	20-52	14	23	25	14	23	25	3.45
1433	20-11-9	20-57	15	21	24	15	21	24	3.44
1434	20-11-9	21-3	17	21	21	17	21	21	3.44
1435	20-11-9	21-8	14	21	22	14	21	22	3.44
1436	20-11-9	21-14	13	18	20	13	18	20	3.44
1437	20-11-9	21-19	14	18	18	14	18	18	3.44
1438	20-11-9	21-25	15	21	22	15	21	22	3.45
1439	20-11-9	21-30	15	22	22	15	22	22	3.44
1440	20-11-9	21-36	15	22	22	15	22	22	3.44
1441	20-11-9	21-42	14	21	22	14	21	22	3.44
1442	20-11-9	21-47	16	20	23	16	20	23	3.44
1443	20-11-9	21-53	13	20	22	13	20	22	3.43
1444	20-11-9	21-58	14	20	21	14	20	21	3.44
1445	20-11-9	22-4	14	20	23	14	20	23	3.44
1446	20-11-9	22-9	14	19	22	14	19	22	3.44
1447	20-11-9	22-15	13	19	21	13	19	21	3.44
1448	20-11-9	22-20	13	18	20	13	18	20	3.43
1449	20-11-9	22-26	14	20	23	14	20	23	3.44
1450	20-11-9	22-31	12	17	18	12	17	18	3.43
1451	20-11-9	22-37	13	18	20	13	18	20	3.43
1452	20-11-9	22-42	12	17	19	12	17	19	3.43
1453	20-11-9	22-48	12	18	18	12	18	18	3.43
1454	20-11-9	22-53	12	16	17	12	16	17	3.43
1455	20-11-9	22-59	13	21	23	13	21	23	3.43
1456	20-11-9	23-4	14	18	20	14	18	20	3.43
1457	20-11-9	23-10	11	15	18	11	15	18	3.43
1458	20-11-9	23-16	13	18	21	13	18	21	3.43
1459	20-11-9	23-21	12	16	17	12	16	17	3.43
1460	20-11-9	23-27	14	19	21	14	19	21	3.43
1461	20-11-9	23-32	13	17	17	13	17	17	3.43
1462	20-11-9	23-38	13	19	22	13	19	22	3.43
1463	20-11-9	23-43	13	18	20	13	18	20	3.43
1464	20-11-9	23-49	15	19	23	15	19	23	3.43
1465	20-11-9	23-54	13	18	20	13	18	20	3.42
1466	20-11-10	0-0	13	18	21	13	18	21	3.42
1467	20-11-10	0-5	13	17	18	13	17	18	3.42
1468	20-11-10	0-11	12	17	17	12	17	17	3.42
1469	20-11-10	0-16	12	17	18	12	17	18	3.42
1470	20-11-10	0-22	12	16	17	12	16	17	3.42
1471	20-11-10	0-27	11	15	17	11	15	17	3.42
1472	20-11-10	0-33	13	19	19	13	19	19	3.42
1473	20-11-10	0-39	12	16	17	12	16	17	3.42
1474	20-11-10	0-44	13	16	18	13	16	18	3.42
1475	20-11-10	0-50	12	16	16	12	16	16	3.42
1476	20-11-10	0-55	12	17	18	12	17	18	3.42
1477	20-11-10	1-1	12	17	17	12	17	17	3.41
1478	20-11-10	1-6	12	17	20	12	17	20	3.41
1479	20-11-10	1-12	12	15	17	12	15	17	3.42
1480	20-11-10	1-17	13	16	20	13	16	20	3.41
1481	20-11-10	1-23	12	17	19	12	17	19	3.41
1482	20-11-10	1-28	12	17	19	12	17	19	3.40
1483	20-11-10	1-34	13	16	18	13	16	18	3.40
1484	20-11-10	1-39	12	16	17	12	16	17	3.41
1485	20-11-10	1-45	13	17	19	13	17	19	3.41
1486	20-11-10	1-50	14	16	20	14	16	20	3.41
1487	20-11-10	1-56	11	15	17	11	15	17	3.41
1488	20-11-10	2-2	11	15	17	11	15	17	3.40
1489	20-11-10	2-7	13	17	19	13	17	19	3.40
1490	20-11-10	2-13	12	16	19	12	16	19	3.40
1491	20-11-10	2-18	13	19	21	13	19	21	3.40
1492	20-11-10	2-24	13	18	18	13	18	18	3.40
1493	20-11-10	2-29	13	17	20	13	17	20	3.39
1494	20-11-10	2-35	13	18	19	13	18	19	3.39
1495	20-11-10	2-40	13	15	16	13	15	16	3.39
1496	20-11-10	2-46	12	16	16	12	16	16	3.39
1497	20-11-10	2-51	12	17	19	12	17	19	3.38
1498	20-11-10	2-57	12	17	17	12	17	17	3.38
1499	20-11-10	3-2	13	17	19	13	17	19	3.38
