数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-4	0-4	5	8	8	5	8	8	4.20	
1	20-11-4	0-9	5	9	11	5	9	11	4.20	
2	20-11-4	0-15	3	5	5	3	5	5	4.20	
3	20-11-4	0-20	4	6	6	4	6	6	4.20	
4	20-11-4	0-26	4	5	7	4	5	7	4.19	
5	20-11-4	0-31	4	5	5	4	5	5	4.19	
6	20-11-4	0-37	3	5	5	3	5	5	4.19	
7	20-11-4	0-42	4	5	6	4	5	6	4.19	
8	20-11-4	0-48	5	7	7	5	7	7	4.19	
9	20-11-4	0-53	5	6	6	5	6	6	4.19	
10	20-11-4	0-59	5	6	6	5	6	6	4.19	
11	20-11-4	1-4	6	8	8	6	8	8	4.19	
12	20-11-4	1-10	5	7	8	5	7	8	4.19	
13	20-11-4	1-15	7	11	11	7	11	11	4.19	
14	20-11-4	1-21	7	10	10	7	10	10	4.19	
15	20-11-4	1-26	8	9	10	8	9	10	4.19	
16	20-11-4	1-32	6	9	9	6	9	9	4.19	
17	20-11-4	1-37	8	11	11	8	11	11	4.19	
18	20-11-4	1-43	6	9	9	6	9	9	4.19	
19	20-11-4	1-48	7	8	8	7	8	8	4.19	
20	20-11-4	1-54	5	8	9	5	8	9	4.19	
21	20-11-4	1-59	5	7	8	5	7	8	4.19	
22	20-11-4	2-5	5	8	8	5	8	8	4.19	
23	20-11-4	2-10	7	9	10	7	9	10	4.19	
24	20-11-4	2-16	6	8	9	6	8	9	4.19	
25	20-11-4	2-21	4	7	7	4	7	7	4.19	
26	20-11-4	2-27	6	8	10	6	8	10	4.19	
27	20-11-4	2-32	5	7	7	5	7	7	4.19	
28	20-11-4	2-38	6	9	10	6	9	10	4.19	
29	20-11-4	2-43	4	6	6	4	6	6	4.19	
30	20-11-4	2-49	6	8	8	6	8	8	4.19	
31	20-11-4	2-54	7	9	9	7	9	9	4.19	
32	20-11-4	3-0	6	8	9	6	8	9	4.19	
33	20-11-4	3-5	6	9	9	6	9	9	4.19	
34	20-11-4	3-11	5	7	7	5	7	7	4.19	
35	20-11-4	3-16	7	9	9	7	9	9	4.19	
36	20-11-4	3-22	6	8	8	6	8	8	4.19	
37	20-11-4	3-27	5	6	7	5	6	7	4.19	
38	20-11-4	3-33	6	9	10	6	9	10	4.19	
39	20-11-4	3-38	6	8	9	6	8	9	4.19	
40	20-11-4	3-44	5	7	8	5	7	8	4.19	
41	20-11-4	3-49	7	11	11	7	11	11	4.19	
42	20-11-4	3-55	6	8	9	6	8	9	4.19	
43	20-11-4	4-0	7	9	10	7	9	10	4.19	
