数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-4	0-24	2	7	7	2	7	7	4.24	
1	20-11-4	0-29	2	5	8	2	5	8	4.24	
2	20-11-4	0-35	4	8	8	4	8	8	4.24	
3	20-11-4	0-40	2	5	7	2	5	7	4.24	
4	20-11-4	0-46	4	6	8	4	6	8	4.23	
5	20-11-4	0-51	2	5	5	2	5	5	4.23	
6	20-11-4	0-57	2	5	5	2	5	5	4.23	
7	20-11-4	1-2	2	6	8	2	6	8	4.23	
8	20-11-4	1-8	2	5	8	2	5	8	4.23	
9	20-11-4	1-13	5	9	10	5	9	10	4.23	
10	20-11-4	1-19	6	10	10	6	10	10	4.23	
11	20-11-4	1-24	6	10	10	6	10	10	4.22	
12	20-11-4	1-30	4	8	9	4	8	9	4.22	
13	20-11-4	1-35	5	9	9	5	9	9	4.22	
14	20-11-4	1-41	4	9	9	4	9	9	4.22	
15	20-11-4	1-46	4	8	9	4	8	9	4.22	
16	20-11-4	1-52	4	8	10	4	8	10	4.22	
17	20-11-4	1-57	4	10	10	4	10	10	4.22	
18	20-11-4	2-3	2	5	6	2	5	6	4.22	
19	20-11-4	2-8	2	4	6	2	4	6	4.22	
20	20-11-4	2-14	4	6	8	4	6	8	4.22	
21	20-11-4	2-19	2	5	5	2	5	5	4.22	
22	20-11-4	2-25	4	8	9	4	8	9	4.22	
23	20-11-4	2-30	4	5	6	4	5	6	4.22	
24	20-11-4	2-36	4	6	8	4	6	8	4.22	
25	20-11-4	2-42	2	6	6	2	6	6	4.22	
26	20-11-4	2-47	4	6	8	4	6	8	4.22	
27	20-11-4	2-53	5	8	8	5	8	8	4.22	
28	20-11-4	2-58	4	5	5	4	5	5	4.22	
29	20-11-4	3-4	4	9	9	4	9	9	4.22	
30	20-11-4	3-9	4	6	6	4	6	6	4.22	
31	20-11-4	3-15	2	5	5	2	5	5	4.22	
32	20-11-4	3-20	2	4	4	2	4	4	4.22	
33	20-11-4	3-26	4	6	8	4	6	8	4.22	
34	20-11-4	3-31	4	5	5	4	5	5	4.22	
35	20-11-4	3-37	4	5	5	4	5	5	4.22	
36	20-11-4	3-42	2	6	8	2	6	8	4.22	
37	20-11-4	3-48	4	5	5	4	5	5	4.22	
38	20-11-4	3-53	4	8	9	4	8	9	4.22	
39	20-11-4	3-59	4	5	5	4	5	5	4.22	
40	20-11-4	4-4	2	5	5	2	5	5	4.22	
41	20-11-4	4-10	4	6	8	4	6	8	4.22	
42	20-11-4	4-15	4	6	6	4	6	6	4.22	
43	20-11-4	4-21	4	8	8	4	8	8	4.22	
44	20-11-4	4-26	4	6	6	4	6	6	4.22	
45	20-11-4	4-32	4	6	6	4	6	6	4.22	
46	20-11-4	4-37	5	6	8	5	6	8	4.22	
47	20-11-4	4-43	4	8	8	4	8	8	4.22	
48	20-11-4	4-48	4	5	6	4	5	6	4.22	
49	20-11-4	4-54	2	5	5	2	5	5	4.23	
50	20-11-4	4-59	4	6	6	4	6	6	4.23	
51	20-11-4	5-5	2	5	5	2	5	5	4.23	
52	20-11-4	5-10	4	6	6	4	6	6	4.24	
53	20-11-4	5-16	4	5	5	4	5	5	4.25	
54	20-11-4	5-21	5	6	6	5	6	6	4.24	
55	20-11-4	5-27	4	6	11	4	6	11	4.24	
56	20-11-4	5-32	5	8	8	5	8	8	4.24	
57	20-11-4	5-38	4	8	9	4	8	9	4.24	
58	20-11-4	5-43	5	8	8	5	8	8	4.24	
59	20-11-4	5-49	6	10	10	6	10	10	4.24	
60	20-11-4	5-54	5	8	8	5	8	8	4.24	
61	20-11-4	6-0	4	6	9	4	6	9	4.25	
62	20-11-4	6-5	5	9	10	5	9	10	4.24	
63	20-11-4	6-11	5	8	9	5	8	9	4.24	
64	20-11-4	6-16	5	9	10	5	9	10	4.24	
65	20-11-4	6-22	5	9	9	5	9	9	4.24	
66	20-11-4	6-27	5	10	12	5	10	12	4.24	
67	20-11-4	6-33	6	9	9	6	9	9	4.24	
68	20-11-4	6-38	5	9	13	5	9	13	4.24	
69	20-11-4	6-44	5	8	9	5	8	9	4.24	
70	20-11-4	6-49	5	8	9	5	8	9	4.24	
71	20-11-4	6-55	6	11	11	6	11	11	4.24	
72	20-11-4	7-0	6	9	10	6	9	10	4.24	
73	20-11-4	7-6	6	13	13	6	13	13	4.26	
74	20-11-4	7-11	6	10	10	6	10	10	4.24	
75	20-11-4	7-17	9	13	13	9	13	13	4.25	
76	20-11-4	7-22	8	11	11	8	11	11	4.24	
77	20-11-4	7-28	7	9	10	7	9	10	4.19	
78	20-11-4	7-33	7	14	14	7	14	14	4.19	
79	20-11-4	7-39	8	14	14	8	14	14	4.19	
80	20-11-4	7-44	5	9	9	5	9	9	4.18	
81	20-11-4	7-50	6	9	10	6	9	10	4.18	
82	20-11-4	7-55	6	9	10	6	9	10	4.18	
83	20-11-4	8-1	6	9	10	6	9	10	4.18	
84	20-11-4	8-6	7	13	13	7	13	13	4.18	
85	20-11-4	8-12	7	10	11	7	10	11	4.18	
86	20-11-4	8-18	9	12	15	9	12	15	4.18	
87	20-11-4	8-23	8	11	14	8	11	14	4.18	
88	20-11-4	8-29	7	10	10	7	10	10	4.17	
89	20-11-4	8-34	7	11	11	7	11	11	4.18	
90	20-11-4	8-40	7	11	12	7	11	12	4.16	
91	20-11-4	8-45	7	10	10	7	10	10	4.17	
92	20-11-4	8-51	8	12	13	8	12	13	4.17	
93	20-11-4	8-56	9	12	12	9	12	12	4.14	
94	20-11-4	9-2	7	11	11	7	11	11	4.17	
95	20-11-4	9-7	8	11	13	8	11	13	4.17	
96	20-11-4	9-13	8	13	14	8	13	14	4.16	
97	20-11-4	9-18	8	12	13	8	12	13	4.16	
98	20-11-4	9-24	7	11	11	7	11	11	4.16	
99	20-11-4	9-29	7	12	14	7	12	14	4.16	
100	20-11-4	9-35	4	8	11	4	8	11	4.16	
101	20-11-4	9-41	6	8	8	6	8	8	4.15	
102	20-11-4	9-46	6	7	7	6	7	7	4.17	
103	20-11-4	9-52	6	9	9	6	9	9	4.15	
104	20-11-4	9-57	8	12	12	8	12	12	4.15	
105	20-11-4	10-3	6	8	10	6	8	10	4.14	
106	20-11-4	10-8	8	12	13	8	12	13	4.15	
107	20-11-4	10-14	8	15	16	8	15	16	4.14	
108	20-11-4	10-19	8	11	13	8	11	13	4.15	
109	20-11-4	10-25	8	12	15	8	12	15	4.15	
110	20-11-4	10-30	6	8	11	6	8	11	4.14	
111	20-11-4	10-36	6	10	11	6	10	11	4.15	
112	20-11-4	10-41	6	10	10	6	10	10	4.15	
113	20-11-4	10-47	5	10	10	5	10	10	4.14	
114	20-11-4	10-52	6	8	8	6	8	8	4.14	
