数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	Column1
2506	20-11-13	21-47	11	16	16	11	16	16	4.02	
2507	20-11-13	21-53	10	14	17	10	14	17	4.02	
2508	20-11-13	21-58	12	16	16	12	16	16	4.02	
2509	20-11-13	22-4	11	15	16	11	15	16	4.03	
2510	20-11-13	22-10	9	14	15	9	14	15	4.03	
2511	20-11-13	22-15	12	19	21	12	19	21	4.04	
2512	20-11-13	22-21	14	18	19	14	18	19	4.02	
2513	20-11-13	22-26	11	18	22	11	18	22	4.02	
2514	20-11-13	22-32	12	17	18	12	17	18	4.01	
2515	20-11-13	22-37	10	15	16	10	15	16	4	
2516	20-11-13	22-43	10	16	16	10	16	16	4.02	
2517	20-11-13	22-48	12	17	18	12	17	18	4.02	
2518	20-11-13	22-54	13	18	18	13	18	18	4.02	
2519	20-11-13	22-59	12	16	16	12	16	16	4.02	
2520	20-11-13	23-5	12	18	20	12	18	20	4.02	
2521	20-11-13	23-10	12	17	18	12	17	18	4.02	
2522	20-11-13	23-16	13	17	17	13	17	17	4.02	
2523	20-11-13	23-21	12	18	18	12	18	18	4.02	
2524	20-11-13	23-27	13	21	25	13	21	25	4.02	
2525	20-11-13	23-33	11	17	17	11	17	17	4.02	
2526	20-11-13	23-38	11	15	17	11	15	17	4.02	
2527	20-11-13	23-44	15	20	21	15	20	21	4.02	
2528	20-11-13	23-49	12	17	18	12	17	18	4.02	
2529	20-11-13	23-55	11	16	17	11	16	17	4.02	
2530	20-11-14	0-0	12	18	20	12	18	20	4.01	
2531	20-11-14	0-6	12	18	18	12	18	18	4.01	
2532	20-11-14	0-11	14	21	22	14	21	22	4.01	
2533	20-11-14	0-17	14	20	21	14	20	21	4.01	
2534	20-11-14	0-22	14	20	22	14	20	22	3.99	
2535	20-11-14	0-28	17	23	26	17	23	26	4.02	
2536	20-11-14	0-33	16	23	25	16	23	25	3.99	
2537	20-11-14	0-38	16	24	28	16	24	28	4.39	
2538	20-11-14	0-44	12	17	19	12	17	19	4.29	
2539	20-11-14	0-49	11	17	20	11	17	20	4.25	
2540	20-11-14	0-55	16	23	27	16	23	27	4.22	
2541	20-11-14	1-0	15	24	27	15	24	27	4.2	
2542	20-11-14	1-6	17	23	24	17	23	24	4.19	
2543	20-11-14	1-11	12	18	19	12	18	19	4.19	
2544	20-11-14	1-17	14	20	21	14	20	21	4.19	
2545	20-11-14	1-22	14	20	21	14	20	21	4.19	
2546	20-11-14	1-28	14	20	24	14	20	24	4.19	
2547	20-11-14	1-33	14	18	19	14	18	19	4.19	
2548	20-11-14	1-39	15	21	22	15	21	22	4.19	
2549	20-11-14	1-44	16	22	23	16	22	23	4.19	
2550	20-11-14	1-50	15	22	22	15	22	22	4.2	
2551	20-11-14	1-55	13	17	18	13	17	18	4.2	
2552	20-11-14	2-1	15	20	21	15	20	21	4.2	
2553	20-11-14	2-6	11	16	19	11	16	19	4.2	
2554	20-11-14	2-12	13	20	23	13	20	23	4.2	
2555	20-11-14	2-17	18	24	27	18	24	27	4.2	
2556	20-11-14	2-23	17	25	27	17	25	27	4.2	
2557	20-11-14	2-28	19	26	29	19	26	29	4.2	
2558	20-11-14	2-34	17	23	24	17	23	24	4.19	
2559	20-11-14	2-39	17	26	28	17	26	28	4.19	
2560	20-11-14	2-45	18	24	26	18	24	26	4.19	
2561	20-11-14	2-50	17	24	24	17	24	24	4.19	
2562	20-11-14	2-56	18	26	29	18	26	29	4.19	
2563	20-11-14	3-1	18	25	25	18	25	25	4.19	
2564	20-11-14	3-7	19	26	29	19	26	29	4.19	
2565	20-11-14	3-13	18	27	29	18	27	29	4.19	
2566	20-11-14	3-18	20	25	28	20	25	28	4.19	
2567	20-11-14	3-24	20	29	29	20	29	29	4.19	
2568	20-11-14	3-29	22	29	34	22	29	34	4.19	
2569	20-11-14	3-35	20	29	31	20	29	31	4.19	
2570	20-11-14	3-40	21	28	29	21	28	29	4.19	
2571	20-11-14	3-46	20	28	29	20	28	29	4.19	
2572	20-11-14	3-51	22	30	33	22	30	33	4.19	
2573	20-11-14	3-57	23	33	38	23	33	38	4.19	
2574	20-11-14	4-2	22	29	31	22	29	31	4.19	
2575	20-11-14	4-8	25	35	37	23	35	37	4.19	
2576	20-11-14	4-13	26	34	37	25	34	37	4.19	
2577	20-11-14	4-19	23	34	37	23	34	37	4.19	
2578	20-11-14	4-24	26	33	39	25	33	39	4.19	
2579	20-11-14	4-30	25	39	42	24	38	42	4.19	
2580	20-11-14	4-35	26	36	37	25	36	37	4.19	
2581	20-11-14	4-41	26	34	37	25	34	37	4.19	
2582	20-11-14	4-46	26	37	38	25	36	38	4.19	
2583	20-11-14	4-52	26	37	42	25	36	42	4.19	
2584	20-11-14	4-57	26	33	37	25	33	37	4.19	
2585	20-11-14	5-3	26	37	44	25	36	44	4.19	
2586	20-11-14	5-8	25	36	42	24	36	42	4.19	
2587	20-11-14	5-14	23	32	33	23	32	33	4.19	
2588	20-11-14	5-19	26	33	36	25	33	36	4.19	
2589	20-11-14	5-25	27	36	39	26	36	39	4.19	
2590	20-11-14	5-30	24	32	33	24	32	33	4.18	
2591	20-11-14	5-36	25	35	38	24	35	38	4.19	
2592	20-11-14	5-41	23	32	33	23	32	33	4.18	
2593	20-11-14	5-47	24	32	33	24	32	33	4.19	
2594	20-11-14	5-52	25	37	40	24	36	40	4.19	
2595	20-11-14	5-58	23	36	42	23	36	42	4.19	
2596	20-11-14	6-3	23	30	34	23	30	34	4.19	
2597	20-11-14	6-9	24	34	36	24	34	36	4.19	
2598	20-11-14	6-14	25	35	35	24	35	35	4.19	
2599	20-11-14	6-20	20	29	38	20	29	38	4.18	
2600	20-11-14	6-25	21	32	36	21	32	36	4.19	
2601	20-11-14	6-31	21	31	34	21	31	34	4.19	
2602	20-11-14	6-36	22	31	35	22	31	35	4.18	
2603	20-11-14	6-42	22	33	33	22	33	33	4.19	
2604	20-11-14	6-47	20	29	31	20	29	31	4.19	
2605	20-11-14	6-53	22	30	33	22	30	33	4.19	
2606	20-11-14	6-58	20	29	32	20	29	32	4.19	
2607	20-11-14	7-4	20	29	31	20	29	31	4.18	
2608	20-11-14	7-9	20	29	31	20	29	31	4.18	
2609	20-11-14	7-15	19	29	30	19	29	30	4.19	
2610	20-11-14	7-20	20	29	31	20	29	31	4.19	
2611	20-11-14	7-26	22	30	31	22	30	31	4.18	
2612	20-11-14	7-31	20	29	29	20	29	29	4.18	
2613	20-11-14	7-37	20	29	33	20	29	33	4.19	
2614	20-11-14	7-42	19	26	26	19	26	26	4.18	
2615	20-11-14	7-48	18	29	31	18	29	31	4.19	
2616	20-11-14	7-53	20	29	38	20	29	38	4.19	
2617	20-11-14	7-59	23	33	35	23	33	35	4.19	
2618	20-11-14	8-4	20	29	30	20	29	30	4.19	
2619	20-11-14	8-10	19	28	29	19	28	29	4.18	
2620	20-11-14	8-15	20	26	29	20	26	29	4.18	
2621	20-11-14	8-21	22	29	34	22	29	34	4.18	
2622	20-11-14	8-26	25	35	37	24	35	37	4.18	
2623	20-11-14	8-32	22	33	36	22	33	36	4.18	
2624	20-11-14	8-37	25	37	39	24	36	39	4.18	
2625	20-11-14	8-43	25	39	42	24	38	42	4.18	
2626	20-11-14	8-48	27	39	40	25	38	40	4.18	
2627	20-11-14	8-54	24	34	37	24	34	37	4.18	
2628	20-11-14	8-59	25	34	36	24	34	36	4.18	
2629	20-11-14	9-5	26	40	45	25	39	45	4.18	
2630	20-11-14	9-10	25	36	40	24	36	40	4.18	
2631	20-11-14	9-16	25	37	39	24	36	39	4.18	
2632	20-11-14	9-21	28	42	44	26	40	44	4.18	
2633	20-11-14	9-27	27	39	45	26	38	45	4.16	
2634	20-11-14	9-32	31	41	43	27	38	43	4.16	
2635	20-11-14	9-38	27	38	41	26	37	41	4.15	
2636	20-11-14	9-43	25	41	43	24	38	43	4.15	
2637	20-11-14	9-49	26	35	35	25	35	35	4.15	
2638	20-11-14	9-55	26	36	44	25	36	44	4.15	
2639	20-11-14	10-0	25	41	44	24	39	44	4.14	
2640	20-11-14	10-6	26	35	39	25	35	39	4.14	
2641	20-11-14	10-11	27	38	39	25	36	39	4.15	
2642	20-11-14	10-17	25	36	36	24	36	36	4.15	
2643	20-11-14	10-22	24	36	40	24	36	40	4.14	
2644	20-11-14	10-28	27	35	38	25	35	38	4.14	
2645	20-11-14	10-33	25	39	43	24	38	43	4.14	
2646	20-11-14	10-39	25	38	41	24	37	41	4.14	
2647	20-11-14	10-44	28	38	40	27	37	40	4.13	
2648	20-11-14	10-50	27	38	45	25	37	45	4.14	
2649	20-11-14	10-55	25	34	40	24	34	40	4.14	
2650	20-11-14	11-1	24	34	35	24	34	35	4.14	
2651	20-11-14	11-6	22	32	34	22	32	34	4.13	
2652	20-11-14	11-12	25	35	36	24	35	36	4.14	
2653	20-11-14	11-18	25	33	36	24	33	36	4.13	
2654	20-11-14	11-23	22	35	40	22	35	40	4.13	
2655	20-11-14	11-29	22	30	32	22	30	32	4.13	
2656	20-11-14	11-34	25	36	39	24	36	39	4.13	
2657	20-11-14	11-40	27	35	43	25	35	43	4.12	
2658	20-11-14	11-45	25	36	39	24	36	39	4.12	
2659	20-11-14	11-51	25	36	40	24	36	40	4.12	
2660	20-11-14	11-56	25	35	37	24	35	37	4.12	
2661	20-11-14	12-2	24	35	40	24	35	40	4.12	
2662	20-11-14	12-7	24	35	41	24	35	41	4.12	
2663	20-11-14	12-13	24	36	39	24	36	39	4.13	
2664	20-11-14	12-18	24	35	38	24	35	38	4.11	
2665	20-11-14	12-24	24	33	34	24	33	34	4.12	
2666	20-11-14	12-30	23	34	39	23	34	39	4.12	
2667	20-11-14	12-35	25	38	40	24	36	40	4.11	
2668	20-11-14	12-41	27	38	40	25	36	40	4.11	
2669	20-11-14	12-46	25	36	39	24	36	39	4.11	
2670	20-11-14	12-52	23	32	36	23	32	36	4.11	
2671	20-11-14	12-57	28	36	39	27	36	39	4.11	
2672	20-11-14	13-3	24	36	38	24	36	38	4.11	
2673	20-11-14	13-8	25	35	36	24	35	36	4.1	
2674	20-11-14	13-14	25	36	41	24	36	41	4.1	
2675	20-11-14	13-19	22	29	34	22	29	34	4.1	
2676	20-11-14	13-25	23	34	40	23	34	40	4.1	
2677	20-11-14	13-30	24	32	33	24	32	33	4.11	
2678	20-11-14	13-36	27	36	41	25	36	41	4.1	
2679	20-11-14	13-41	27	39	44	25	38	44	4.1	
2680	20-11-14	13-47	27	37	40	25	37	40	4.1	
2681	20-11-14	13-53	27	40	45	25	39	45	4.1	
2682	20-11-14	13-58	30	41	43	28	39	43	4.1	
2683	20-11-14	14-4	27	40	43	25	39	43	4.07	
2684	20-11-14	14-9	25	36	38	24	36	38	4.1	
2685	20-11-14	14-15	28	40	45	27	39	45	4.09	
2686	20-11-14	14-20	27	37	39	25	37	39	4.08	
2687	20-11-14	14-26	27	39	45	25	38	45	4.09	
2688	20-11-14	14-31	28	44	49	27	40	49	4.09	
2689	20-11-14	14-37	27	39	43	25	38	43	4.09	
2690	20-11-14	14-42	27	40	43	25	39	43	4.09	
2691	20-11-14	14-48	27	39	41	25	38	41	4.09	
2692	20-11-14	14-53	29	40	44	27	39	44	4.09	
2693	20-11-14	14-59	29	40	40	27	39	40	4.08	
2694	20-11-14	15-4	27	36	38	25	36	38	4.09	
2695	20-11-14	15-10	27	37	40	25	37	40	4.05	
2696	20-11-14	15-16	29	44	48	27	40	48	4.08	
2697	20-11-14	15-21	25	39	44	24	38	44	4.09	
2698	20-11-14	15-27	27	38	41	25	37	41	4.08	
2699	20-11-14	15-32	28	40	43	27	39	43	4.08	
2700	20-11-14	15-38	28	40	40	27	39	40	4.08	
2701	20-11-14	15-43	27	37	40	25	37	40	4.07	
2702	20-11-14	15-49	27	40	41	25	39	41	4.08	
2703	20-11-14	15-54	28	41	44	27	39	44	4.08	
2704	20-11-14	16-0	28	40	43	27	39	43	4.07	
2705	20-11-14	16-5	29	40	46	27	39	46	4.08	
2706	20-11-14	16-11	29	40	43	27	39	43	4.08	
2707	20-11-14	16-16	25	37	39	24	37	39	4.08	
2708	20-11-14	16-22	25	34	35	24	34	35	4.07	
2709	20-11-14	16-27	28	40	43	27	39	43	4.07	
2710	20-11-14	16-33	27	39	43	25	38	43	4.06	
2711	20-11-14	16-39	27	40	41	25	39	41	4.07	
2712	20-11-14	16-44	24	38	40	24	37	40	4.07	
2713	20-11-14	16-50	28	36	38	27	36	38	4.07	
2714	20-11-14	16-55	25	35	37	24	35	37	4.07	
2715	20-11-14	17-1	25	39	41	24	38	41	4.06	
2716	20-11-14	17-6	28	39	41	27	38	41	4.07	
2717	20-11-14	17-12	28	40	45	27	39	45	4.07	
2718	20-11-14	17-17	28	38	39	27	36	39	4.06	
2719	20-11-14	17-23	28	40	44	27	39	44	4.06	
2720	20-11-14	17-28	30	43	45	28	40	45	4.06	
2721	20-11-14	17-34	25	37	37	24	37	37	4.06	
2722	20-11-14	17-39	28	40	43	27	39	43	4.05	
2723	20-11-14	17-45	28	41	45	27	39	45	4.06	
2724	20-11-14	17-50	28	36	38	27	36	38	4.06	
2725	20-11-14	17-56	30	44	48	28	40	48	4.06	
2726	20-11-14	18-2	29	43	49	27	40	49	4.07	
2727	20-11-14	18-7	32	44	45	28	40	45	4.05	
2728	20-11-14	18-13	33	49	53	29	44	53	4.05	
2729	20-11-14	18-18	34	46	55	29	43	55	4.06	
2730	20-11-14	18-24	33	50	55	29	44	55	4.06	
2731	20-11-14	18-29	34	48	50	29	43	50	4.06	
2732	20-11-14	18-35	35	51	59	30	45	58	4.06	
2733	20-11-14	18-40	33	48	50	29	43	50	4.05	
2734	20-11-14	18-46	35	53	58	30	46	56	4.05	
2735	20-11-14	18-51	37	51	54	32	45	54	4.05	
2736	20-11-14	18-57	39	56	63	33	48	60	4.05	
2737	20-11-14	19-2	34	49	59	29	44	58	4.05	
2738	20-11-14	19-8	39	57	61	33	49	59	4.05	
2739	20-11-14	19-13	40	56	61	33	48	59	4.05	
2740	20-11-14	19-19	37	56	61	32	48	59	4.05	
2741	20-11-14	19-25	37	56	61	32	48	59	4.05	
2742	20-11-14	19-30	39	56	64	33	48	60	4.05	
2743	20-11-14	19-36	39	56	59	33	48	58	4.04	
2744	20-11-14	19-41	35	49	51	30	44	51	4.04	
2745	20-11-14	19-47	37	51	56	32	45	55	4.04	
2746	20-11-14	19-52	37	56	64	32	48	60	4.03	
2747	20-11-14	19-58	41	60	65	34	50	61	4.06	
2748	20-11-14	20-3	38	51	53	32	45	53	4.04	
2749	20-11-14	20-9	39	56	65	33	48	61	4.04	
2750	20-11-14	20-14	38	54	56	31	46	55	4.04	
2751	20-11-14	20-20	39	58	59	33	49	58	4.04	
2752	20-11-14	20-25	39	56	61	33	48	59	4.04	
2753	20-11-14	20-31	44	59	63	34	49	60	4.03	
2754	20-11-14	20-36	41	61	70	34	50	64	4.04	
2755	20-11-14	20-42	39	59	62	33	49	60	4.04	
2756	20-11-14	20-48	40	56	60	33	48	58	4.01	
2757	20-11-14	20-53	44	66	71	34	53	65	4.04	
2758	20-11-14	20-59	41	62	66	34	51	61	4.03	
2759	20-11-14	21-4	44	61	71	34	50	65	4.04	
2760	20-11-14	21-10	41	58	61	34	49	59	4.04	
2761	20-11-14	21-15	41	61	65	34	50	61	4.04	
2762	20-11-14	21-21	44	65	75	34	53	68	4.01	
2763	20-11-14	21-26	42	60	66	34	50	61	4.03	
2764	20-11-14	21-32	47	66	83	35	53	71	4	
2765	20-11-14	21-37	41	61	74	34	50	66	4.03	
2766	20-11-14	21-43	45	64	70	35	51	64	4.02	
2767	20-11-14	21-48	44	65	70	34	53	64	4.03	
2768	20-11-14	21-54	44	65	74	34	53	66	4.03	
2769	20-11-14	21-55	43	64	71	35	53	66	4.33	
2770	20-11-14	22-1	42	61	66	36	52	64	4.22	
2771	20-11-14	22-6	42	59	63	35	51	62	4.2	
2772	20-11-14	22-12	44	62	67	36	52	63	4.19	
2773	20-11-14	22-17	45	67	80	36	54	71	4.19	
2774	20-11-14	22-23	43	66	76	35	53	69	4.19	
2775	20-11-14	22-28	43	65	74	35	53	67	4.19	
2776	20-11-14	22-34	45	72	78	35	55	69	4.19	
2777	20-11-14	22-39	39	64	71	32	52	65	4.19	
2778	20-11-14	22-45	46	70	76	36	55	69	4.2	
2779	20-11-14	22-50	44	71	79	34	54	69	4.2	
2780	20-11-14	22-56	44	69	78	34	54	69	4.2	
2781	20-11-14	23-1	48	74	81	37	57	70	4.2	
2782	20-11-14	23-7	52	68	6081	1877	356	36	4.2	
2783	20-11-14	23-12	49	68	78	36	53	68	4.2	
2784	20-11-14	23-18	48	74	82	36	56	70	4.2	
2785	20-11-14	23-23	46	70	75	35	54	66	4.2	
2786	20-11-14	23-29	45	73	85	35	55	72	4.2	
2787	20-11-14	23-34	46	73	78	36	55	68	4.19	
2788	20-11-14	23-40	49	74	81	37	55	69	4.19	
2789	20-11-14	23-45	41	63	72	33	51	65	4.19	
2790	20-11-14	23-51	36	54	60	30	46	58	4.19	
2791	20-11-14	23-56	44	64	74	34	51	66	4.19	
2792	20-11-15	0-2	34	49	55	29	43	54	4.19	
2793	20-11-15	0-7	37	54	60	31	45	57	4.19	
2794	20-11-15	0-13	31	45	49	28	41	49	4.19	
2795	20-11-15	0-18	32	47	52	28	42	52	4.19	
2796	20-11-15	0-24	30	41	44	26	38	44	4.19	
2797	20-11-15	0-29	35	51	56	30	44	54	4.19	
2798	20-11-15	0-35	33	47	52	29	41	52	4.19	
2799	20-11-15	0-40	35	54	62	30	46	58	4.19	
2800	20-11-15	0-46	34	50	55	30	43	54	4.19	
2801	20-11-15	0-51	34	49	54	30	43	53	4.19	
2802	20-11-15	0-57	35	47	54	30	41	53	4.19	
2803	20-11-15	1-2	34	54	57	29	46	55	4.18	
2804	20-11-15	1-8	36	50	54	31	43	53	4.19	
2805	20-11-15	1-13	40	61	65	32	49	60	4.18	
2806	20-11-15	1-19	32	46	51	27	41	51	4.19	
2807	20-11-15	1-24	33	48	51	28	42	51	4.18	
2808	20-11-15	1-30	34	47	50	29	41	50	4.18	
2809	20-11-15	1-35	39	55	59	32	46	56	4.18	
2810	20-11-15	1-41	41	58	62	32	48	57	4.18	
2811	20-11-15	1-47	40	61	63	32	49	59	4.18	
2812	20-11-15	1-52	40	62	74	32	50	65	4.18	
2813	20-11-15	1-58	43	61	74	33	50	65	4.18	
2814	20-11-15	2-3	46	65	73	35	51	65	4.18	
2815	20-11-15	2-9	44	64	70	33	51	63	4.18	
2816	20-11-15	2-14	45	65	77	35	51	66	4.18	
2817	20-11-15	2-20	46	73	86	35	54	72	4.18	
2818	20-11-15	2-25	47	69	75	35	53	66	4.18	
2819	20-11-15	2-31	47	68	79	35	53	68	4.18	
2820	20-11-15	2-36	43	63	70	34	50	63	4.18	
2821	20-11-15	2-42	47	68	78	35	53	67	4.18	
2822	20-11-15	2-47	45	63	73	34	50	65	4.18	
2823	20-11-15	2-53	47	69	75	35	53	66	4.18	
2824	20-11-15	2-58	48	69	77	36	53	67	4.18	
2825	20-11-15	3-4	48	73	83	36	54	71	4.18	
2826	20-11-15	3-9	47	70	77	35	53	67	4.18	
2827	20-11-15	3-15	46	70	81	35	53	69	4.19	
2828	20-11-15	3-20	46	69	78	35	53	67	4.18	
2829	20-11-15	3-26	47	70	80	35	53	69	4.18	
2830	20-11-15	3-31	52	67	6516	1998	343	27	4.18	
2831	20-11-15	3-37	50	71	78	36	54	68	4.18	
2832	20-11-15	3-42	49	70	75	37	53	67	4.18	
2833	20-11-15	3-48	50	72	79	37	55	68	4.18	
2834	20-11-15	3-53	46	69	79	36	54	68	4.18	
2835	20-11-15	3-59	46	72	78	36	55	68	4.18	
2836	20-11-15	4-4	49	74	82	37	55	70	4.18	
2837	20-11-15	4-10	49	72	81	37	55	69	4.18	
2838	20-11-15	4-15	48	67	77	36	53	67	4.18	
2839	20-11-15	4-21	51	72	83	37	55	71	4.18	
2840	20-11-15	4-26	49	76	85	37	56	72	4.18	
2841	20-11-15	4-32	48	79	86	36	58	73	4.18	
2842	20-11-15	4-37	44	73	83	35	55	71	4.18	
2843	20-11-15	4-43	50	71	78	37	54	69	4.18	
2844	20-11-15	4-48	50	75	82	37	55	70	4.18	
2845	20-11-15	4-54	52	77	88	37	57	74	4.18	
2846	20-11-15	4-59	52	80	89	37	58	75	4.18	
2847	20-11-15	5-5	53	78	86	38	58	72	4.18	
2848	20-11-15	5-10	56	78	88	40	57	74	4.18	
2849	20-11-15	5-16	55	84	94	40	60	76	4.18	
2850	20-11-15	5-21	57	86	93	40	60	76	4.18	
2851	20-11-15	5-27	53	79	90	38	58	75	4.18	
2852	20-11-15	5-32	55	83	95	39	60	77	4.18	
2853	20-11-15	5-38	55	83	98	39	60	78	4.18	
2854	20-11-15	5-43	54	78	87	39	57	74	4.18	
2855	20-11-15	5-49	54	81	97	39	58	78	4.18	
2856	20-11-15	5-54	53	77	81	39	57	70	4.18	
2857	20-11-15	6-0	54	80	93	38	58	75	4.18	
2858	20-11-15	6-5	52	77	89	37	57	74	4.18	
2859	20-11-15	6-11	56	82	97	40	59	78	4.18	
2860	20-11-15	6-16	52	78	83	37	57	70	4.18	
2861	20-11-15	6-22	57	83	95	40	59	77	4.18	
2862	20-11-15	6-27	55	83	86	39	59	73	4.18	
2863	20-11-15	6-33	49	73	75	36	56	67	4.18	
2864	20-11-15	6-38	55	78	90	39	57	75	4.18	
2865	20-11-15	6-44	53	79	88	39	58	74	4.18	
2866	20-11-15	6-49	51	73	82	37	56	71	4.18	
2867	20-11-15	6-55	52	80	94	37	58	77	4.18	
2868	20-11-15	7-0	50	78	84	38	57	72	4.18	
2869	20-11-15	7-6	51	75	80	37	56	69	4.18	
2870	20-11-15	7-11	49	75	85	37	56	73	4.18	
2871	20-11-15	7-17	48	75	79	37	56	69	4.18	
2872	20-11-15	7-22	49	72	75	36	55	67	4.18	
2873	20-11-15	7-28	46	70	77	35	54	68	4.18	
2874	20-11-15	7-33	45	70	82	35	54	71	4.18	
2875	20-11-15	7-39	46	68	77	35	54	68	4.18	
2876	20-11-15	7-44	46	67	78	35	54	68	4.18	
2877	20-11-15	7-50	47	79	86	35	58	74	4.18	
2878	20-11-15	7-55	45	66	76	35	52	67	4.18	
2879	20-11-15	8-1	46	70	76	35	54	67	4.18	
2880	20-11-15	8-6	43	61	69	34	50	64	4.18	
2881	20-11-15	8-12	43	65	70	34	53	64	4.18	
2882	20-11-15	8-17	44	66	81	34	53	70	4.18	
2883	20-11-15	8-23	43	66	70	34	52	64	4.18	
2884	20-11-15	8-28	38	54	60	32	46	57	4.18	
2885	20-11-15	8-34	38	55	61	31	47	58	4.18	
2886	20-11-15	8-39	38	55	62	32	48	60	4.18	
2887	20-11-15	8-45	40	60	67	33	50	62	4.18	
2888	20-11-15	8-50	34	52	56	29	46	55	4.18	
2889	20-11-15	8-56	31	47	54	28	42	54	4.18	
2890	20-11-15	9-1	35	51	57	30	45	56	4.16	
2891	20-11-15	9-7	30	44	44	27	41	44	4.16	
2892	20-11-15	9-13	32	50	53	29	44	53	4.16	
2893	20-11-15	9-18	31	45	48	27	41	48	4.16	
2894	20-11-15	9-24	32	43	47	29	40	47	4.15	
2895	20-11-15	9-29	29	44	50	26	40	50	4.15	
2896	20-11-15	9-35	29	42	45	26	40	45	4.15	
2897	20-11-15	9-40	33	44	47	29	40	47	4.16	
2898	20-11-15	9-46	30	45	51	28	41	51	4.15	
2899	20-11-15	9-51	33	52	54	29	46	54	4.16	
2900	20-11-15	9-57	30	44	56	28	40	55	4.15	
2901	20-11-15	10-2	27	39	41	25	38	41	4.14	
2902	20-11-15	10-8	29	43	50	27	40	50	4.13	
2903	20-11-15	10-13	28	37	44	26	36	44	4.14	
2904	20-11-15	10-19	25	39	41	24	38	41	4.14	
2905	20-11-15	10-24	24	37	40	24	36	40	4.14	
2906	20-11-15	10-30	25	35	45	24	35	45	4.13	
2907	20-11-15	10-36	24	38	41	24	36	41	4.14	
2908	20-11-15	10-41	24	35	37	24	35	37	4.13	
2909	20-11-15	10-47	23	34	37	23	34	37	4.13	
2910	20-11-15	10-52	25	38	41	24	36	41	4.13	
2911	20-11-15	10-58	25	34	37	24	34	37	4.13	
2912	20-11-15	11-3	22	34	39	22	34	39	4.13	
2913	20-11-15	11-9	22	33	35	22	33	35	4.13	
2914	20-11-15	11-14	22	33	34	22	33	34	4.12	
2915	20-11-15	11-20	23	33	35	23	33	35	4.12	
2916	20-11-15	11-25	23	36	36	23	36	36	4.12	
2917	20-11-15	11-31	22	30	31	22	30	31	4.12	
2918	20-11-15	11-36	20	29	30	20	29	30	4.11	
2919	20-11-15	11-42	22	31	34	22	31	34	4.12	
2920	20-11-15	11-47	20	33	37	20	33	37	4.12	
2921	20-11-15	11-53	20	30	35	20	30	35	4.12	
2922	20-11-15	11-59	20	33	34	20	33	34	4.11	
2923	20-11-15	12-4	19	28	28	19	28	28	4.12	
2924	20-11-15	12-10	19	29	30	19	29	30	4.11	
2925	20-11-15	12-15	24	33	35	24	33	35	4.11	
2926	20-11-15	12-21	20	29	31	20	29	31	4.11	
2927	20-11-15	12-26	19	25	28	19	25	28	4.11	
2928	20-11-15	12-32	20	28	30	20	28	30	4.11	
2929	20-11-15	12-37	18	28	33	18	28	33	4.11	
2930	20-11-15	12-43	20	30	31	20	30	31	4.11	
2931	20-11-15	12-48	19	29	29	19	29	29	4.1	
2932	20-11-15	12-54	19	29	33	19	29	33	4.1	
2933	20-11-15	12-59	19	28	30	19	28	30	4.11	
2934	20-11-15	13-5	22	30	31	22	30	31	4.1	
2935	20-11-15	13-10	20	30	34	20	30	34	4.1	
2936	20-11-15	13-16	22	33	35	22	33	35	4.1	
2937	20-11-15	13-22	20	30	34	20	30	34	4.1	
2938	20-11-15	13-27	20	30	33	20	30	33	4.1	
2939	20-11-15	13-33	22	31	33	22	31	33	4.1	
2940	20-11-15	13-38	19	28	29	19	28	29	4.1	
2941	20-11-15	13-44	19	29	31	19	29	31	4.09	
2942	20-11-15	13-49	20	29	30	20	29	30	4.11	
2943	20-11-15	13-55	19	29	30	19	29	30	4.09	
2944	20-11-15	14-0	19	28	28	19	28	28	4.09	
2945	20-11-15	14-6	18	25	25	18	25	25	4.09	
2946	20-11-15	14-11	19	29	34	19	29	34	4.09	
2947	20-11-15	14-17	20	29	31	20	29	31	4.09	
2948	20-11-15	14-22	18	25	27	18	25	27	4.09	
2949	20-11-15	14-28	20	28	30	20	28	30	4.09	
2950	20-11-15	14-33	19	30	32	19	30	32	4.09	
2951	20-11-15	14-39	20	31	31	20	31	31	4.09	
2952	20-11-15	14-45	22	31	33	22	31	33	4.09	
2953	20-11-15	14-50	22	30	33	22	30	33	4.09	
2954	20-11-15	14-56	22	32	33	22	32	33	4.09	
2955	20-11-15	15-1	20	29	32	20	29	32	4.08	
2956	20-11-15	15-7	19	28	29	19	28	29	4.08	
2957	20-11-15	15-12	20	30	31	20	30	31	4.08	
2958	20-11-15	15-18	22	31	35	22	31	35	4.08	
2959	20-11-15	15-23	19	30	33	19	30	33	4.08	
2960	20-11-15	15-29	20	30	31	20	30	31	4.07	
2961	20-11-15	15-34	19	29	31	19	29	31	4.08	
2962	20-11-15	15-40	20	28	31	20	28	31	4.08	
2963	20-11-15	15-45	19	28	28	19	28	28	4.07	
2964	20-11-15	15-51	20	28	31	20	28	31	4.08	
2965	20-11-15	15-56	22	31	34	22	31	34	4.08	
2966	20-11-15	16-2	20	31	32	20	31	32	4.07	
2967	20-11-15	16-8	22	29	31	22	29	31	4.07	
2968	20-11-15	16-13	20	32	36	20	32	36	4.07	
2969	20-11-15	16-19	22	32	34	22	32	34	4.07	
