数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-5	0-20	9	14	15	9	14	15	4.23	
1	20-11-5	0-25	10	14	14	10	14	14	4.22	
2	20-11-5	0-31	10	14	14	10	14	14	4.22	
3	20-11-5	0-37	7	10	10	7	10	10	4.22	
4	20-11-5	0-42	7	11	12	7	11	12	4.22	
5	20-11-5	0-48	9	14	14	9	14	14	4.22	
6	20-11-5	0-53	6	9	10	6	9	10	4.22	
7	20-11-5	0-59	6	10	10	6	10	10	4.22	
8	20-11-5	1-4	6	11	12	6	11	12	4.22	
9	20-11-5	1-10	7	11	12	7	11	12	4.22	
10	20-11-5	1-15	7	10	11	7	10	11	4.22	
11	20-11-5	1-21	9	13	14	9	13	14	4.22	
12	20-11-5	1-26	9	13	13	9	13	13	4.22	
13	20-11-5	1-32	9	14	14	9	14	14	4.22	
14	20-11-5	1-37	9	13	14	9	13	14	4.22	
15	20-11-5	1-43	10	14	16	10	14	16	4.22	
16	20-11-5	1-48	8	13	13	8	13	13	4.22	
17	20-11-5	1-54	10	14	15	10	14	15	4.22	
18	20-11-5	1-59	8	11	11	8	11	11	4.22	
19	20-11-5	2-5	8	12	13	8	12	13	4.22	
20	20-11-5	2-10	7	11	11	7	11	11	4.22	
21	20-11-5	2-16	10	13	14	10	13	14	4.22	
22	20-11-5	2-21	10	13	14	10	13	14	4.22	
23	20-11-5	2-27	8	12	14	8	12	14	4.22	
24	20-11-5	2-32	8	13	15	8	13	15	4.22	
25	20-11-5	2-38	8	12	14	8	12	14	4.22	
26	20-11-5	2-43	8	11	11	8	11	11	4.22	
27	20-11-5	2-49	8	12	12	8	12	12	4.22	
28	20-11-5	2-54	8	11	11	8	11	11	4.22	
29	20-11-5	3-0	9	13	14	9	13	14	4.22	
30	20-11-5	3-5	9	12	13	9	12	13	4.22	
31	20-11-5	3-11	8	12	12	8	12	12	4.22	
32	20-11-5	3-16	7	10	12	7	10	12	4.22	
33	20-11-5	3-22	9	14	14	9	14	14	4.22	
34	20-11-5	3-27	9	13	14	9	13	14	4.22	
35	20-11-5	3-33	8	12	12	8	12	12	4.22	
36	20-11-5	3-38	7	11	11	7	11	11	4.22	
37	20-11-5	3-44	7	11	11	7	11	11	4.22	
38	20-11-5	3-49	7	11	11	7	11	11	4.22	
39	20-11-5	3-55	7	11	12	7	11	12	4.22	
40	20-11-5	4-0	7	11	11	7	11	11	4.22	
41	20-11-5	4-6	6	10	10	6	10	10	4.22	
42	20-11-5	4-11	7	12	14	7	12	14	4.22	
43	20-11-5	4-17	6	10	10	6	10	10	4.22	
44	20-11-5	4-22	6	10	11	6	10	11	4.22	
45	20-11-5	4-28	7	10	11	7	10	11	4.22	
46	20-11-5	4-33	8	11	12	8	11	12	4.22	
