数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
58	20-10-30	4-22	21	34	42	21	34	42	4.21	
59	20-10-30	4-28	26	45	50	26	44	50	4.21	
60	20-10-30	4-33	24	40	45	24	40	45	4.21	
61	20-10-30	4-39	24	40	47	24	40	47	4.21	
62	20-10-30	4-44	23	40	43	23	40	43	4.21	
63	20-10-30	4-50	23	39	44	23	39	44	4.21	
64	20-10-30	4-55	23	40	45	23	40	45	4.21	
65	20-10-30	5-1	26	39	43	26	39	43	4.21	
66	20-10-30	5-6	29	45	46	28	43	46	4.21	
67	20-10-30	5-12	25	40	50	25	40	50	4.21	
68	20-10-30	5-17	26	38	39	26	38	39	4.21	
69	20-10-30	5-23	25	41	47	25	41	47	4.22	
70	20-10-30	5-28	29	41	48	28	41	48	4.21	
71	20-10-30	5-34	25	44	48	25	42	48	4.21	
72	20-10-30	5-39	25	41	48	25	41	48	4.21	
73	20-10-30	5-45	24	42	45	24	42	45	4.21	
74	20-10-30	5-50	28	44	48	28	43	48	4.21	
75	20-10-30	5-56	25	43	45	25	43	45	4.21	
76	20-10-30	6-1	27	41	48	27	41	48	4.21	
77	20-10-30	6-7	26	45	52	26	43	52	4.23	
78	20-10-30	6-12	27	44	46	27	43	46	4.21	
79	20-10-30	6-18	25	46	57	25	44	57	4.21	
80	20-10-30	6-23	31	49	57	30	46	57	4.21	
81	20-10-30	6-29	32	48	55	30	46	55	4.22	
82	20-10-30	6-34	30	56	67	29	51	65	4.22	
83	20-10-30	6-40	35	60	67	32	52	65	4.22	
84	20-10-30	6-45	29	46	50	29	45	50	4.22	
85	20-10-30	6-51	33	55	65	32	51	65	4.22	
86	20-10-30	6-56	29	48	53	29	46	53	4.21	
87	20-10-30	7-2	30	50	56	29	48	56	4.22	
88	20-10-30	7-7	30	46	50	29	45	50	4.22	
89	20-10-30	7-13	31	53	58	30	49	58	4.21	
90	20-10-30	7-18	29	43	49	29	43	49	4.22	
91	20-10-30	7-24	30	45	46	29	43	46	4.21	
92	20-10-30	7-30	24	43	46	24	43	46	4.22	
93	20-10-30	7-35	27	43	45	27	43	45	4.22	
94	20-10-30	7-41	29	50	56	29	47	56	4.22	
95	20-10-30	7-46	30	53	63	29	49	63	4.21	
96	20-10-30	7-52	27	46	52	27	45	52	4.25	
97	20-10-30	7-57	24	37	44	24	37	44	4.22	
98	20-10-30	8-3	21	36	37	21	36	37	4.21	
99	20-10-30	8-8	17	27	29	17	27	29	4.21	
100	20-10-30	8-14	15	24	30	15	24	30	4.21	
101	20-10-30	8-19	14	22	25	14	22	25	4.21	
102	20-10-30	8-25	15	25	30	15	25	30	4.21	
103	20-10-30	8-30	10	17	18	10	17	18	4.21	
104	20-10-30	8-36	10	15	15	10	15	15	4.21	
105	20-10-30	8-41	9	18	27	9	18	27	4.21	
106	20-10-30	8-47	11	18	21	11	18	21	4.21	
107	20-10-30	8-52	7	14	17	7	14	17	4.21	
108	20-10-30	8-58	10	18	20	10	18	20	4.21	
109	20-10-30	9-3	8	12	14	8	12	14	4.21	
110	20-10-30	9-9	7	12	14	7	12	14	4.21	
111	20-10-30	9-14	8	17	19	8	17	19	4.21	
112	20-10-30	9-20	7	14	14	7	14	14	4.21	
113	20-10-30	9-25	7	12	12	7	12	12	4.21	
114	20-10-30	9-31	5	11	11	5	11	11	4.21	
115	20-10-30	9-36	7	11	12	7	11	12	4.21	
116	20-10-30	9-42	7	15	17	7	15	17	4.21	
117	20-10-30	9-47	7	14	15	7	14	15	4.21	
118	20-10-30	9-53	7	12	17	7	12	17	4.21	
119	20-10-30	9-58	4	9	14	4	9	14	4.21	
120	20-10-30	10-4	7	12	14	7	12	14	4.21	
121	20-10-30	10-9	5	8	8	5	8	8	4.21	
122	20-10-30	10-15	7	12	15	7	12	15	4.21	
123	20-10-30	10-20	5	9	9	5	9	9	4.21	
124	20-10-30	10-26	4	9	11	4	9	11	4.21	
125	20-10-30	10-31	4	9	17	4	9	17	4.21	
126	20-10-30	10-37	4	11	12	4	11	12	4.21	
127	20-10-30	10-42	4	9	12	4	9	12	4.21	
128	20-10-30	10-48	5	12	12	5	12	12	4.21	
129	20-10-30	10-53	5	11	11	5	11	11	4.21	
130	20-10-30	10-59	4	8	9	4	8	9	4.21	
131	20-10-30	11-4	7	12	14	7	12	14	4.21	
132	20-10-30	11-10	5	12	17	5	12	17	4.21	
133	20-10-30	11-15	8	14	15	8	14	15	4.21	
134	20-10-30	11-21	8	18	21	8	18	21	4.21	
135	20-10-30	11-26	8	12	14	8	12	14	4.21	
136	20-10-30	11-32	9	19	22	9	19	22	4.21	
137	20-10-30	11-37	9	17	17	9	17	17	4.21	
138	20-10-30	11-43	9	21	25	9	21	25	4.22	
139	20-10-30	11-48	11	21	24	11	21	24	4.21	
140	20-10-30	11-54	9	18	18	9	18	18	4.21	
141	20-10-30	11-59	12	21	26	12	21	26	4.21	
142	20-10-30	12-5	11	18	21	11	18	21	4.21	
143	20-10-30	12-10	11	19	24	11	19	24	4.21	
144	20-10-30	12-16	8	15	16	8	15	16	4.21	
145	20-10-30	12-21	8	14	18	8	14	18	4.21	
146	20-10-30	12-27	7	14	14	7	14	14	4.21	
147	20-10-30	12-32	8	15	18	8	15	18	4.21	
148	20-10-30	12-38	7	15	17	7	15	17	4.21	
149	20-10-30	12-43	7	12	18	7	12	18	4.21	
150	20-10-30	12-49	7	14	16	7	14	16	4.21	
151	20-10-30	12-54	5	12	15	5	12	15	4.21	
152	20-10-30	13-0	5	15	16	5	15	16	4.21	
153	20-10-30	13-5	7	14	15	7	14	15	4.21	
154	20-10-30	13-11	5	14	15	5	14	15	4.21	
155	20-10-30	13-16	7	15	19	7	15	19	4.21	
156	20-10-30	13-22	5	9	11	5	9	11	4.21	
157	20-10-30	13-27	5	11	12	5	11	12	4.21	
158	20-10-30	13-33	8	18	21	8	18	21	4.21	
159	20-10-30	13-38	7	12	15	7	12	15	4.21	
160	20-10-30	13-44	5	9	11	5	9	11	4.21	
161	20-10-30	13-49	7	12	14	7	12	14	4.21	
162	20-10-30	13-55	8	15	19	8	15	19	4.21	
163	20-10-30	14-0	5	9	11	5	9	11	4.21	
164	20-10-30	14-6	4	11	12	4	11	12	4.21	
165	20-10-30	14-11	5	12	13	5	12	13	4.21	
166	20-10-30	14-17	5	11	11	5	11	11	4.21	
167	20-10-30	14-22	7	11	12	7	11	12	4.21	
168	20-10-30	14-28	5	9	9	5	9	9	4.21	
169	20-10-30	14-33	8	13	13	8	13	13	4.21	
170	20-10-30	14-39	5	12	13	5	12	13	4.21	
171	20-10-30	14-44	5	12	13	5	12	13	4.21	
172	20-10-30	14-50	6	12	13	6	12	13	4.21	
173	20-10-30	14-55	5	9	12	5	9	12	4.21	
174	20-10-30	15-1	5	13	13	5	13	13	4.21	
175	20-10-30	15-6	6	11	12	6	11	12	4.21	
176	20-10-30	15-12	6	12	13	6	12	13	4.21	
177	20-10-30	15-17	6	13	16	6	13	16	4.21	
178	20-10-30	15-23	6	13	15	6	13	15	4.21	
179	20-10-30	15-28	5	11	11	5	11	11	4.21	
180	20-10-30	15-34	4	9	12	4	9	12	4.20	
181	20-10-30	15-39	5	11	12	5	11	12	4.21	
182	20-10-30	15-45	6	13	13	6	13	13	4.21	
183	20-10-30	15-50	6	12	12	6	12	12	4.20	
184	20-10-30	15-56	4	9	11	4	9	11	4.21	
185	20-10-30	16-1	4	12	12	4	12	12	4.21	
186	20-10-30	16-7	5	9	9	5	9	9	4.21	
187	20-10-30	16-12	4	9	11	4	9	11	4.21	
188	20-10-30	16-18	7	12	15	7	12	15	4.21	
189	20-10-30	16-23	4	9	11	4	9	11	4.21	
190	20-10-30	16-29	7	12	12	7	12	12	4.21	
191	20-10-30	16-34	5	11	12	5	11	12	4.21	
192	20-10-30	16-40	7	12	12	7	12	12	4.21	
193	20-10-30	16-45	8	16	18	8	16	18	4.21	
194	20-10-30	16-51	5	12	12	5	12	12	4.21	
195	20-10-30	16-57	5	14	18	5	14	18	4.21	
196	20-10-30	17-2	7	12	14	7	12	14	4.21	
197	20-10-30	17-8	7	11	12	7	11	12	4.21	
198	20-10-30	17-13	5	11	12	5	11	12	4.21	
199	20-10-30	17-19	5	11	14	5	11	14	4.21	
200	20-10-30	17-24	7	12	14	7	12	14	4.21	
201	20-10-30	17-30	8	15	20	8	15	20	4.21	
202	20-10-30	17-35	7	14	17	7	14	17	4.21	
203	20-10-30	17-41	8	15	20	8	15	20	4.21	
204	20-10-30	17-46	8	14	18	8	14	18	4.21	
205	20-10-30	17-52	8	14	14	8	14	14	4.21	
206	20-10-30	17-57	7	15	18	7	15	18	4.21	
207	20-10-30	18-3	7	13	14	7	13	14	4.21	
208	20-10-30	18-8	8	14	20	8	14	20	4.21	
209	20-10-30	18-14	7	14	17	7	14	17	4.21	
210	20-10-30	18-19	8	15	15	8	15	15	4.21	
211	20-10-30	18-25	8	15	17	8	15	17	4.21	
212	20-10-30	18-30	8	15	18	8	15	18	4.21	
213	20-10-30	18-36	8	15	15	8	15	15	4.21	
214	20-10-30	18-41	8	15	20	8	15	20	4.21	
215	20-10-30	18-47	7	13	14	7	13	14	4.21	
216	20-10-30	18-52	7	13	14	7	13	14	4.21	
217	20-10-30	18-58	8	16	17	8	16	17	4.21	
218	20-10-30	19-3	10	18	18	10	18	18	4.21	
219	20-10-30	19-9	11	18	20	11	18	20	4.21	
220	20-10-30	19-14	10	17	17	10	17	17	4.21	
221	20-10-30	19-20	10	17	20	10	17	20	4.21	
222	20-10-30	19-25	10	18	21	10	18	21	4.21	
223	20-10-30	19-31	10	17	18	10	17	18	4.21	
224	20-10-30	19-36	11	17	18	11	17	18	4.21	
225	20-10-30	19-42	10	20	21	10	20	21	4.21	
226	20-10-30	19-47	13	23	24	13	23	24	4.21	
227	20-10-30	19-53	12	18	20	12	18	20	4.21	
228	20-10-30	19-58	11	20	23	11	20	23	4.21	
229	20-10-30	20-4	11	18	23	11	18	23	4.21	
230	20-10-30	20-9	12	21	24	12	21	24	4.21	
231	20-10-30	20-15	12	18	20	12	18	20	4.20	
232	20-10-30	20-20	12	24	27	12	24	27	4.21	
233	20-10-30	20-26	12	21	25	12	21	25	4.20	
234	20-10-30	20-31	14	24	25	14	24	25	4.20	
235	20-10-30	20-37	14	23	24	14	23	24	4.20	
236	20-10-30	20-42	14	23	24	14	23	24	4.20	
237	20-10-30	20-48	15	27	28	15	27	28	4.20	
238	20-10-30	20-53	17	27	31	17	27	31	4.20	
239	20-10-30	20-59	14	26	28	14	26	28	4.20	
240	20-10-30	21-4	14	24	30	14	24	30	4.20	
241	20-10-30	21-10	15	26	28	15	26	28	4.20	
242	20-10-30	21-15	15	24	30	15	24	30	4.20	
243	20-10-30	21-21	13	21	24	13	21	24	4.20	
244	20-10-30	21-26	14	26	27	14	26	27	4.20	
245	20-10-30	21-32	14	23	29	14	23	29	4.20	
246	20-10-30	21-37	15	27	34	15	27	34	4.20	
247	20-10-30	21-43	14	22	28	14	22	28	4.23	
248	20-10-30	21-48	14	22	22	14	22	22	4.22	
249	20-10-30	21-54	16	25	26	16	25	26	4.22	
250	20-10-30	21-59	16	23	26	16	23	26	4.22	
251	20-10-30	22-5	13	20	22	13	20	22	4.22	
252	20-10-30	22-10	14	23	29	14	23	29	4.22	
253	20-10-30	22-16	14	25	26	14	25	26	4.21	
254	20-10-30	22-21	17	26	35	17	26	35	4.22	
255	20-10-30	22-27	19	31	44	19	31	44	4.22	
256	20-10-30	22-32	25	42	53	25	42	53	4.22	
257	20-10-30	22-38	19	32	41	19	32	41	4.22	
258	20-10-30	22-43	22	33	41	22	33	41	4.21	
259	20-10-30	22-49	19	30	38	19	30	38	4.21	
260	20-10-30	22-54	17	26	29	17	26	29	4.21	
261	20-10-30	23-0	16	25	33	16	25	33	4.23	
262	20-10-30	23-5	16	25	29	16	25	29	4.21	
263	20-10-30	23-11	16	26	29	16	26	29	4.22	
264	20-10-30	23-16	14	23	28	14	23	28	4.21	
265	20-10-30	23-22	16	25	29	16	25	29	4.22	
266	20-10-30	23-27	16	28	28	16	28	28	4.21	
267	20-10-30	23-41	12	18	18	12	18	18	4.25	
268	20-11-3	23-59	4	11	14	4	11	14	4.16	
269	20-11-4	0-2	4	9	12	4	9	12	4.16	
270	20-11-4	0-3	0	0	0	0	0	0	4.23	
271	20-11-4	0-9	0	0	0	0	0	0	4.16	
272	20-11-4	0-19	4	9	14	4	9	14	4.15	
273	20-11-4	0-30	4	8	9	4	8	9	4.15	
274	20-11-4	0-40	4	10	12	4	10	12	4.15	
275	20-11-4	0-51	4	9	13	4	9	13	4.14	
276	20-11-4	1-2	4	8	8	4	8	8	4.14	
277	20-11-4	1-12	5	10	13	5	10	13	4.14	
278	20-11-4	1-23	7	14	19	7	14	19	4.13	
279	20-11-4	1-33	5	10	12	5	10	12	4.14	
280	20-11-4	1-44	5	11	13	5	11	13	4.13	
281	20-11-4	1-54	3	7	7	3	7	7	4.14	
282	20-11-4	2-5	3	9	13	3	9	13	4.13	
283	20-11-4	2-15	3	7	7	3	7	7	4.13	
284	20-11-4	2-26	5	9	10	5	9	10	4.13	
285	20-11-4	2-36	3	7	9	3	7	9	4.12	
286	20-11-4	2-47	3	7	7	3	7	7	4.12	
287	20-11-4	2-57	5	9	11	5	9	11	4.12	
288	20-11-4	3-8	5	9	10	5	9	10	4.12	
289	20-11-4	3-18	5	9	10	5	9	10	4.12	
290	20-11-4	3-29	5	9	10	5	9	10	4.12	
291	20-11-4	3-40	5	9	10	5	9	10	4.11	
292	20-11-4	3-50	5	10	11	5	10	11	4.11	
293	20-11-4	4-1	3	7	9	3	7	9	4.11	
294	20-11-4	4-11	5	9	10	5	9	10	4.11	
295	20-11-4	4-22	5	9	11	5	9	11	4.10	
296	20-11-4	4-32	5	10	11	5	10	11	4.10	
297	20-11-4	4-43	6	10	10	6	10	10	4.10	
298	20-11-4	4-53	5	9	9	5	9	9	4.10	
299	20-11-4	5-4	6	9	9	6	9	9	4.10	
300	20-11-4	5-14	5	9	9	5	9	9	4.07	
301	20-11-4	5-25	5	9	9	5	9	9	4.10	
302	20-11-4	5-35	6	11	14	6	11	14	4.09	
303	20-11-4	5-46	5	9	10	5	9	10	4.09	
304	20-11-4	5-56	6	11	13	6	11	13	4.09	
305	20-11-4	6-7	6	11	15	6	11	15	4.10	
306	20-11-4	6-18	7	13	14	7	13	14	4.09	
307	20-11-4	6-28	5	10	10	5	10	10	4.09	
308	20-11-4	6-39	6	13	15	6	13	15	4.08	
309	20-11-4	6-49	6	11	13	6	11	13	4.08	
310	20-11-4	7-0	6	13	17	6	13	17	4.08	
311	20-11-4	7-10	7	14	18	7	14	18	4.08	
312	20-11-4	7-21	9	15	17	9	15	17	4.09	
313	20-11-4	7-31	9	14	17	9	14	17	4.08	
314	20-11-4	7-42	9	17	24	9	17	24	4.08	
315	20-11-4	7-52	9	16	17	9	16	17	4.05	
316	20-11-4	8-3	9	17	17	9	17	17	4.06	
317	20-11-4	8-13	8	13	14	8	13	14	4.07	
318	20-11-4	8-24	10	18	21	10	18	21	4.07	
319	20-11-4	8-34	10	16	20	10	16	20	4.08	
320	20-11-4	8-45	9	14	17	9	14	17	4.07	
321	20-11-4	8-56	12	17	20	12	17	20	4.06	
322	20-11-4	9-6	10	16	17	10	16	17	4.07	
323	20-11-4	9-17	8	14	14	8	14	14	4.06	
324	20-11-4	9-27	8	14	16	8	14	16	4.04	
325	20-11-4	9-38	8	13	13	8	13	13	4.06	
326	20-11-4	9-48	9	16	17	9	16	17	4.06	
327	20-11-4	9-59	8	10	14	8	10	14	4.07	
328	20-11-4	10-9	8	12	13	8	12	13	4.06	
329	20-11-4	10-20	8	16	17	8	16	17	4.06	
330	20-11-4	10-30	8	13	14	8	13	14	4.05	
331	20-11-4	10-41	6	14	14	6	14	14	4.06	
332	20-11-4	10-51	8	12	12	8	12	12	4.06	
333	20-11-4	11-2	8	13	13	8	13	13	4.04	
334	20-11-4	11-13	9	14	16	9	14	16	4.05	
335	20-11-4	11-23	6	13	14	6	13	14	4.05	
336	20-11-4	11-34	6	14	16	6	14	16	4.05	
337	20-11-4	11-44	9	14	17	9	14	17	4.05	
338	20-11-4	11-55	8	12	14	8	12	14	4.05	
339	20-11-4	12-5	8	14	16	8	14	16	4.05	
340	20-11-4	12-16	9	18	20	9	18	20	4.03	
341	20-11-4	12-26	10	17	21	10	17	21	4.05	
342	20-11-4	12-37	9	18	20	9	18	20	4.05	
343	20-11-4	12-47	10	17	21	10	17	21	4.05	
344	20-11-4	12-58	9	17	20	9	17	20	4.05	
345	20-11-4	13-8	8	14	18	8	14	18	4.05	
346	20-11-4	13-19	8	14	16	8	14	16	4.04	
347	20-11-4	13-29	9	16	20	9	16	20	4.04	
348	20-11-4	13-40	9	19	23	9	19	23	4.04	
349	20-11-4	13-51	9	19	20	9	19	20	4.03	
350	20-11-4	14-1	9	16	17	9	16	17	4.04	
351	20-11-4	14-12	10	19	21	10	19	21	4.04	
352	20-11-4	14-22	12	20	24	12	20	24	4.04	
353	20-11-4	14-33	9	16	17	9	16	17	4.03	
354	20-11-4	14-43	9	14	16	9	14	16	4.04	
355	20-11-4	14-54	8	14	17	8	14	17	4.04	
356	20-11-4	15-4	6	13	13	6	13	13	4.03	
357	20-11-4	15-15	6	13	14	6	13	14	4.04	
358	20-11-4	15-25	8	14	16	8	14	16	4.03	
359	20-11-4	15-36	6	12	13	6	12	13	4.04	
360	20-11-4	15-46	6	10	10	6	10	10	4.04	
361	20-11-4	15-57	6	13	14	6	13	14	4.03	
362	20-11-4	16-8	6	14	14	6	14	14	4.04	
363	20-11-4	16-18	8	14	17	8	14	17	4.03	
364	20-11-4	16-29	6	10	12	6	10	12	4.03	
365	20-11-4	16-39	4	10	10	4	10	10	4.02	
366	20-11-4	16-50	5	10	12	5	10	12	4.04	
367	20-11-4	17-0	6	12	12	6	12	12	4.04	
368	20-11-4	17-11	6	12	12	6	12	12	4.03	
369	20-11-4	17-21	5	9	9	5	9	9	4.03	
370	20-11-4	17-32	8	12	12	8	12	12	4.02	
371	20-11-4	17-42	5	10	12	5	10	12	4.03	
372	20-11-4	17-53	5	10	14	5	10	14	4.01	
373	20-11-4	18-3	6	12	13	6	12	13	4.03	
374	20-11-4	18-14	4	13	16	4	13	16	4.03	
375	20-11-4	18-24	5	11	11	5	11	11	4.03	
376	20-11-4	18-35	8	15	17	8	15	17	4.03	
377	20-11-4	18-46	0	0	0	0	0	0	4.02	
378	20-11-4	18-56	0	0	0	0	0	0	4.03	
379	20-11-4	19-7	0	0	0	0	0	0	4.02	
380	20-11-4	19-17	5	10	10	5	10	10	4.02	
381	20-11-4	19-28	6	10	12	6	10	12	4.02	
382	20-11-4	19-34	6	8	10	6	8	10	4.03	
383	20-11-4	19-44	5	10	10	5	10	10	4.03	
384	20-11-4	19-55	3	8	11	3	8	11	4.02	
385	20-11-4	20-6	3	8	11	3	8	11	4.02	
386	20-11-4	20-16	5	8	8	5	8	8	4.02	
387	20-11-4	20-27	5	8	8	5	8	8	4.02	
388	20-11-4	20-37	3	8	8	3	8	8	4.02	
389	20-11-4	20-48	3	10	12	3	10	12	4.02	
390	20-11-4	20-58	3	8	10	3	8	10	4.02	
391	20-11-4	21-9	3	7	7	3	7	7	4.02	
392	20-11-4	21-19	5	8	10	5	8	10	4.02	
393	20-11-4	21-30	3	6	6	3	6	6	4.02	
394	20-11-4	21-40	6	13	14	6	13	14	4.02	
395	20-11-4	21-51	6	10	11	6	10	11	4.03	
396	20-11-4	22-1	8	13	16	8	13	16	4.01	
397	20-11-4	22-12	8	13	14	8	13	14	4.02	
398	20-11-4	22-22	6	16	18	6	16	18	4.02	
399	20-11-4	22-33	8	13	14	8	13	14	4.02	
400	20-11-4	22-44	8	16	18	8	16	18	4.02	
401	20-11-4	22-54	9	14	16	9	14	16	4.02	
402	20-11-4	23-5	12	18	20	12	18	20	4.01	
403	20-11-4	23-15	10	18	19	10	18	19	4.01	
404	20-11-4	23-26	9	17	21	9	17	21	4.01	
405	20-11-4	23-36	11	18	21	11	18	21	4.01	
406	20-11-4	23-47	10	17	21	10	17	21	4.01	
407	20-11-4	23-57	10	17	17	10	17	17	4.00	
408	20-11-5	0-8	12	18	18	12	18	18	4.01	
409	20-11-5	0-18	10	20	23	10	20	23	4.01	
410	20-11-5	0-29	9	14	14	9	14	14	4.01	
411	20-11-5	0-39	10	16	17	10	16	17	4.00	
412	20-11-5	0-50	9	16	17	9	16	17	4.00	
413	20-11-5	1-0	10	16	18	10	16	18	4.00	
414	20-11-5	1-11	9	14	16	9	14	16	4.00	
415	20-11-5	1-22	8	13	16	8	13	16	4.00	
416	20-11-5	1-32	8	13	14	8	13	14	4.00	
417	20-11-5	1-43	10	16	16	10	16	16	4.01	
418	20-11-5	1-53	9	16	16	9	16	16	4.00	
419	20-11-5	2-4	8	13	13	8	13	13	4.00	
420	20-11-5	2-14	9	16	17	9	16	17	4.00	
421	20-11-5	2-25	8	13	14	8	13	14	4.00	
422	20-11-5	2-35	9	13	13	9	13	13	3.99	
423	20-11-5	2-46	9	13	14	9	13	14	4.00	
424	20-11-5	2-56	9	14	16	9	14	16	3.99	
425	20-11-5	3-7	9	14	14	9	14	14	3.99	
426	20-11-5	3-17	8	14	17	8	14	17	3.99	
427	20-11-5	3-28	9	12	12	9	12	12	3.97	
428	20-11-5	3-38	6	13	14	6	13	14	3.98	
429	20-11-5	3-49	8	12	12	8	12	12	3.98	
430	20-11-5	4-0	6	12	13	6	12	13	3.99	
431	20-11-5	4-10	8	12	14	8	12	14	3.99	
432	20-11-5	4-21	6	10	10	6	10	10	3.98	
433	20-11-5	4-31	5	10	12	5	10	12	3.98	
434	20-11-5	4-42	6	13	13	6	13	13	3.99	
435	20-11-5	4-52	5	13	14	5	13	14	3.98	
436	20-11-5	5-3	5	9	9	5	9	9	3.98	
437	20-11-5	5-13	5	8	9	5	8	9	3.98	
438	20-11-5	5-24	5	9	10	5	9	10	3.98	
439	20-11-5	5-34	6	12	12	6	12	12	3.98	
440	20-11-5	5-45	5	9	9	5	9	9	3.98	
441	20-11-5	5-55	4	9	9	4	9	9	3.98	
442	20-11-5	6-6	4	9	13	4	9	13	3.97	
443	20-11-5	6-16	4	8	8	4	8	8	3.97	
444	20-11-5	6-27	6	10	10	6	10	10	3.97	
445	20-11-5	6-38	6	9	10	6	9	10	3.97	
446	20-11-5	6-48	6	12	12	6	12	12	3.97	
447	20-11-5	6-59	6	12	13	6	12	13	3.98	
448	20-11-5	7-9	1	2	2	1	2	2	3.97	
449	20-11-5	7-20	6	13	14	6	13	14	3.97	
450	20-11-5	7-30	6	10	15	6	10	15	3.96	
451	20-11-5	7-41	1	2	4	1	2	4	3.94	
452	20-11-5	7-51	1	4	4	1	4	4	3.96	
453	20-11-5	8-2	1	4	4	1	4	4	3.96	
454	20-11-5	8-13	0	0	0	0	0	0	3.96	
455	20-11-5	8-23	0	0	0	0	0	0	3.95	
456	20-11-5	8-34	1	4	4	1	4	4	3.96	
457	20-11-5	8-44	0	0	0	0	0	0	3.95	
458	20-11-5	8-55	0	0	0	0	0	0	3.96	
459	20-11-5	9-6	0	0	0	0	0	0	3.95	
460	20-11-5	9-16	0	0	0	0	0	0	3.93	
461	20-11-5	9-27	0	0	0	0	0	0	3.95	
462	20-11-5	9-38	0	0	0	0	0	0	3.95	
463	20-11-5	9-48	0	0	0	0	0	0	3.94	
464	20-11-5	9-59	1	5	6	1	5	6	3.95	
465	20-11-5	10-9	0	0	0	0	0	0	3.94	
466	20-11-5	10-20	0	0	0	0	0	0	3.95	
467	20-11-5	10-31	0	0	0	0	0	0	3.94	
468	20-11-5	10-41	0	0	0	0	0	0	3.94	
469	20-11-5	10-52	0	0	0	0	0	0	3.94	
470	20-11-5	11-3	0	0	0	0	0	0	3.94	
471	20-11-5	11-13	1	3	3	1	3	3	3.95	
472	20-11-5	11-24	0	0	0	0	0	0	3.94	
473	20-11-5	11-35	0	0	0	0	0	0	3.94	
474	20-11-5	11-45	1	3	5	1	3	5	3.94	
475	20-11-5	11-56	1	2	3	1	2	2	3.94	
476	20-11-5	12-6	1	2	4	1	2	4	3.94	
477	20-11-5	12-17	1	4	4	1	4	4	3.94	
