数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-10-29	22-56	8	18	18	8	18	18	4.39	
1	20-10-29	23-9	15	27	35	15	27	35	4.39	
2	20-10-29	23-14	16	32	37	16	32	37	4.39	
3	20-10-29	23-20	17	28	34	17	28	34	4.39	
4	20-10-29	23-25	18	31	31	18	31	31	4.39	
5	20-10-29	23-31	20	30	33	20	30	33	4.39	
6	20-10-29	23-36	20	31	35	20	31	35	4.39	
7	20-10-29	23-42	20	30	33	20	30	33	4.39	
8	20-10-29	23-47	16	25	26	16	25	26	4.39	
9	20-10-29	23-53	20	30	35	20	30	35	4.39	
10	20-10-29	23-58	20	31	36	20	31	36	4.39	
11	20-10-30	0-4	21	31	38	21	31	38	4.39	
12	20-10-30	0-9	20	30	31	20	30	31	4.39	
13	20-10-30	0-15	20	31	38	20	31	38	4.39	
14	20-10-30	0-20	16	26	28	16	26	28	4.39	
15	20-10-30	0-26	16	23	25	16	23	25	4.39	
16	20-10-30	0-31	18	28	30	18	28	30	4.39	
17	20-10-30	0-37	16	28	38	16	28	38	4.39	
18	20-10-30	0-42	17	27	28	17	27	28	4.39	
19	20-10-30	0-48	19	31	39	19	31	39	4.39	
20	20-10-30	0-53	17	28	31	17	28	31	4.39	
21	20-10-30	0-59	17	26	33	17	26	33	4.39	
22	20-10-30	1-4	17	28	34	17	28	34	4.39	
23	20-10-30	1-10	15	26	28	15	26	28	4.39	
24	20-10-30	1-15	18	29	31	18	29	31	4.39	
25	20-10-30	1-21	18	32	34	18	32	34	4.39	
26	20-10-30	1-26	18	29	38	18	29	38	4.39	
27	20-10-30	1-32	17	32	34	17	32	34	4.39	
28	20-10-30	1-37	21	30	32	21	30	32	4.39	
29	20-10-30	1-43	20	32	33	20	32	33	4.39	
30	20-10-30	1-48	23	38	42	23	38	42	4.39	
31	20-10-30	1-54	19	31	33	19	31	33	4.37	
32	20-10-30	1-59	19	36	41	19	36	41	4.38	
33	20-10-30	2-5	19	36	44	19	36	44	4.38	
34	20-10-30	2-10	21	34	43	21	34	43	4.35	
35	20-10-30	2-16	22	34	40	22	34	40	4.35	
36	20-10-30	2-21	22	40	43	22	40	43	4.34	
37	20-10-30	2-27	22	33	37	22	33	37	4.35	
38	20-10-30	2-32	22	34	37	22	34	37	4.34	
39	20-10-30	2-38	24	36	43	24	36	43	4.31	
40	20-10-30	2-43	19	33	37	19	33	37	4.32	
41	20-10-30	2-49	22	35	46	22	35	46	4.39	
42	20-10-30	2-54	22	34	39	22	34	39	4.28	
43	20-10-30	3-0	21	31	33	21	31	33	4.30	
44	20-10-30	3-5	20	32	37	20	32	37	4.29	
45	20-10-30	3-11	20	32	34	20	32	34	4.27	
46	20-10-30	3-16	20	34	38	20	34	38	4.26	
47	20-10-30	3-22	23	38	44	23	38	44	4.25	
48	20-10-30	3-27	24	39	42	24	39	42	4.36	
49	20-10-30	3-33	22	35	39	22	35	39	4.37	
50	20-10-30	3-38	20	34	37	20	34	37	4.23	
51	20-10-30	3-44	23	37	41	23	37	41	4.21	
52	20-10-30	3-49	21	41	46	21	41	46	4.21	
53	20-10-30	3-55	24	36	39	24	36	39	4.21	
54	20-10-30	4-0	20	33	36	20	33	36	4.21	
55	20-10-30	4-6	20	33	37	20	33	37	4.21	
56	20-10-30	4-11	27	39	42	27	39	42	4.21	
57	20-10-30	4-17	20	35	39	20	35	39	4.21	
