数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
0	20-11-04	7-34	2	6	6	2	6	6	4.22
1	20-11-04	7-36	5	10	10	5	10	10	4.12
2	20-11-04	7-41	8	10	10	8	10	10	4.11
3	20-11-04	7-47	7	11	11	7	11	11	4.12
4	20-11-04	7-52	6	9	9	6	9	9	4.11
5	20-11-04	7-58	6	8	8	6	8	8	4.11
6	20-11-04	8-3	6	8	8	6	8	8	4.11
7	20-11-04	8-9	8	12	12	8	12	12	4.11
8	20-11-04	8-14	8	12	14	8	12	14	4.11
9	20-11-04	8-20	6	12	14	6	12	14	4.1
10	20-11-04	8-25	6	11	11	6	11	11	4.1
11	20-11-04	8-31	7	9	12	7	9	12	4.1
12	20-11-04	8-37	7	12	12	7	12	12	4.1
13	20-11-04	8-42	7	10	10	7	10	10	4.12
14	20-11-04	8-48	7	10	10	7	10	10	4.1
15	20-11-04	8-53	7	11	12	7	11	12	4.09
16	20-11-04	8-59	9	12	12	9	12	12	4.09
17	20-11-04	9-4	7	12	12	7	12	12	4.09
18	20-11-04	9-10	6	9	9	6	9	9	4.08
19	20-11-04	9-15	6	10	12	6	10	12	4.08
20	20-11-04	9-21	7	10	12	7	10	12	4.09
21	20-11-04	9-26	6	9	9	6	9	9	4.09
22	20-11-04	9-32	6	9	9	6	9	9	4.08
23	20-11-04	9-37	6	9	9	6	9	9	4.08
24	20-11-04	9-43	4	7	7	4	7	7	4.08
25	20-11-04	9-48	4	7	7	4	7	7	4.08
26	20-11-04	9-54	6	9	9	6	9	9	4.08
27	20-11-04	10-0	6	7	7	6	7	7	4.08
28	20-11-04	10-5	9	16	16	9	16	16	4.08
29	20-11-04	10-11	9	12	13	9	12	13	4.08
30	20-11-04	10-16	7	10	10	7	10	10	4.08
31	20-11-04	10-22	7	13	13	7	13	13	4.08
32	20-11-04	10-27	7	10	12	7	10	12	4.08
33	20-11-04	10-33	6	9	9	6	9	9	4.08
34	20-11-04	10-38	6	9	9	6	9	9	4.07
35	20-11-04	10-44	6	9	9	6	9	9	4.07
36	20-11-04	10-49	6	9	10	6	9	10	4.08
37	20-11-04	10-55	7	12	13	7	12	13	4.07
38	20-11-04	11-0	6	7	9	6	7	9	4.06
39	20-11-04	11-6	6	7	7	6	7	7	4.07
40	20-11-04	11-11	7	10	12	7	10	12	4.07
41	20-11-04	11-17	6	9	9	6	9	9	4.07
42	20-11-04	11-23	7	10	10	7	10	10	4.05
43	20-11-04	11-28	6	9	9	6	9	9	4.07
44	20-11-04	11-34	6	7	7	6	7	7	4.06
45	20-11-04	11-39	6	9	9	6	9	9	4.06
46	20-11-04	11-45	5	8	11	5	8	11	4.06
47	20-11-04	11-50	7	11	11	7	11	11	4.06
48	20-11-04	11-56	5	8	8	5	8	8	4.06
49	20-11-04	12-1	5	8	8	5	8	8	4.05
50	20-11-04	12-7	5	10	11	5	10	11	4.06
51	20-11-04	12-12	7	10	10	7	10	10	4.06
52	20-11-04	12-18	7	10	11	7	10	11	4.06
53	20-11-04	12-23	10	11	13	10	11	13	4.05
54	20-11-04	12-29	7	11	13	7	11	13	4.05
55	20-11-04	12-34	7	10	11	7	10	11	4.05
56	20-11-04	12-40	12	15	15	12	15	15	4.05
57	20-11-04	12-46	12	16	18	12	16	18	4.05
58	20-11-04	12-51	7	10	13	7	10	13	4.05
59	20-11-04	12-57	4	7	9	4	7	9	4.04
60	20-11-04	12-58	3	6	6	3	6	6	4.17
61	20-11-04	13-4	3	6	6	3	6	6	4.17
62	20-11-04	13-9	4	6	6	4	6	6	4.16
63	20-11-04	13-15	7	9	9	7	9	9	4.06
64	20-11-04	13-21	10	16	16	10	16	16	4.08
65	20-11-04	13-26	8	14	14	8	14	14	4.07
66	20-11-04	13-32	7	11	11	7	11	11	4.07
67	20-11-04	13-37	7	10	10	7	10	10	4.07
68	20-11-04	13-43	7	10	10	7	10	10	4.06
69	20-11-04	13-48	7	10	10	7	10	10	4.07
70	20-11-04	13-54	7	10	10	7	10	10	4.07
71	20-11-04	13-59	7	10	10	7	10	10	4.07
72	20-11-04	14-5	7	10	12	7	10	12	4.06
73	20-11-04	14-10	8	12	12	8	12	12	4.06
74	20-11-04	14-16	6	12	14	6	12	14	4.06
75	20-11-04	14-21	4	6	6	4	6	6	4.06
76	20-11-04	14-22	3	6	6	3	6	6	4.18
77	20-11-04	14-28	3	6	7	3	6	7	4.16
78	20-11-04	14-33	4	4	4	4	4	4	4.17
79	20-11-04	14-39	4	6	6	4	6	6	4.17
80	20-11-04	14-44	3	4	7	3	4	7	4.17
81	20-11-04	14-50	1	4	6	1	4	6	4.17
82	20-11-04	14-55	1	4	4	1	4	4	4.17
83	20-11-04	15-1	2	3	5	2	3	5	4.17
84	20-11-04	15-6	3	4	4	3	4	4	4.17
85	20-11-04	15-12	3	4	4	3	4	4	4.17
86	20-11-04	15-17	1	3	4	1	3	4	4.15
87	20-11-04	15-23	1	4	4	1	4	4	4.15
88	20-11-04	15-28	1	3	3	1	3	3	4.15
89	20-11-04	15-34	3	4	4	3	4	4	4.15
90	20-11-04	15-39	1	3	4	1	3	4	4.15
91	20-11-04	15-45	1	3	3	1	3	3	4.15
92	20-11-04	15-50	1	3	3	1	3	3	4.15
93	20-11-04	15-56	1	3	4	1	3	4	4.15
94	20-11-04	16-1	1	3	4	1	3	4	4.15
95	20-11-04	16-7	1	3	3	1	3	3	4.15
96	20-11-04	16-12	1	4	4	1	4	4	4.12
97	20-11-04	16-14	1	2	4	1	2	4	4.15
98	20-11-04	16-19	1	3	3	1	3	3	4.15
99	20-11-04	16-25	1	3	3	1	3	3	4.16
100	20-11-04	16-30	1	3	3	1	3	3	4.15
101	20-11-04	16-36	1	3	3	1	3	3	4.15
102	20-11-04	16-41	1	3	3	1	3	3	4.15
103	20-11-04	16-47	3	4	4	3	4	4	4.12
104	20-11-04	16-51	1	3	4	1	3	4	4.17
105	20-11-04	16-56	1	3	3	1	3	3	4.15
106	20-11-04	17-2	1	3	3	1	3	3	4.15
107	20-11-04	17-7	1	4	4	1	4	4	4.11
108	20-11-04	17-13	1	4	4	1	4	4	4.1
109	20-11-04	17-18	1	4	4	1	4	4	4.11
110	20-11-04	17-23	0	0	0	0	0	0	4.17
111	20-11-04	17-28	1	3	3	1	3	3	4.17
112	20-11-04	17-34	1	4	4	1	4	4	4.15
113	20-11-04	17-39	1	3	3	1	3	3	4.15
114	20-11-04	17-45	4	4	4	4	4	4	4.15
115	20-11-04	17-50	1	4	4	1	4	4	4.15
116	20-11-04	17-56	3	5	5	3	5	5	4.13
117	20-11-04	18-1	6	9	9	6	9	9	4.12
118	20-11-04	18-7	4	5	5	4	5	5	4.11
119	20-11-04	18-12	2	4	5	2	4	5	4.11
120	20-11-04	18-18	3	6	6	3	6	6	4.11
121	20-11-04	18-23	4	7	7	4	7	7	4.11
122	20-11-04	18-29	5	8	8	5	8	8	4.11
123	20-11-04	18-34	4	5	5	4	5	5	4.1
124	20-11-04	18-40	2	5	5	2	5	5	4.1
125	20-11-04	18-45	4	9	9	4	9	9	4.1
126	20-11-04	18-51	4	7	7	4	7	7	4.1
127	20-11-04	18-56	4	7	9	4	7	9	4.1
128	20-11-04	19-2	4	7	9	4	7	9	4.09
129	20-11-04	19-8	6	10	10	6	10	10	4.1
130	20-11-04	19-13	4	9	10	4	9	10	4.09
131	20-11-04	19-19	6	9	9	6	9	9	4.09
132	20-11-04	19-24	4	7	7	4	7	7	4.09
133	20-11-04	19-30	4	7	7	4	7	7	4.09
134	20-11-04	19-35	6	9	9	6	9	9	4.08
135	20-11-04	19-41	6	9	9	6	9	9	4.09
136	20-11-04	19-46	4	7	10	4	7	10	4.09
137	20-11-04	19-52	4	7	9	4	7	9	4.08
138	20-11-04	19-57	6	7	9	6	7	9	4.08
139	20-11-04	20-3	4	7	7	4	7	7	4.08
140	20-11-04	20-8	4	7	7	4	7	7	4.08
141	20-11-04	20-14	3	6	6	3	6	6	4.08
142	20-11-04	20-19	4	7	9	4	7	9	4.08
143	20-11-04	20-25	5	7	10	5	7	10	4.08
144	20-11-04	20-31	3	6	6	3	6	6	4.08
145	20-11-04	20-36	6	10	12	6	10	12	4.08
146	20-11-04	20-42	4	7	10	4	7	10	4.08
147	20-11-04	20-47	3	7	9	3	7	9	4.07
148	20-11-04	20-53	3	4	4	3	4	4	4.07
149	20-11-04	20-58	4	6	6	4	6	6	4.08
150	20-11-04	21-4	6	10	12	6	10	12	4.07
151	20-11-04	21-9	4	7	7	4	7	7	4.07
152	20-11-04	21-15	4	9	9	4	9	9	4.07
153	20-11-04	21-20	4	6	7	4	6	7	4.05
154	20-11-04	21-26	4	6	6	4	6	6	4.05
155	20-11-04	21-31	6	9	9	6	9	9	4.07
156	20-11-04	21-37	4	9	9	4	9	9	4.06
157	20-11-04	21-42	5	6	8	5	6	8	4.06
158	20-11-04	21-48	6	9	9	6	9	9	4.06
159	20-11-04	21-53	4	7	10	4	7	10	4.06
160	20-11-04	21-59	4	7	7	4	7	7	4.06
161	20-11-04	22-5	4	7	7	4	7	7	4.07
162	20-11-04	22-10	6	9	10	6	9	10	4.06
163	20-11-04	22-16	6	7	9	6	7	9	4.06
164	20-11-04	22-21	6	9	9	6	9	9	4.06
165	20-11-04	22-27	7	9	10	7	9	10	4.05
166	20-11-04	22-32	6	9	9	6	9	9	4.05
167	20-11-04	22-38	9	10	10	9	10	10	4.05
168	20-11-04	22-43	7	10	10	7	10	10	4.05
169	20-11-04	22-49	9	12	12	9	12	12	4.05
170	20-11-04	22-54	7	10	10	7	10	10	4.05
171	20-11-04	23-0	9	10	13	9	10	13	4.05
172	20-11-04	23-5	7	12	12	7	12	12	4.05
173	20-11-04	23-7	7	10	10	7	10	10	4.18
174	20-11-04	23-13	7	12	12	7	12	12	4.17
175	20-11-04	23-18	6	9	9	6	9	9	4.16
176	20-11-04	23-24	6	9	10	6	9	10	4.16
177	20-11-04	23-29	6	10	10	6	10	10	4.17
178	20-11-04	23-35	6	10	13	6	10	13	4.17
179	20-11-04	23-40	7	10	10	7	10	10	4.17
180	20-11-04	23-46	7	10	14	7	10	14	4.17
181	20-11-04	23-51	7	10	10	7	10	10	4.17
182	20-11-04	23-57	7	11	11	7	11	11	4.17
183	20-11-05	0-2	7	11	13	7	11	13	4.17
184	20-11-05	0-8	7	10	10	7	10	10	4.17
185	20-11-05	0-13	7	10	10	7	10	10	4.15
186	20-11-05	0-19	7	10	10	7	10	10	4.15
187	20-11-05	0-24	7	11	11	7	11	11	4.15
188	20-11-05	0-30	7	8	10	7	8	10	4.15
189	20-11-05	0-35	5	10	11	5	10	11	4.15
190	20-11-05	0-41	5	8	10	5	8	10	4.15
191	20-11-05	0-46	8	13	14	8	13	14	4.15
192	20-11-05	0-52	7	12	13	7	12	13	4.15
193	20-11-05	0-57	6	9	9	6	9	9	4.15
194	20-11-05	1-3	7	10	10	7	10	10	4.15
195	20-11-05	1-8	6	9	9	6	9	9	4.15
196	20-11-05	1-14	9	13	15	9	13	15	4.15
197	20-11-05	1-19	6	9	9	6	9	9	4.15
198	20-11-05	1-25	7	10	10	7	10	10	4.15
199	20-11-05	1-30	7	9	10	7	9	10	4.15
200	20-11-05	1-36	9	12	12	9	12	12	4.15
201	20-11-05	1-41	6	9	9	6	9	9	4.15
202	20-11-05	1-47	7	10	12	7	10	12	4.15
203	20-11-05	1-52	7	10	10	7	10	10	4.15
204	20-11-05	1-58	7	10	10	7	10	10	4.15
205	20-11-05	2-3	7	9	9	7	9	9	4.15
206	20-11-05	2-9	6	9	9	6	9	9	4.15
207	20-11-05	2-14	7	10	10	7	10	10	4.15
208	20-11-05	2-20	7	9	10	7	9	10	4.15
209	20-11-05	2-25	4	7	7	4	7	7	4.15
210	20-11-05	2-31	6	9	9	6	9	9	4.15
211	20-11-05	2-36	4	9	9	4	9	9	4.15
212	20-11-05	2-42	6	9	10	6	9	10	4.15
213	20-11-05	2-47	7	10	10	7	10	10	4.15
214	20-11-05	2-53	6	9	9	6	9	9	4.15
215	20-11-05	2-58	6	9	10	6	9	10	4.15
216	20-11-05	3-4	4	7	7	4	7	7	4.15
217	20-11-05	3-10	4	7	9	4	7	9	4.15
218	20-11-05	3-15	6	9	9	6	9	9	4.15
219	20-11-05	3-21	6	7	9	6	7	9	4.15
220	20-11-05	3-26	4	7	9	4	7	9	4.15
221	20-11-05	3-32	4	9	9	4	9	9	4.15
222	20-11-05	3-37	6	7	7	6	7	7	4.15
223	20-11-05	3-43	6	7	7	6	7	7	4.15
224	20-11-05	3-48	4	7	7	4	7	7	4.15
225	20-11-05	3-54	7	10	10	7	10	10	4.15
226	20-11-05	3-59	4	6	6	4	6	6	4.15
227	20-11-05	4-5	4	9	9	4	9	9	4.15
228	20-11-05	4-10	4	7	9	4	7	9	4.15
229	20-11-05	4-16	4	6	6	4	6	6	4.15
230	20-11-05	4-21	4	7	7	4	7	7	4.15
231	20-11-05	4-27	6	9	9	6	9	9	4.15
232	20-11-05	4-32	4	6	6	4	6	6	4.15
233	20-11-05	4-38	4	7	7	4	7	7	4.15
234	20-11-05	4-43	4	7	9	4	7	9	4.15
235	20-11-05	4-49	4	6	6	4	6	6	4.15
236	20-11-05	4-54	4	7	7	4	7	7	4.15
237	20-11-05	5-0	4	7	7	4	7	7	4.15
238	20-11-05	5-5	6	6	6	6	6	6	4.15
239	20-11-05	5-11	4	6	6	4	6	6	4.15
240	20-11-05	5-16	3	6	7	3	6	7	4.15
241	20-11-05	5-22	4	7	9	4	7	9	4.15
242	20-11-05	5-27	4	6	6	4	6	6	4.15
243	20-11-05	5-33	4	6	7	4	6	7	4.15
244	20-11-05	5-38	3	7	7	3	7	7	4.15
245	20-11-05	5-44	4	7	7	4	7	7	4.15
246	20-11-05	5-49	4	6	6	4	6	6	4.15
247	20-11-05	5-55	3	6	6	3	6	6	4.15
248	20-11-05	6-0	4	6	6	4	6	6	4.15
249	20-11-05	6-6	4	6	7	4	6	7	4.15
250	20-11-05	6-11	4	7	7	4	7	7	4.15
251	20-11-05	6-17	3	6	6	3	6	6	4.15
252	20-11-05	6-22	4	6	7	4	6	7	4.15
253	20-11-05	6-28	4	6	9	4	6	9	4.15
254	20-11-05	6-33	3	6	6	3	6	6	4.15
255	20-11-05	6-39	4	6	7	4	6	7	4.15
256	20-11-05	6-44	3	6	6	3	6	6	4.15
257	20-11-05	6-50	4	7	7	4	7	7	4.15
258	20-11-05	6-55	4	6	6	4	6	6	4.15
259	20-11-05	7-1	4	6	6	4	6	6	4.15
260	20-11-05	7-6	6	7	7	6	7	7	4.15
261	20-11-05	7-12	3	7	7	3	7	7	4.15
262	20-11-05	7-17	4	7	7	4	7	7	4.11
263	20-11-05	7-23	4	7	7	4	7	7	4.11
264	20-11-05	7-28	4	6	6	4	6	6	4.11
265	20-11-05	7-34	3	4	4	3	4	4	4.1
266	20-11-05	7-39	6	9	9	6	9	9	4.11
267	20-11-05	7-45	4	6	6	4	6	6	4.1
268	20-11-05	7-50	3	6	6	3	6	6	4.08
269	20-11-05	7-56	4	6	6	4	6	6	4.1
270	20-11-05	8-2	4	6	6	4	6	6	4.1
271	20-11-05	8-7	6	9	9	6	9	9	4.09
272	20-11-05	8-13	4	7	7	4	7	7	4.1
273	20-11-05	8-18	3	6	6	3	6	6	4.09
274	20-11-05	8-24	6	9	9	6	9	9	4.1
275	20-11-05	8-29	6	9	10	6	9	10	4.09
276	20-11-05	8-35	7	12	12	7	12	12	4.09
277	20-11-05	8-40	6	9	9	6	9	9	4.1
278	20-11-05	8-46	6	9	9	6	9	9	4.09
279	20-11-05	8-51	7	9	9	7	9	9	4.09
280	20-11-05	8-57	6	9	10	6	9	10	4.09
281	20-11-05	9-2	6	7	7	6	7	7	4.08
282	20-11-05	9-8	4	7	7	4	7	7	4.08
283	20-11-05	9-13	6	7	7	6	7	7	4.08
284	20-11-05	9-19	4	9	9	4	9	9	4.08
285	20-11-05	9-25	4	7	7	4	7	7	4.08
286	20-11-05	9-30	4	7	7	4	7	7	4.08
287	20-11-05	9-36	6	9	10	6	9	10	4.08
288	20-11-05	9-41	4	9	9	4	9	9	4.08
289	20-11-05	9-47	5	7	7	5	7	7	4.08
290	20-11-05	9-52	5	8	8	5	8	8	4.08
291	20-11-05	9-58	4	7	7	4	7	7	4.08
292	20-11-05	10-3	5	8	10	5	8	10	4.07
293	20-11-05	10-9	4	7	7	4	7	7	4.07
294	20-11-05	10-14	4	7	7	4	7	7	4.07
295	20-11-05	10-20	5	8	8	5	8	8	4.06
296	20-11-05	10-25	4	8	10	4	8	10	4.07
297	20-11-05	10-31	5	10	10	5	10	10	4.07
298	20-11-05	10-36	4	7	8	4	7	8	4.07
299	20-11-05	10-42	5	8	8	5	8	8	4.04
300	20-11-05	10-48	5	7	7	5	7	7	4.07
301	20-11-05	10-53	4	7	7	4	7	7	4.06
302	20-11-05	10-59	4	7	7	4	7	7	4.06
303	20-11-05	11-4	5	7	7	5	7	7	4.06
304	20-11-05	11-10	5	8	8	5	8	8	4.06
305	20-11-05	11-15	7	11	11	7	11	11	4.06
306	20-11-05	11-21	5	7	7	5	7	7	4.06
307	20-11-05	11-26	7	11	11	7	11	11	4.05
308	20-11-05	11-32	5	11	11	5	11	11	4.06
309	20-11-05	11-37	5	10	10	5	10	10	4.05
310	20-11-05	11-43	5	10	10	5	10	10	4.05
311	20-11-05	11-48	5	10	10	5	10	10	4.05
312	20-11-05	11-54	7	10	10	7	10	10	4.05
313	20-11-05	11-59	7	11	11	7	11	11	4.05
314	20-11-05	12-5	5	8	8	5	8	8	4.05
315	20-11-05	12-10	5	7	7	5	7	7	4.05
316	20-11-05	12-16	7	10	11	7	10	11	4.05
317	20-11-05	12-22	7	10	10	7	10	10	4.05
318	20-11-05	12-27	5	8	10	5	8	10	4.05
319	20-11-05	12-33	6	8	8	6	8	8	4.39
