empty	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
	2020/11/9	8-52	4	7	9	4	7	9	3.92
	2020/11/9	8-57	7	11	12	7	11	12	3.92
	2020/11/9	9-3	5	9	14	5	9	14	3.92
	2020/11/9	9-8	5	9	11	5	9	11	3.92
	2020/11/9	9-14	8	11	12	8	11	12	3.91
	2020/11/9	9-19	7	9	9	7	9	9	3.92
	2020/11/9	9-25	5	8	9	5	8	9	3.92
	2020/11/9	9-30	7	9	11	7	9	11	3.92
	2020/11/9	9-36	7	9	11	7	9	11	3.92
	2020/11/9	9-41	7	9	11	7	9	11	3.91
	2020/11/9	9-47	7	9	11	7	9	11	3.91
	2020/11/9	9-52	7	9	11	7	9	11	3.91
	2020/11/9	9-58	7	9	11	7	9	11	3.92
	2020/11/9	10-3	8	12	14	8	12	14	3.91
	2020/11/9	10-9	9	14	14	9	14	14	3.91
	2020/11/9	10-15	8	12	12	8	12	12	3.92
	2020/11/9	10-20	9	14	18	9	14	18	3.91
	2020/11/9	10-26	8	12	14	8	12	14	3.91
	2020/11/9	10-31	9	12	14	9	12	14	3.91
	2020/11/9	10-37	9	14	17	9	14	17	3.89
	2020/11/9	10-42	9	12	12	9	12	12	3.91
	2020/11/9	10-48	8	14	15	8	14	15	3.91
	2020/11/9	10-53	11	15	17	11	15	17	3.91
	2020/11/9	10-59	11	15	18	11	15	18	3.88
	2020/11/9	11-4	11	14	14	11	14	14	3.91
	2020/11/9	11-10	10	12	15	10	12	15	3.9
	2020/11/9	11-15	11	15	17	11	15	17	3.9
	2020/11/9	11-21	12	21	24	12	21	24	3.91
	2020/11/9	11-26	11	15	15	11	15	15	3.9
	2020/11/9	11-32	12	20	20	12	20	20	3.9
	2020/11/9	11-38	14	20	24	14	20	24	3.9
	2020/11/9	11-43	15	18	18	15	18	18	3.91
	2020/11/9	11-49	14	20	21	14	20	21	3.9
	2020/11/9	11-54	12	20	21	12	20	21	3.88
	2020/11/9	12-0	12	18	20	12	18	20	3.9
	2020/11/9	12-5	10	15	17	10	15	17	3.91
	2020/11/9	12-11	12	20	21	12	20	21	3.9
	2020/11/9	12-16	12	18	21	12	18	21	3.89
	2020/11/9	12-22	12	17	20	12	17	20	3.88
	2020/11/9	12-27	11	17	17	11	17	17	3.9
	2020/11/9	12-33	12	17	17	12	17	17	3.89
	2020/11/9	12-38	11	15	17	11	15	17	3.9
	2020/11/9	12-44	12	17	18	12	17	18	3.9
	2020/11/9	12-49	11	17	17	11	17	17	3.9
	2020/11/9	12-55	12	15	18	12	15	18	3.9
	2020/11/9	1-13	12	18	18	12	18	18	3.9
	2020/11/9	6-13	12	18	18	12	18	18	3.9
	2020/11/9	12-13	12	17	24	12	17	24	3.9
	2020/11/9	13-17	14	19	19	14	19	19	3.89
	2020/11/9	13-23	12	18	22	12	18	22	3.89
	2020/11/9	13-28	15	22	24	15	22	24	3.89
	2020/11/9	13-34	12	18	21	12	18	21	3.9
	2020/11/9	13-39	14	19	21	14	19	21	3.89
	2020/11/9	13-45	14	18	19	14	18	19	3.89
	2020/11/9	13-50	12	18	19	12	18	19	3.89
	2020/11/9	13-56	14	19	25	14	19	25	3.89
	2020/11/9	1-14	12	16	16	12	16	16	3.89
	2020/11/9	7-14	15	19	21	15	19	21	3.88
	2020/11/9	12-14	15	21	25	15	21	25	3.89
	2020/11/9	14-18	12	19	25	12	19	25	3.89
	2020/11/9	14-23	12	19	19	12	19	19	3.89
	2020/11/9	14-29	11	15	15	11	15	15	3.89
	2020/11/9	14-35	12	19	19	12	19	19	3.86
	2020/11/9	14-40	14	18	18	14	18	18	3.89
	2020/11/9	14-46	14	18	19	14	18	19	3.89
	2020/11/9	14-51	11	16	18	11	16	18	3.89
	2020/11/9	14-57	14	22	24	14	22	24	3.89
	2020/11/9	2-15	14	19	19	14	19	19	3.88
	2020/11/9	8-15	14	18	18	14	18	18	3.9
	2020/11/9	15-13	12	16	16	12	16	16	3.88
	2020/11/9	15-19	15	22	24	15	22	24	3.87
	2020/11/9	15-24	16	24	28	16	24	28	3.89
	2020/11/9	15-30	15	19	21	15	19	21	3.89
	2020/11/9	15-35	16	25	28	16	25	28	3.88
	2020/11/9	15-41	15	21	21	15	21	21	3.88
	2020/11/9	15-46	15	22	24	15	22	24	3.88
	2020/11/9	15-52	14	21	22	14	21	22	3.88
	2020/11/9	15-58	18	22	25	18	22	25	3.87
	2020/11/9	3-16	14	22	25	14	22	25	3.89
	2020/11/9	9-16	15	21	22	15	21	22	3.88
	2020/11/9	16-14	17	24	25	17	24	25	3.88
	2020/11/9	16-20	15	21	24	15	21	24	3.87
	2020/11/9	16-25	18	24	25	18	24	25	3.88
	2020/11/9	16-31	17	24	24	17	24	24	3.88
	2020/11/9	16-36	18	25	28	18	25	28	3.88
	2020/11/9	16-42	17	22	27	17	22	27	3.88
	2020/11/9	16-47	17	27	28	17	27	28	3.88
	2020/11/9	16-53	17	24	28	17	24	28	3.88
	2020/11/9	16-58	14	21	22	14	21	22	3.88
	2020/11/9	4-17	18	22	25	18	22	25	3.86
	2020/11/9	9-17	17	24	25	17	24	25	3.87
	2020/11/9	17-15	17	24	25	17	24	25	3.86
	2020/11/9	17-20	17	24	24	17	24	24	3.89
	2020/11/9	17-26	14	18	18	14	18	18	3.87
	2020/11/9	17-32	15	20	22	15	20	22	3.87
	2020/11/9	17-37	14	20	21	14	20	21	3.88
	2020/11/9	17-43	12	18	21	12	18	21	3.88
	2020/11/9	17-48	14	18	20	14	18	20	3.87
	2020/11/9	17-54	11	17	18	11	17	18	3.87
	2020/11/9	17-59	14	20	21	14	20	21	3.87
	2020/11/9	5-18	12	17	18	12	17	18	3.88
	2020/11/9	10-18	14	18	18	14	18	18	3.87
	2020/11/9	18-16	9	15	17	9	15	17	3.87
	2020/11/9	18-21	11	17	17	11	17	17	3.87
	2020/11/9	18-27	11	15	17	11	15	17	3.87
	2020/11/9	18-32	9	15	17	9	15	17	3.89
	2020/11/9	18-38	11	17	17	11	17	17	3.87
	2020/11/9	18-43	9	15	18	9	15	18	3.86
	2020/11/9	18-49	9	14	14	9	14	14	3.88
	2020/11/9	18-55	11	17	17	11	17	17	3.87
	2020/11/9	19-0	11	14	17	11	14	17	3.87
	2020/11/9	6-19	9	15	17	9	15	17	3.87
	2020/11/9	11-19	12	18	18	12	18	18	3.87
	2020/11/9	19-17	12	19	21	12	19	21	3.87
	2020/11/9	19-22	11	15	18	11	15	18	3.86
	2020/11/9	19-28	11	18	18	11	18	18	3.87
	2020/11/9	19-33	12	17	18	12	17	18	3.87
	2020/11/9	19-39	12	18	19	12	18	19	3.87
	2020/11/9	19-44	14	21	22	14	21	22	3.87
	2020/11/9	19-50	14	21	22	14	21	22	3.86
	2020/11/9	19-55	14	18	18	14	18	18	3.86
	2020/11/9	1-20	14	21	22	14	21	22	3.87
	2020/11/9	6-20	12	17	20	12	17	20	3.87
	2020/11/9	12-20	12	20	20	12	20	20	3.87
	2020/11/9	20-18	11	17	21	11	17	21	3.87
	2020/11/9	20-23	14	20	21	14	20	21	3.86
	2020/11/9	20-29	11	18	18	11	18	18	3.87
	2020/11/9	20-34	14	22	25	14	22	25	3.87
	2020/11/9	20-40	12	17	17	12	17	17	3.87
	2020/11/9	20-45	14	21	22	14	21	22	3.86
	2020/11/9	20-51	14	20	24	14	20	24	3.86
	2020/11/9	20-56	14	21	22	14	21	22	3.87
	2020/11/9	2-21	12	17	18	12	17	18	3.88
	2020/11/9	7-21	14	22	22	14	22	22	3.86
	2020/11/9	21-13	14	18	20	14	18	20	3.87
	2020/11/9	21-18	14	20	21	14	20	21	3.86
	2020/11/9	21-24	12	18	18	12	18	18	3.85
	2020/11/9	21-29	11	17	22	11	17	22	3.86
	2020/11/9	21-35	12	18	21	12	18	21	3.85
	2020/11/9	21-40	14	22	25	14	22	25	3.86
	2020/11/9	21-46	12	18	20	12	18	20	3.86
	2020/11/9	21-52	14	20	21	14	20	21	3.86
	2020/11/9	21-57	12	18	18	12	18	18	3.86
	2020/11/9	3-22	14	21	25	14	21	25	3.86
	2020/11/9	8-22	15	21	22	15	21	22	3.86
	2020/11/9	22-14	12	18	21	12	18	21	3.86
	2020/11/9	22-19	15	24	25	15	24	25	3.86
	2020/11/9	22-25	18	27	28	18	27	28	3.87
	2020/11/9	22-30	16	21	23	16	21	23	3.86
	2020/11/9	22-36	15	21	23	15	21	23	3.85
	2020/11/9	22-41	11	17	20	11	17	20	3.86
	2020/11/9	22-47	13	16	17	13	16	17	3.86
	2020/11/9	22-52	13	17	21	13	17	21	3.86
	2020/11/9	22-58	13	17	17	13	17	17	3.86
	2020/11/9	3-23	14	20	23	14	20	23	3.85
	2020/11/9	9-23	11	15	17	11	15	17	3.86
	2020/11/9	23-15	12	20	20	12	20	20	3.86
	2020/11/9	23-20	12	21	21	12	21	21	3.85
	2020/11/9	23-26	12	17	17	12	17	17	3.85
	2020/11/9	23-31	15	21	21	15	21	21	3.85
	2020/11/9	23-37	14	18	18	14	18	18	3.86
	2020/11/9	23-42	12	17	18	12	17	18	3.85
	2020/11/9	23-48	11	17	18	11	17	18	3.85
	2020/11/9	23-53	12	18	19	12	18	19	3.85
	2020/11/9	23-59	14	19	21	14	19	21	3.84
	2020/11/10	0-4	12	18	18	12	18	18	3.85
	2020/11/10	0-10	14	21	21	14	21	21	3.85
	2020/11/10	0-15	14	21	24	14	21	24	3.85
	2020/11/10	0-21	12	17	21	12	17	21	3.85
	2020/11/10	0-26	11	15	17	11	15	17	3.84
	2020/11/10	0-32	12	18	21	12	18	21	3.85
	2020/11/10	0-38	12	19	19	12	19	19	3.84
	2020/11/10	0-43	12	19	21	12	19	21	3.84
	2020/11/10	0-49	11	18	19	11	18	19	3.85
	2020/11/10	0-54	12	19	19	12	19	19	3.85
	2020/11/10	1-0	12	17	18	12	17	18	3.85
	2020/11/10	1-5	12	17	18	12	17	18	3.84
	2020/11/10	1-11	12	17	18	12	17	18	3.84
	2020/11/10	1-16	11	17	19	11	17	19	3.85
	2020/11/10	1-22	9	15	19	9	15	19	3.85
	2020/11/10	1-27	12	18	19	12	18	19	3.84
	2020/11/10	1-33	11	15	15	11	15	15	3.84
	2020/11/10	1-38	12	18	19	12	18	19	3.84
	2020/11/10	1-44	12	17	18	12	17	18	3.85
	2020/11/10	1-49	8	14	15	8	14	15	3.84
	2020/11/10	1-55	9	17	17	9	17	17	3.84
	2020/11/10	2-0	11	15	18	11	15	18	3.84
	2020/11/10	2-6	11	15	16	11	15	16	3.84
	2020/11/10	2-12	12	19	22	12	19	22	3.84
	2020/11/10	2-17	12	16	18	12	16	18	3.83
	2020/11/10	2-23	11	15	15	11	15	15	3.84
	2020/11/10	2-28	11	16	19	11	16	19	3.84
	2020/11/10	2-34	9	14	15	9	14	15	3.84
	2020/11/10	2-39	12	18	19	12	18	19	3.84
	2020/11/10	2-45	9	14	15	9	14	15	3.83
	2020/11/10	2-50	12	16	18	12	16	18	3.82
	2020/11/10	2-56	12	18	18	12	18	18	3.84
	2020/11/10	3-1	11	16	18	11	16	18	3.84
	2020/11/10	3-7	12	18	19	12	18	19	3.84
	2020/11/10	3-12	14	18	19	14	18	19	3.84
	2020/11/10	3-18	9	14	15	9	14	15	3.84
	2020/11/10	3-23	14	18	19	14	18	19	3.84
	2020/11/10	3-29	12	16	18	12	16	18	3.83
	2020/11/10	3-35	11	15	16	11	15	16	3.84
	2020/11/10	3-40	11	15	16	11	15	16	3.83
	2020/11/10	3-46	11	15	15	11	15	15	3.83
	2020/11/10	3-51	12	17	17	12	17	17	3.84
	2020/11/10	3-57	11	15	15	11	15	15	3.83
	2020/11/10	4-2	9	14	16	9	14	16	3.83
	2020/11/10	4-8	11	14	15	11	14	15	3.83
	2020/11/10	4-13	9	15	17	9	15	17	3.83
	2020/11/10	4-19	11	15	16	11	15	16	3.83
	2020/11/10	4-24	9	14	15	9	14	15	3.83
	2020/11/10	4-30	11	17	19	11	17	19	3.83
	2020/11/10	4-35	11	14	18	11	14	18	3.83
	2020/11/10	4-41	12	17	17	12	17	17	3.82
	2020/11/10	4-46	11	16	18	11	16	18	3.83
	2020/11/10	4-52	11	14	15	11	14	15	3.81
	2020/11/10	4-57	9	14	16	9	14	16	3.83
	2020/11/10	5-3	12	18	18	12	18	18	3.84
	2020/11/10	5-9	11	15	19	11	15	19	3.82
	2020/11/10	5-14	9	14	14	9	14	14	3.82
	2020/11/10	5-20	11	19	21	11	19	21	3.83
	2020/11/10	5-25	14	18	18	14	18	18	3.82
	2020/11/10	5-31	12	17	19	12	17	19	3.82
	2020/11/10	5-36	11	16	21	11	16	21	3.82
	2020/11/10	5-42	12	19	21	12	19	21	3.82
	2020/11/10	5-47	9	16	16	9	16	16	3.82
	2020/11/10	5-53	11	16	16	11	16	16	3.82
	2020/11/10	5-58	11	17	18	11	17	18	3.81
	2020/11/10	6-4	12	18	18	12	18	18	3.82
	2020/11/10	6-9	12	16	19	12	16	19	3.82
	2020/11/10	6-15	12	18	18	12	18	18	3.82
	2020/11/10	6-20	11	17	18	11	17	18	3.82
	2020/11/10	6-26	11	15	16	11	15	16	3.82
	2020/11/10	6-32	14	18	21	14	18	21	3.8
	2020/11/10	6-37	14	18	21	14	18	21	3.82
	2020/11/10	6-43	18	24	28	18	24	28	3.82
	2020/11/10	6-48	15	22	24	15	22	24	3.81
	2020/11/10	6-54	15	21	22	15	21	22	3.82
	2020/11/10	6-59	15	21	21	15	21	21	3.81
	2020/11/10	7-5	18	24	28	18	24	28	3.81
	2020/11/10	7-10	16	24	25	16	24	25	3.81
	2020/11/10	7-16	17	25	29	17	25	29	3.81
	2020/11/10	7-21	17	26	32	17	26	32	3.81
	2020/11/10	7-27	17	26	32	17	26	32	3.81
	2020/11/10	7-32	17	22	24	17	22	24	3.81
	2020/11/10	7-38	19	26	26	19	26	26	3.8
	2020/11/10	7-43	16	22	24	16	22	24	3.81
	2020/11/10	7-49	18	26	31	18	26	31	3.81
	2020/11/10	7-55	18	25	26	18	25	26	3.8
	2020/11/10	8-0	19	25	26	19	25	26	3.8
	2020/11/10	8-6	19	28	32	19	28	32	3.81
	2020/11/10	8-11	17	22	24	17	22	24	3.8
	2020/11/10	8-17	18	25	25	18	25	25	3.78
	2020/11/10	8-22	18	27	32	18	27	32	3.81
	2020/11/10	8-28	19	27	28	19	27	28	3.8
	2020/11/10	8-33	17	24	25	17	24	25	3.8
	2020/11/10	8-39	17	25	31	17	25	31	3.8
	2020/11/10	8-44	18	26	28	18	26	28	3.79
	2020/11/10	8-50	18	25	28	18	25	28	3.8
	2020/11/10	8-55	18	25	28	18	25	28	3.8
	2020/11/10	9-1	17	24	26	17	24	26	3.8
	2020/11/10	9-6	18	28	29	18	28	29	3.8
	2020/11/10	9-12	16	24	25	16	24	25	3.79
	2020/11/10	9-17	12	19	19	12	19	19	3.8
	2020/11/10	9-23	15	22	26	15	22	26	3.79
	2020/11/10	9-29	15	24	25	15	24	25	3.8
	2020/11/10	9-34	15	19	21	15	19	21	3.8
	2020/11/10	9-40	15	24	24	15	24	24	3.79
	2020/11/10	9-45	15	24	25	15	24	25	3.79
	2020/11/10	9-51	14	19	24	14	19	24	3.79
	2020/11/10	9-56	14	18	18	14	18	18	3.79
	2020/11/10	10-2	14	19	19	14	19	19	3.79
	2020/11/10	10-7	14	21	24	14	21	24	3.79
	2020/11/10	10-13	14	21	22	14	21	22	3.78
	2020/11/10	10-18	15	22	25	15	22	25	3.78
	2020/11/10	10-24	14	19	22	14	19	22	3.76
	2020/11/10	10-29	14	18	19	14	18	19	3.79
	2020/11/10	10-35	14	21	21	14	21	21	3.78
	2020/11/10	10-40	14	22	24	14	22	24	3.79
	2020/11/10	10-46	15	24	26	15	24	26	3.78
	2020/11/10	10-52	15	21	24	15	21	24	3.78
	2020/11/10	10-57	12	19	19	12	19	19	3.78
	2020/11/10	11-3	14	19	21	14	19	21	3.78
	2020/11/10	11-8	15	19	26	15	19	26	3.77
	2020/11/10	11-14	14	18	18	14	18	18	3.78
	2020/11/10	11-19	14	19	19	14	19	19	3.78
	2020/11/10	11-25	14	21	25	14	21	25	3.78
	2020/11/10	11-30	14	22	22	14	22	22	3.77
	2020/11/10	11-36	15	19	22	15	19	22	3.78
	2020/11/10	11-41	11	17	18	11	17	18	3.76
	2020/11/10	11-47	14	21	25	14	21	25	3.77
	2020/11/10	11-52	15	19	19	15	19	19	3.77
	2020/11/10	11-58	14	19	19	14	19	19	3.78
	2020/11/10	12-3	12	21	21	12	21	21	3.77
	2020/11/10	12-9	11	17	19	11	17	19	3.77
	2020/11/10	12-15	12	21	26	12	21	26	3.77
	2020/11/10	12-20	11	17	19	11	17	19	3.74
	2020/11/10	12-26	9	15	17	9	15	17	3.77
	2020/11/10	12-31	11	17	17	11	17	17	3.77
	2020/11/10	12-37	11	15	19	11	15	19	3.76
	2020/11/10	12-42	9	14	15	9	14	15	3.76
	2020/11/10	12-48	8	12	14	8	12	14	3.76
	2020/11/10	12-53	8	12	12	8	12	12	3.76
	2020/11/10	12-59	8	12	14	8	12	14	3.75
	2020/11/10	4-13	7	11	11	7	11	11	3.75
	2020/11/10	10-13	7	11	11	7	11	11	3.76
	2020/11/10	13-15	8	12	12	8	12	12	3.76
	2020/11/10	13-21	8	14	14	8	14	14	3.76
	2020/11/10	13-26	5	8	8	5	8	8	3.75
	2020/11/10	13-32	5	11	11	5	11	11	3.76
	2020/11/10	13-37	8	11	11	8	11	11	3.75
	2020/11/10	13-43	7	9	9	7	9	9	3.73
	2020/11/10	13-49	5	8	8	5	8	8	3.75
	2020/11/10	13-54	7	11	11	7	11	11	3.75
	2020/11/10	14-0	7	11	11	7	11	11	3.75
	2020/11/10	5-14	7	12	14	7	12	14	3.75
	2020/11/10	11-14	8	11	11	8	11	11	3.75
	2020/11/10	14-16	8	11	12	8	11	12	3.75
	2020/11/10	14-22	7	11	12	7	11	12	3.74
	2020/11/10	14-27	5	9	12	5	9	12	3.74
	2020/11/10	14-33	8	9	9	8	9	9	3.75
	2020/11/10	14-38	9	14	14	9	14	14	3.74
	2020/11/10	14-44	7	11	11	7	11	11	3.74
	2020/11/10	14-49	8	12	15	8	12	15	3.74
	2020/11/10	14-55	7	11	12	7	11	12	3.72
	2020/11/10	15-0	7	9	9	7	9	9	3.74
	2020/11/10	6-15	8	11	11	8	11	11	3.74
	2020/11/10	12-15	7	11	12	7	11	12	3.74
	2020/11/10	15-17	8	12	12	8	12	12	3.74
	2020/11/10	15-23	8	11	12	8	11	12	3.74
	2020/11/10	15-28	8	12	12	8	12	12	3.73
	2020/11/10	15-34	7	11	11	7	11	11	3.73
	2020/11/10	15-39	5	9	11	5	9	11	3.73
	2020/11/10	15-45	7	9	11	7	9	11	3.74
	2020/11/10	15-50	7	9	11	7	9	11	3.73
	2020/11/10	15-56	8	14	15	8	14	15	3.73
	2020/11/10	1-16	7	11	12	7	11	12	3.73
	2020/11/10	7-16	4	7	8	4	7	8	3.73
	2020/11/10	12-16	7	9	11	7	9	11	3.73
	2020/11/10	16-18	5	8	9	5	8	9	3.73
	2020/11/10	16-23	7	9	11	7	9	11	3.73
	2020/11/10	16-29	5	9	11	5	9	11	3.73
	2020/11/10	16-35	7	9	11	7	9	11	3.73
	2020/11/10	16-40	7	9	12	7	9	12	3.72
	2020/11/10	16-46	7	12	14	7	12	14	3.72
	2020/11/10	16-51	5	11	15	5	11	15	3.72
	2020/11/10	16-57	7	11	12	7	11	12	3.72
	2020/11/10	2-17	7	11	11	7	11	11	3.72
	2020/11/10	8-17	8	12	12	8	12	12	3.71
	2020/11/10	17-13	7	9	9	7	9	9	3.72
	2020/11/10	17-19	7	9	9	7	9	9	3.71
	2020/11/10	17-24	5	8	8	5	8	8	3.72
	2020/11/10	17-30	5	8	9	5	8	9	3.72
	2020/11/10	17-35	7	11	11	7	11	11	3.72
	2020/11/10	17-41	8	9	9	8	9	9	3.72
	2020/11/10	17-46	7	9	11	7	9	11	3.71
	2020/11/10	17-52	4	8	10	4	8	10	3.71
	2020/11/10	17-57	5	10	11	5	10	11	3.73
	2020/11/10	3-18	4	8	8	4	8	8	3.71
	2020/11/10	9-18	7	8	8	7	8	8	3.71
	2020/11/10	18-14	5	8	8	5	8	8	3.7
	2020/11/10	18-20	7	10	11	7	10	11	3.71
	2020/11/10	18-25	7	10	10	7	10	10	3.71
	2020/11/10	18-31	4	8	8	4	8	8	3.71
	2020/11/10	18-36	5	8	11	5	8	11	3.71
	2020/11/10	18-42	5	8	8	5	8	8	3.7
	2020/11/10	18-47	4	8	8	4	8	8	3.71
	2020/11/10	18-53	4	10	10	4	10	10	3.71
	2020/11/10	18-58	5	7	8	5	7	8	3.71
	2020/11/10	4-19	4	5	5	4	5	5	3.71
	2020/11/10	9-19	5	7	7	5	7	7	3.7
	2020/11/10	19-15	5	7	8	5	7	8	3.7
	2020/11/10	19-20	5	8	10	5	8	10	3.7
	2020/11/10	19-26	5	7	8	5	7	8	3.7
	2020/11/10	19-32	4	7	8	4	7	8	3.7
	2020/11/10	19-37	5	10	10	5	10	10	3.7
	2020/11/10	19-43	7	10	10	7	10	10	3.7
	2020/11/10	19-48	5	8	10	5	8	10	3.7
	2020/11/10	19-54	5	7	7	5	7	7	3.69
	2020/11/10	19-59	5	8	8	5	8	8	3.7
	2020/11/10	5-20	5	8	8	5	8	8	3.69
	2020/11/10	10-20	5	10	11	5	10	11	3.69
	2020/11/10	20-16	7	11	11	7	11	11	3.69
	2020/11/10	20-21	8	12	14	8	12	14	3.69
	2020/11/10	20-27	7	11	12	7	11	12	3.69
	2020/11/10	20-32	8	11	14	8	11	14	3.69
	2020/11/10	20-38	5	10	10	5	10	10	3.69
	2020/11/10	20-43	7	11	11	7	11	11	3.69
	2020/11/10	20-49	5	10	12	5	10	12	3.69
	2020/11/10	20-55	7	11	11	7	11	11	3.69
	2020/11/10	21-0	8	11	11	8	11	11	3.69
	2020/11/10	6-21	8	12	14	8	12	14	3.69
	2020/11/10	11-21	8	12	12	8	12	12	3.69
	2020/11/10	21-17	8	14	14	8	14	14	3.68
	2020/11/10	21-22	7	14	16	7	14	16	3.69
	2020/11/10	21-28	8	13	14	8	13	14	3.68
	2020/11/10	21-33	8	13	14	8	13	14	3.68
	2020/11/10	21-39	8	11	13	8	11	13	3.7
	2020/11/10	21-44	7	11	13	7	11	13	3.68
	2020/11/10	21-50	7	10	10	7	10	10	3.68
	2020/11/10	21-55	7	11	14	7	11	14	3.68
	2020/11/10	1-22	8	13	14	8	13	14	3.69
	2020/11/10	6-22	7	11	11	7	11	11	3.68
	2020/11/10	12-22	10	14	16	10	14	16	3.68
	2020/11/10	22-17	10	13	14	10	13	14	3.67
	2020/11/10	22-23	10	13	16	10	13	16	3.68
	2020/11/10	22-29	10	17	17	10	17	17	3.68
	2020/11/10	22-34	11	17	18	11	17	18	3.69
	2020/11/10	22-40	10	16	18	10	16	18	3.68
	2020/11/10	22-45	8	14	17	8	14	17	3.65
	2020/11/10	22-51	8	13	13	8	13	13	3.67
	2020/11/10	22-56	8	14	17	8	14	17	3.67
	2020/11/10	2-23	8	11	17	8	11	17	3.67
	2020/11/10	7-23	11	15	17	11	15	17	3.67
	2020/11/10	23-13	7	11	13	7	11	13	3.67
	2020/11/10	23-18	5	10	11	5	10	11	3.67
	2020/11/10	23-24	5	10	15	5	10	15	3.67
	2020/11/10	23-29	10	14	14	10	14	14	3.67
	2020/11/10	23-35	7	10	10	7	10	10	3.67
	2020/11/10	23-40	7	11	11	7	11	11	3.67
	2020/11/10	23-46	8	12	15	8	12	15	3.66
	2020/11/10	23-52	7	9	9	7	9	9	3.68
	2020/11/10	23-57	8	14	15	8	14	15	3.67
	2020/11/11	0-3	7	11	12	7	11	12	3.66
	2020/11/11	0-8	7	12	12	7	12	12	3.66
	2020/11/11	0-14	8	9	11	8	9	11	3.66
	2020/11/11	0-19	4	7	7	4	7	7	3.66
	2020/11/11	0-25	5	8	9	5	8	9	3.66
	2020/11/11	0-30	4	7	7	4	7	7	3.66
	2020/11/11	0-36	7	9	11	7	9	11	3.66
	2020/11/11	0-41	5	8	8	5	8	8	3.66
	2020/11/11	0-47	7	12	14	7	12	14	3.66
	2020/11/11	0-52	7	11	12	7	11	12	3.66
	2020/11/11	0-58	5	8	9	5	8	9	3.66
	2020/11/11	1-3	7	9	9	7	9	9	3.66
	2020/11/11	1-9	5	8	8	5	8	8	3.65
	2020/11/11	1-15	5	9	9	5	9	9	3.66
	2020/11/11	1-20	5	9	9	5	9	9	3.65
	2020/11/11	1-26	7	9	11	7	9	11	3.66
	2020/11/11	1-31	7	9	9	7	9	9	3.65
	2020/11/11	1-37	5	8	9	5	8	9	3.66
	2020/11/11	1-42	7	9	12	7	9	12	3.66
	2020/11/11	1-48	5	9	11	5	9	11	3.65
	2020/11/11	1-53	7	9	11	7	9	11	3.65
	2020/11/11	1-59	5	8	8	5	8	8	3.65
	2020/11/11	2-4	4	7	7	4	7	7	3.64
	2020/11/11	2-10	7	9	11	7	9	11	3.65
	2020/11/11	2-15	7	9	9	7	9	9	3.65
	2020/11/11	2-21	4	7	8	4	7	8	3.64
	2020/11/11	2-26	5	8	11	5	8	11	3.64
	2020/11/11	2-32	5	8	8	5	8	8	3.65
	2020/11/11	2-37	5	8	8	5	8	8	3.65
	2020/11/11	2-43	7	8	8	7	8	8	3.65
	2020/11/11	2-49	5	9	11	5	9	11	3.65
	2020/11/11	2-54	7	9	9	7	9	9	3.65
	2020/11/11	3-0	5	8	8	5	8	8	3.64
	2020/11/11	3-5	5	8	8	5	8	8	3.64
	2020/11/11	3-11	5	11	15	5	11	15	3.64
	2020/11/11	3-16	7	11	11	7	11	11	3.63
	2020/11/11	3-22	7	9	9	7	9	9	3.65
	2020/11/11	3-27	4	7	7	4	7	7	3.64
	2020/11/11	3-33	7	9	9	7	9	9	3.63
	2020/11/11	3-38	5	11	11	5	11	11	3.65
	2020/11/11	3-44	5	8	9	5	8	9	3.64
	2020/11/11	3-49	5	8	9	5	8	9	3.64
	2020/11/11	3-55	5	8	8	5	8	8	3.64
	2020/11/11	4-0	5	8	8	5	8	8	3.64
	2020/11/11	4-6	7	11	12	7	11	12	3.64
	2020/11/11	4-12	5	9	9	5	9	9	3.64
	2020/11/11	4-17	5	8	9	5	8	9	3.64
	2020/11/11	4-23	5	8	8	5	8	8	3.64
	2020/11/11	4-28	5	9	12	5	9	12	3.64
	2020/11/11	4-34	5	8	9	5	8	9	3.63
	2020/11/11	4-39	7	9	9	7	9	9	3.63
	2020/11/11	4-45	8	12	14	8	12	14	3.63
	2020/11/11	4-50	5	8	8	5	8	8	3.63
	2020/11/11	4-56	7	9	11	7	9	11	3.63
	2020/11/11	5-1	7	9	9	7	9	9	3.63
	2020/11/11	5-7	8	11	12	8	11	12	3.64
	2020/11/11	5-12	7	9	12	7	9	12	3.63
	2020/11/11	5-18	7	11	11	7	11	11	3.62
	2020/11/11	5-23	7	11	11	7	11	11	3.63
	2020/11/11	5-29	7	9	9	7	9	9	3.63
	2020/11/11	5-35	8	11	12	8	11	12	3.63
	2020/11/11	5-40	8	11	12	8	11	12	3.63
	2020/11/11	5-46	8	12	12	8	12	12	3.63
	2020/11/11	5-51	8	14	15	8	14	15	3.63
	2020/11/11	5-57	8	12	14	8	12	14	3.63
	2020/11/11	6-2	8	12	14	8	12	14	3.62
	2020/11/11	6-8	7	11	12	7	11	12	3.63
	2020/11/11	6-13	8	14	14	8	14	14	3.63
	2020/11/11	6-19	8	12	14	8	12	14	3.64
	2020/11/11	6-24	8	12	14	8	12	14	3.63
	2020/11/11	6-30	9	14	15	9	14	15	3.63
	2020/11/11	6-35	7	9	11	7	9	11	3.62
