数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
0	2020/11/4	0-4	3	6	6	3	6	6	4.09
1	2020/11/4	0-10	2	6	7	2	6	7	4.09
2	2020/11/4	0-15	4	7	8	4	7	8	4.09
3	2020/11/4	0-21	3	6	6	3	6	6	4.09
4	2020/11/4	0-26	3	7	8	3	7	8	4.09
5	2020/11/4	0-32	3	8	8	3	8	8	4.09
6	2020/11/4	0-37	3	7	8	3	7	8	4.09
7	2020/11/4	0-43	3	6	7	3	6	7	4.09
8	2020/11/4	0-48	3	7	7	3	7	7	4.09
9	2020/11/4	0-54	4	7	7	4	7	7	4.09
10	2020/11/4	0-59	3	6	6	3	6	6	4.09
11	2020/11/4	1-5	3	7	7	3	7	7	4.09
12	2020/11/4	1-10	4	8	9	4	8	9	4.09
13	2020/11/4	1-16	6	10	10	6	10	10	4.09
14	2020/11/4	1-21	8	13	17	8	13	17	4.09
15	2020/11/4	1-27	8	14	15	8	14	15	4.09
16	2020/11/4	1-32	7	13	13	7	13	13	4.09
17	2020/11/4	1-38	7	12	13	7	12	13	4.09
18	2020/11/4	1-43	6	9	9	6	9	9	4.09
19	2020/11/4	1-49	6	10	14	6	10	14	4.09
20	2020/11/4	1-54	6	12	15	6	12	15	4.09
21	2020/11/4	2-0	6	9	11	6	9	11	4.09
22	2020/11/4	2-5	4	9	12	4	9	12	4.09
23	2020/11/4	2-11	4	8	9	4	8	9	4.09
24	2020/11/4	2-16	4	8	9	4	8	9	4.09
25	2020/11/4	2-22	3	7	7	3	7	7	4.09
26	2020/11/4	2-27	4	9	11	4	9	11	4.09
27	2020/11/4	2-33	6	11	11	6	11	11	4.09
28	2020/11/4	2-38	4	8	8	4	8	8	4.09
29	2020/11/4	2-44	6	11	12	6	11	12	4.09
30	2020/11/4	2-49	3	6	6	3	6	6	4.09
31	2020/11/4	2-55	3	8	8	3	8	8	4.09
32	2020/11/4	3-0	4	8	12	4	8	12	4.09
33	2020/11/4	3-6	4	7	7	4	7	7	4.09
34	2020/11/4	3-11	4	8	9	4	8	9	4.09
35	2020/11/4	3-17	4	7	12	4	7	12	4.09
36	2020/11/4	3-22	4	8	9	4	8	9	4.09
37	2020/11/4	3-28	3	7	7	3	7	7	4.09
38	2020/11/4	3-33	4	9	11	4	9	11	4.09
39	2020/11/4	3-39	4	7	7	4	7	7	4.09
40	2020/11/4	3-44	4	8	8	4	8	8	4.09
41	2020/11/4	3-50	6	8	8	6	8	8	4.09
42	2020/11/4	3-55	4	8	9	4	8	9	4.09
