数据排序	年-	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压
2051	2020/11/11	19-33	11	17	18	11	17	18	4.15
2052	2020/11/11	19-38	10	17	21	10	17	21	4.15
2053	2020/11/11	19-44	14	20	21	14	20	21	4.15
2054	2020/11/11	19-49	11	16	17	11	16	17	4.15
2055	2020/11/11	19-55	9	15	17	9	15	17	4.15
2056	2020/11/11	20-0	11	16	17	11	16	17	4.15
2057	2020/11/11	6-20	11	16	16	11	16	16	4.15
2058	2020/11/11	11-20	10	15	17	10	15	17	4.15
2059	2020/11/11	20-17	12	18	18	12	18	18	4.15
2060	2020/11/11	20-22	16	21	22	16	21	22	4.15
2061	2020/11/11	20-28	17	22	22	17	22	22	4.15
2062	2020/11/11	20-33	12	18	18	12	18	18	4.15
2063	2020/11/11	20-39	12	17	17	12	17	17	4.15
2064	2020/11/11	20-44	16	21	23	16	21	23	4.15
2065	2020/11/11	20-50	17	23	25	17	23	25	4.15
2066	2020/11/11	20-55	15	19	21	15	19	21	4.15
2067	2020/11/11	1-21	28	33	36	25	33	36	4.15
2068	2020/11/11	6-21	18	23	25	18	23	25	4.15
2069	2020/11/11	12-21	18	23	23	18	23	23	4.15
2070	2020/11/11	21-17	16	22	22	16	22	22	4.15
2071	2020/11/11	21-23	16	22	26	16	22	26	4.15
2072	2020/11/11	21-28	18	23	24	18	23	24	4.15
2073	2020/11/11	21-34	18	23	23	18	23	23	4.15
2074	2020/11/11	21-39	17	23	23	17	23	23	4.15
2075	2020/11/11	21-45	19	26	29	19	26	29	4.15
2076	2020/11/11	21-50	19	24	28	19	24	28	4.15
2077	2020/11/11	21-56	18	24	28	18	24	28	4.15
2078	2020/11/11	1-22	17	22	22	17	22	22	4.15
2079	2020/11/11	7-22	29	36	38	26	35	38	4.15
2080	2020/11/11	12-22	22	28	28	22	28	28	4.15
2081	2020/11/11	22-18	22	26	29	22	26	29	4.15
2082	2020/11/11	22-23	22	29	33	22	29	33	4.15
2083	2020/11/11	22-29	12	18	18	12	18	18	4.15
2084	2020/11/11	22-34	27	34	37	25	34	37	4.15
2085	2020/11/11	22-40	20	26	27	20	26	27	4.15
2086	2020/11/11	22-45	10	17	20	10	17	20	4.15
2087	2020/11/11	22-51	6	12	12	6	12	12	4.15
2088	2020/11/11	22-56	16	23	23	16	23	23	4.15
2089	2020/11/11	2-23	13	18	19	13	18	19	4.15
2090	2020/11/11	7-23	10	14	16	10	14	16	4.15
2091	2020/11/11	23-13	9	14	17	9	14	17	4.15
2092	2020/11/11	23-18	13	21	21	13	21	21	4.15
2093	2020/11/11	23-24	21	29	33	21	29	33	4.15
2094	2020/11/11	23-29	19	24	27	19	24	27	4.15
2095	2020/11/11	23-35	16	21	21	16	21	21	4.15
2096	2020/11/11	23-40	16	21	23	16	21	23	4.15
2097	2020/11/11	23-46	12	18	21	12	18	21	4.15
2098	2020/11/11	23-51	12	19	20	12	19	20	4.15
2099	2020/11/11	23-57	13	18	23	13	18	23	4.15
2100	2020/11/12	0-2	12	17	17	12	17	17	4.15
2101	2020/11/12	0-8	15	22	23	15	22	23	4.15
2102	2020/11/12	0-13	17	23	25	17	23	25	4.15
2103	2020/11/12	0-19	15	21	22	15	21	22	4.15
2104	2020/11/12	0-24	10	16	16	10	16	16	4.15
2105	2020/11/12	0-30	18	23	24	18	23	24	4.15
2106	2020/11/12	0-35	20	25	25	20	25	25	4.15
2107	2020/11/12	0-41	18	23	24	18	23	24	4.15
2108	2020/11/12	0-46	16	21	22	16	21	22	4.15
2109	2020/11/12	0-52	19	24	24	19	24	24	4.15
2110	2020/11/12	0-57	19	23	24	19	23	24	4.15
2111	2020/11/12	1-3	11	16	18	11	16	18	4.15
2112	2020/11/12	1-8	20	27	28	20	27	28	4.15
2113	2020/11/12	1-14	9	15	16	9	15	16	4.15
2114	2020/11/12	1-19	12	16	17	12	16	17	4.15
2115	2020/11/12	1-25	9	14	14	9	14	14	4.15
2116	2020/11/12	1-30	18	25	27	18	25	27	4.15
2117	2020/11/12	1-36	9	15	18	9	15	18	4.15
2118	2020/11/12	1-41	18	23	23	18	23	23	4.15
2119	2020/11/12	1-47	18	23	24	18	23	24	4.15
2120	2020/11/12	1-52	10	15	15	10	15	15	4.15
2121	2020/11/12	1-58	11	17	17	11	17	17	4.15
2122	2020/11/12	2-3	12	16	19	12	16	19	4.15
2123	2020/11/12	2-9	11	18	19	11	18	19	4.15
2124	2020/11/12	2-14	12	18	18	12	18	18	4.15
2125	2020/11/12	2-20	12	19	19	12	19	19	4.15
2126	2020/11/12	2-25	13	19	20	13	19	20	4.15
2127	2020/11/12	2-31	14	22	23	14	22	23	4.15
2128	2020/11/12	2-36	19	26	26	19	26	26	4.15
2129	2020/11/12	2-42	12	19	21	12	19	21	4.15
2130	2020/11/12	2-47	12	17	18	12	17	18	4.15
2131	2020/11/12	2-53	11	17	17	11	17	17	4.15
2132	2020/11/12	2-58	11	17	18	11	17	18	4.15
2133	2020/11/12	3-4	12	18	21	12	18	21	4.15
2134	2020/11/12	3-9	10	16	17	10	16	17	4.15
2135	2020/11/12	3-15	13	18	19	13	18	19	4.15
2136	2020/11/12	3-20	11	17	18	11	17	18	4.15
2137	2020/11/12	3-26	12	18	20	12	18	20	4.15
2138	2020/11/12	3-31	13	19	20	13	19	20	4.15
2139	2020/11/12	3-37	16	23	24	16	23	24	4.15
2140	2020/11/12	3-42	15	22	22	15	22	22	4.15
2141	2020/11/12	3-48	12	17	18	12	17	18	4.15
2142	2020/11/12	3-53	12	17	19	12	17	19	4.15
2143	2020/11/12	3-59	11	17	18	11	17	18	4.15
2144	2020/11/12	4-4	15	19	20	15	19	20	4.15
2145	2020/11/12	4-10	13	20	21	13	20	21	4.15
2146	2020/11/12	4-16	13	19	21	13	19	21	4.15
2147	2020/11/12	4-21	11	18	19	11	18	19	4.15
2148	2020/11/12	4-27	12	17	18	12	17	18	4.15
2149	2020/11/12	4-32	11	19	20	11	19	20	4.15
2150	2020/11/12	4-38	10	13	13	10	13	13	4.15
2151	2020/11/12	4-43	11	17	18	11	17	18	4.15
2152	2020/11/12	4-49	11	19	21	11	19	21	4.15
2153	2020/11/12	4-54	10	16	18	10	16	18	4.15
2154	2020/11/12	5-0	10	16	17	10	16	17	4.15
2155	2020/11/12	5-5	11	17	18	11	17	18	4.15
2156	2020/11/12	5-11	11	15	19	11	15	19	4.15
2157	2020/11/12	5-16	10	17	18	10	17	18	4.15
2158	2020/11/12	5-22	11	17	18	11	17	18	4.15
2159	2020/11/12	5-27	10	17	18	10	17	18	4.15
2160	2020/11/12	5-33	12	19	19	12	19	19	4.15
2161	2020/11/12	5-38	12	19	20	12	19	20	4.15
2162	2020/11/12	5-44	12	20	22	12	20	22	4.15
2163	2020/11/12	5-49	15	20	22	15	20	22	4.15
2164	2020/11/12	5-55	13	19	24	13	19	24	4.15
2165	2020/11/12	6-0	18	24	24	18	24	24	4.15
2166	2020/11/12	6-6	17	24	24	17	24	24	4.15
2167	2020/11/12	6-11	17	23	24	17	23	24	4.15
2168	2020/11/12	6-17	16	20	22	16	20	22	4.15
2169	2020/11/12	6-22	16	24	25	16	24	25	4.15
2170	2020/11/12	6-28	15	20	22	15	20	22	4.15
2171	2020/11/12	6-33	12	17	18	12	17	18	4.15
2172	2020/11/12	6-39	13	19	20	13	19	20	4.15
2173	2020/11/12	6-44	11	16	17	11	16	17	4.15
2174	2020/11/12	6-50	11	17	18	11	17	18	4.15
2175	2020/11/12	6-55	13	18	19	13	18	19	4.15
2176	2020/11/12	7-1	12	19	19	12	19	19	4.15
2177	2020/11/12	7-6	12	17	18	12	17	18	4.15
2178	2020/11/12	7-12	11	17	18	11	17	18	4.15
2179	2020/11/12	7-17	14	22	24	14	22	24	4.15
2180	2020/11/12	7-23	14	19	19	14	19	19	4.15
2181	2020/11/12	7-28	13	19	23	13	19	23	4.15
2182	2020/11/12	7-34	18	24	24	18	24	24	4.15
2183	2020/11/12	7-39	13	22	23	13	22	23	4.15
2184	2020/11/12	7-45	13	20	22	13	20	22	4.15
2185	2020/11/12	7-50	12	20	23	12	20	23	4.15
2186	2020/11/12	7-56	16	22	24	16	22	24	4.15
2187	2020/11/12	8-1	14	21	23	14	21	23	4.15
2188	2020/11/12	8-7	12	18	18	12	18	18	4.15
2189	2020/11/12	8-12	14	19	22	14	19	22	4.15
2190	2020/11/12	8-18	18	28	33	18	28	33	4.15
2191	2020/11/12	8-23	23	31	33	23	31	33	4.15
2192	2020/11/12	8-29	15	23	25	15	23	25	4.15
2193	2020/11/12	8-34	11	18	19	11	18	19	4.15
2194	2020/11/12	8-40	15	23	24	15	23	24	4.15
2195	2020/11/12	8-45	15	22	23	15	22	23	4.15
2196	2020/11/12	8-51	12	17	21	12	17	21	4.15
2197	2020/11/12	8-56	12	21	21	12	21	21	4.15
2198	2020/11/12	9-2	13	22	22	13	22	22	4.15
2199	2020/11/12	9-7	13	19	22	13	19	22	4.15
2200	2020/11/12	9-13	15	22	22	15	22	22	4.15
2201	2020/11/12	9-18	13	19	20	13	19	20	4.15
2202	2020/11/12	9-24	15	23	25	15	23	25	4.15
2203	2020/11/12	9-29	24	33	33	23	33	33	4.15
2204	2020/11/12	9-35	16	23	25	16	23	25	4.15
2205	2020/11/12	9-40	15	19	21	15	19	21	4.15
2206	2020/11/12	9-46	25	33	35	24	33	35	4.12
2207	2020/11/12	9-51	27	35	36	25	34	36	4.12
2208	2020/11/12	9-57	8	14	14	8	14	14	4.13
2209	2020/11/12	10-2	9	14	14	9	14	14	4.12
2210	2020/11/12	10-8	7	12	13	7	12	13	4.12
2211	2020/11/12	10-13	6	12	12	6	12	12	4.12
2212	2020/11/12	10-19	8	13	13	8	13	13	4.12
2213	2020/11/12	10-25	10	13	14	10	13	14	4.12
2214	2020/11/12	10-30	10	13	13	10	13	13	4.12
2215	2020/11/12	10-36	20	27	29	20	27	29	4.11
2216	2020/11/12	10-41	15	20	20	15	20	20	4.11
2217	2020/11/12	10-47	13	18	19	13	18	19	4.11
2218	2020/11/12	10-52	11	15	15	11	15	15	4.11
2219	2020/11/12	10-58	10	14	16	10	14	16	4.11
2220	2020/11/12	11-3	11	16	16	11	16	16	4.11
2221	2020/11/12	11-9	9	14	16	9	14	16	4.11
2222	2020/11/12	11-14	8	14	14	8	14	14	4.1
2223	2020/11/12	11-20	8	13	13	8	13	13	4.11
2224	2020/11/12	11-25	7	11	13	7	11	13	4.11
2225	2020/11/12	11-31	9	13	14	9	13	14	4.1
2226	2020/11/12	11-36	27	32	33	25	32	33	4.11
2227	2020/11/12	11-42	32	36	36	27	35	36	4.1
2228	2020/11/12	11-47	23	26	29	22	26	29	4.1
2229	2020/11/12	11-53	25	29	29	24	29	29	4.1
2230	2020/11/12	11-59	29	35	35	26	34	35	4.1
2231	2020/11/12	12-4	22	27	27	22	27	27	4.1
2232	2020/11/12	12-10	18	25	26	18	25	26	4.1
2233	2020/11/12	12-15	13	18	19	13	18	19	4.08
2234	2020/11/12	12-21	16	22	22	16	22	22	4.09
2235	2020/11/12	12-26	24	28	31	23	28	31	4.09
2236	2020/11/12	12-32	31	38	38	27	36	38	4.08
2237	2020/11/12	12-37	29	35	35	26	34	35	4.09
2238	2020/11/12	12-43	12	17	17	12	17	17	4.09
2239	2020/11/12	12-48	16	19	21	16	19	21	4.09
2240	2020/11/12	12-54	18	24	25	18	24	25	4.09
2241	2020/11/12	12-59	32	39	40	28	37	40	4.18
2242	2020/11/12	4-13	17	24	25	17	24	25	4.17
2243	2020/11/12	10-13	17	25	25	17	25	25	4.17
2244	2020/11/12	13-15	23	30	31	23	30	31	4.17
2245	2020/11/12	13-21	24	30	31	23	30	31	4.17
2246	2020/11/12	13-26	25	31	32	24	31	32	4.17
2247	2020/11/12	13-32	21	28	29	21	28	29	4.17
2248	2020/11/12	13-37	18	25	25	18	25	25	4.17
2249	2020/11/12	13-43	20	27	27	20	27	27	4.17
2250	2020/11/12	13-48	20	25	25	20	25	25	4.16
2251	2020/11/12	13-54	19	28	30	19	28	30	4.16
2252	2020/11/12	13-59	24	31	32	23	31	32	4.16
2253	2020/11/12	5-14	25	32	32	24	32	32	4.15
2254	2020/11/12	10-14	14	21	21	14	21	21	4.15
2255	2020/11/12	14-16	15	22	22	15	22	22	4.15
2256	2020/11/12	14-21	16	21	21	16	21	21	4.15
2257	2020/11/12	14-27	17	24	25	17	24	25	4.15
2258	2020/11/12	14-32	19	28	32	19	28	32	4.15
2259	2020/11/12	14-38	19	28	28	19	28	28	4.15
2260	2020/11/12	14-43	18	27	28	18	27	28	4.15
2261	2020/11/12	14-49	18	25	28	18	25	28	4.15
2262	2020/11/12	14-54	22	29	31	22	29	31	4.15
2263	2020/11/12	15-0	29	36	38	27	35	38	4.15
2264	2020/11/12	5-15	22	28	30	22	28	30	4.15
2265	2020/11/12	11-15	29	37	38	27	36	38	4.15
2266	2020/11/12	15-16	20	27	29	20	27	29	4.15
2267	2020/11/12	15-22	30	36	37	27	35	37	4.15
2268	2020/11/12	15-27	22	28	29	22	28	29	4.15
2269	2020/11/12	15-33	20	28	31	20	28	31	4.15
2270	2020/11/12	15-38	24	30	33	23	30	33	4.15
2271	2020/11/12	15-44	22	25	27	22	25	27	4.15
2272	2020/11/12	15-49	24	32	35	23	32	35	4.15
2273	2020/11/12	15-55	24	31	34	23	31	34	4.15
2274	2020/11/12	16-0	24	31	32	23	31	32	4.15
2275	2020/11/12	6-16	23	29	31	23	29	31	4.15
2276	2020/11/12	11-16	23	30	30	23	30	30	4.15
2277	2020/11/12	16-17	18	24	26	18	24	26	4.15
2278	2020/11/12	16-22	14	17	19	14	17	19	4.15
2279	2020/11/12	16-28	12	17	17	12	17	17	4.15
2280	2020/11/12	16-33	9	14	15	9	14	15	4.15
2281	2020/11/12	16-39	14	19	22	14	19	22	4.15
2282	2020/11/12	16-44	12	19	23	12	19	23	4.15
2283	2020/11/12	16-50	17	25	26	17	25	26	4.15
2284	2020/11/12	16-55	18	24	26	18	24	26	4.15
2285	2020/11/12	1-17	15	22	24	15	22	24	4.15
2286	2020/11/12	6-17	19	26	28	19	26	28	4.15
2287	2020/11/12	12-17	21	28	29	21	28	29	4.15
2288	2020/11/12	17-17	19	28	30	19	28	30	4.15
2289	2020/11/12	17-23	21	26	26	21	26	26	4.15
2290	2020/11/12	17-28	23	30	31	23	30	31	4.15
2291	2020/11/12	17-34	22	28	30	22	28	30	4.15
2292	2020/11/12	17-39	22	30	31	22	30	31	4.15
2293	2020/11/12	17-45	24	32	36	23	32	36	4.15
2294	2020/11/12	17-50	24	31	31	23	31	31	4.15
2295	2020/11/12	17-56	24	31	31	23	31	31	4.15
2296	2020/11/12	1-18	24	31	31	23	31	31	4.15
2297	2020/11/12	7-18	27	34	36	25	34	36	4.15
2298	2020/11/12	12-18	31	41	41	28	38	41	4.15
2299	2020/11/12	18-18	27	37	39	25	36	39	4.15
2300	2020/11/12	18-23	25	34	36	24	34	36	4.15
2301	2020/11/12	18-29	29	37	38	27	36	38	4.15
2302	2020/11/12	18-34	25	36	38	24	35	38	4.15
2303	2020/11/12	18-40	25	33	36	24	33	36	4.15
2304	2020/11/12	18-45	19	26	28	19	28	29	4.15
2305	2020/11/12	18-51	15	24	25	15	24	25	4.15
2306	2020/11/12	18-56	17	23	24	17	23	24	4.15
2307	2020/11/12	2-19	15	19	19	15	19	19	4.15
2308	2020/11/12	7-19	15	21	23	15	21	23	4.15
2309	2020/11/12	19-13	16	23	24	16	23	24	4.15
2310	2020/11/12	19-18	15	21	22	15	21	22	4.15
2311	2020/11/12	19-24	19	26	29	19	26	29	4.15
2312	2020/11/12	19-29	13	22	23	13	22	23	4.15
2313	2020/11/12	19-35	12	18	19	12	18	19	4.15
2314	2020/11/12	19-40	13	19	19	13	19	19	4.15
2315	2020/11/12	19-46	11	16	18	11	16	18	4.15
2316	2020/11/12	19-51	26	32	34	25	32	34	4.15
2317	2020/11/12	19-57	25	31	32	24	31	32	4.15
2318	2020/11/12	2-20	22	27	28	22	27	28	4.15
2319	2020/11/12	8-20	18	24	24	18	24	24	4.15
2320	2020/11/12	20-13	16	20	21	16	20	21	4.15
2321	2020/11/12	20-19	17	25	27	17	25	27	4.15
2322	2020/11/12	20-24	16	23	25	16	23	25	4.15
2323	2020/11/12	20-30	15	21	23	15	21	23	4.15
2324	2020/11/12	20-35	16	24	26	16	24	26	4.15
2325	2020/11/12	20-41	20	27	28	20	27	28	4.15
2326	2020/11/12	20-46	24	30	31	23	30	31	4.15
2327	2020/11/12	20-52	24	28	30	23	28	30	4.15
2328	2020/11/12	20-57	25	29	29	24	29	29	4.15
2329	2020/11/12	3-21	13	21	24	13	21	24	4.15
2330	2020/11/12	8-21	33	41	42	28	38	42	4.15
2331	2020/11/12	21-14	33	42	46	28	39	46	4.15
2332	2020/11/12	21-19	28	35	36	26	34	36	4.15
2333	2020/11/12	21-25	22	31	33	22	31	33	4.15
2334	2020/11/12	21-30	14	22	23	14	22	23	4.15
2335	2020/11/12	21-36	17	23	26	17	23	26	4.15
2336	2020/11/12	21-41	15	23	25	15	23	25	4.15
2337	2020/11/12	21-47	28	36	37	26	35	37	4.15
2338	2020/11/12	21-53	26	36	37	25	35	37	4.15
2339	2020/11/12	21-58	20	28	29	20	28	29	4.15
2340	2020/11/12	4-22	25	35	39	24	33	39	4.15
2341	2020/11/12	9-22	21	31	31	21	31	31	4.15
2342	2020/11/12	22-15	20	27	28	20	27	28	4.15
2343	2020/11/12	22-20	21	29	30	21	29	30	4.15
2344	2020/11/12	22-26	19	25	25	19	25	25	4.15
2345	2020/11/12	22-31	17	28	28	17	28	28	4.15
2346	2020/11/12	22-37	15	23	24	15	23	24	4.15
2347	2020/11/12	22-42	14	20	20	14	20	20	4.15
2348	2020/11/12	22-48	31	39	42	26	36	42	4.15
2349	2020/11/12	22-53	16	24	26	16	24	26	4.15
2350	2020/11/12	22-59	15	26	27	15	26	27	4.15
2351	2020/11/12	4-23	16	24	26	16	24	26	4.15
2352	2020/11/12	10-23	25	33	34	24	33	34	4.15
2353	2020/11/12	23-15	21	30	31	21	30	31	4.15
2354	2020/11/12	23-21	24	34	35	23	33	35	4.15
2355	2020/11/12	23-26	22	31	35	22	31	35	4.15
2356	2020/11/12	23-32	23	31	32	22	31	32	4.15
2357	2020/11/12	23-37	19	29	33	19	29	33	4.15
2358	2020/11/12	23-43	17	25	25	17	25	25	4.15
2359	2020/11/12	23-48	17	26	31	17	26	31	4.15
2360	2020/11/12	23-54	21	29	31	21	29	31	4.15
2361	2020/11/12	23-59	16	26	26	16	26	26	4.15
2362	2020/11/13	0-5	18	27	27	18	27	27	4.15
2363	2020/11/13	0-10	18	28	29	18	28	29	4.15
2364	2020/11/13	0-16	21	31	34	21	31	34	4.15
2365	2020/11/13	0-21	21	28	33	21	28	33	4.15
2366	2020/11/13	0-27	25	36	38	24	35	38	4.15
2367	2020/11/13	0-32	22	32	33	22	32	33	4.15
2368	2020/11/13	0-38	26	35	36	24	34	36	4.15
2369	2020/11/13	0-43	15	24	25	15	24	25	4.15
2370	2020/11/13	0-49	16	26	27	16	26	27	4.15
2371	2020/11/13	0-54	16	23	27	16	23	27	4.15
2372	2020/11/13	1-0	17	26	26	17	26	26	4.15
2373	2020/11/13	1-5	17	25	27	17	25	27	4.15
2374	2020/11/13	1-11	19	29	29	19	29	29	4.15
2375	2020/11/13	1-16	20	27	29	20	27	29	4.15
2376	2020/11/13	1-22	15	23	25	15	23	25	4.15
2377	2020/11/13	1-27	15	24	25	15	24	25	4.15
2378	2020/11/13	1-33	21	29	30	21	29	30	4.15
2379	2020/11/13	1-38	23	31	32	22	31	32	4.15
2380	2020/11/13	1-44	26	34	35	24	33	35	4.15
2381	2020/11/13	1-49	28	37	40	25	35	40	4.15
2382	2020/11/13	1-55	30	38	40	26	35	40	4.15
2383	2020/11/13	2-0	19	24	25	19	24	25	4.15
2384	2020/11/13	2-6	18	23	25	18	23	25	4.15
2385	2020/11/13	2-11	22	29	29	22	29	29	4.15
2386	2020/11/13	2-17	25	32	33	24	32	33	4.15
2387	2020/11/13	2-22	25	31	32	24	31	32	4.15
2388	2020/11/13	2-28	25	32	36	24	32	36	4.15
2389	2020/11/13	2-33	23	31	33	22	31	33	4.15
2390	2020/11/13	2-39	16	23	25	16	23	25	4.15
2391	2020/11/13	2-44	18	27	30	18	27	30	4.15
2392	2020/11/13	2-50	16	25	25	16	25	25	4.15
2393	2020/11/13	2-55	14	22	23	14	22	23	4.15
2394	2020/11/13	3-1	14	21	21	14	21	21	4.15
2395	2020/11/13	3-6	16	24	24	16	24	24	4.15
2396	2020/11/13	3-12	15	23	25	15	23	25	4.15
2397	2020/11/13	3-17	15	23	23	15	23	23	4.15
2398	2020/11/13	3-23	15	21	22	15	21	22	4.15
2399	2020/11/13	3-28	16	23	24	16	23	24	4.15
2400	2020/11/13	3-34	15	21	22	15	21	22	4.15
2401	2020/11/13	3-39	14	21	21	14	21	21	4.15
2402	2020/11/13	3-45	19	24	28	19	24	28	4.15
2403	2020/11/13	3-50	16	22	27	16	22	27	4.15
2404	2020/11/13	3-56	21	29	31	21	29	31	4.15
2405	2020/11/13	4-1	16	23	24	16	23	24	4.15
2406	2020/11/13	4-7	22	31	32	22	31	32	4.15
2407	2020/11/13	4-12	19	26	27	19	26	27	4.15
2408	2020/11/13	4-18	17	27	29	17	27	29	4.15
2409	2020/11/13	4-23	29	35	37	25	34	37	4.15
2410	2020/11/13	4-29	27	33	36	24	33	36	4.15
2411	2020/11/13	4-34	27	33	38	24	33	38	4.15
2412	2020/11/13	4-40	25	33	33	24	33	33	4.15
2413	2020/11/13	4-45	17	23	26	17	23	26	4.15
2414	2020/11/13	4-51	18	25	27	18	25	27	4.15
2415	2020/11/13	4-56	18	24	27	18	24	27	4.15
2416	2020/11/13	5-2	18	27	27	18	27	27	4.15
2417	2020/11/13	5-7	18	24	28	18	24	28	4.15
2418	2020/11/13	5-13	15	22	22	15	22	22	4.15
2419	2020/11/13	5-18	15	23	24	15	23	24	4.15
2420	2020/11/13	5-24	18	26	31	18	26	31	4.15
2421	2020/11/13	5-29	20	27	29	20	27	29	4.15
2422	2020/11/13	5-35	20	27	27	20	27	27	4.15
2423	2020/11/13	5-40	20	27	28	20	27	28	4.15
2424	2020/11/13	5-46	20	28	28	20	28	28	4.15
2425	2020/11/13	5-51	21	28	28	21	28	28	4.15
2426	2020/11/13	5-57	18	26	26	18	26	26	4.15
2427	2020/11/13	6-2	18	25	25	18	25	25	4.15
2428	2020/11/13	6-8	19	27	27	19	27	27	4.15
2429	2020/11/13	6-13	17	27	28	17	27	28	4.15
2430	2020/11/13	6-19	19	27	28	19	27	28	4.15
2431	2020/11/13	6-24	18	26	28	18	26	28	4.15
2432	2020/11/13	6-30	18	25	26	18	25	26	4.15
2433	2020/11/13	6-35	15	22	22	15	22	22	4.15
2434	2020/11/13	6-41	19	25	27	19	25	27	4.15
2435	2020/11/13	6-46	19	27	28	19	27	28	4.15
2436	2020/11/13	6-52	19	28	29	19	28	29	4.15
2437	2020/11/13	6-57	20	28	28	20	28	28	4.15
2438	2020/11/13	7-3	20	30	31	20	30	31	4.15
2439	2020/11/13	7-8	18	25	27	18	25	27	4.15
2440	2020/11/13	7-14	21	31	33	21	31	33	4.15
2441	2020/11/13	7-19	21	33	35	21	33	35	4.15
2442	2020/11/13	7-25	18	26	28	18	26	28	4.15
2443	2020/11/13	7-30	18	26	27	18	26	27	4.15
2444	2020/11/13	7-36	18	26	27	18	26	27	4.15
2445	2020/11/13	7-41	23	35	36	22	34	36	4.15
2446	2020/11/13	7-47	20	30	34	20	30	34	4.15
2447	2020/11/13	7-52	27	41	46	25	37	46	4.15
2448	2020/11/13	7-58	21	28	31	21	28	31	4.15
2449	2020/11/13	8-3	21	33	35	21	33	35	4.15
2450	2020/11/13	8-9	21	31	33	21	31	33	4.15
2451	2020/11/13	8-14	28	38	44	26	36	44	4.15
2452	2020/11/13	8-20	30	39	39	27	37	39	4.15
2453	2020/11/13	8-25	26	35	38	25	34	38	4.15
2454	2020/11/13	8-31	21	32	34	21	32	34	4.15
2455	2020/11/13	8-36	21	29	30	21	29	30	4.15
2456	2020/11/13	8-42	21	31	33	21	31	33	4.15
2457	2020/11/13	8-48	22	31	34	22	31	34	4.15
2458	2020/11/13	8-53	22	33	36	22	33	36	4.15
2459	2020/11/13	8-59	22	34	38	22	34	38	4.15
2460	2020/11/13	9-4	20	32	34	20	32	34	4.15
2461	2020/11/13	9-10	20	29	33	20	29	33	4.15
2462	2020/11/13	9-15	23	34	34	22	34	34	4.15
2463	2020/11/13	9-21	24	34	34	22	34	34	4.15
2464	2020/11/13	9-26	24	35	36	22	34	36	4.15
2465	2020/11/13	9-32	25	35	36	24	34	36	4.15
2466	2020/11/13	9-37	24	35	37	22	34	37	4.15
2467	2020/11/13	9-43	25	35	39	24	34	39	4.15
2468	2020/11/13	9-48	27	39	40	25	36	40	4.15
2469	2020/11/13	9-54	21	32	33	21	32	33	4.15
2470	2020/11/13	9-59	25	35	37	24	34	37	4.15
2471	2020/11/13	10-5	21	32	33	21	32	33	4.15
2472	2020/11/13	10-10	22	33	34	22	33	34	4.15
2473	2020/11/13	10-16	21	30	30	21	30	30	4.15
2474	2020/11/13	10-21	21	29	31	21	29	31	4.15
2475	2020/11/13	10-27	26	35	35	25	34	35	4.15
2476	2020/11/13	10-32	24	32	34	22	32	34	4.15
2477	2020/11/13	10-38	25	35	38	24	34	38	4.15
2478	2020/11/13	10-43	24	32	32	22	32	32	4.15
2479	2020/11/13	10-49	22	32	34	22	32	34	4.15
2480	2020/11/13	10-54	24	33	35	23	33	35	4.15
2481	2020/11/13	11-0	26	35	38	25	34	38	4.15
2482	2020/11/13	11-5	25	33	33	24	33	33	4.15
2483	2020/11/13	11-11	25	35	38	24	34	38	4.15
2484	2020/11/13	11-16	25	34	35	24	34	35	4.15
2485	2020/11/13	11-22	25	34	38	24	34	38	4.15
2486	2020/11/13	11-27	24	33	35	23	33	35	4.15
2487	2020/11/13	11-33	24	33	34	23	33	34	4.15
2488	2020/11/13	11-38	24	32	33	23	32	33	4.15
2489	2020/11/13	11-44	22	33	34	22	33	34	4.15
2490	2020/11/13	11-49	32	43	45	27	40	45	4.15
2491	2020/11/13	11-55	20	31	33	20	31	33	4.15
2492	2020/11/13	12-0	21	33	33	21	33	33	4.15
2493	2020/11/13	12-6	24	34	36	22	34	36	4.15
2494	2020/11/13	12-11	22	29	31	22	29	31	4.15
2495	2020/11/13	12-17	22	33	34	22	33	34	4.15
2496	2020/11/13	12-22	22	31	31	22	31	31	4.15
2497	2020/11/13	12-28	21	31	32	21	31	32	4.15
2498	2020/11/13	12-33	22	32	32	22	32	32	4.15
2499	2020/11/13	12-39	21	31	35	21	31	35	4.15
2500	2020/11/13	12-44	19	31	31	19	31	31	4.15
2501	2020/11/13	12-50	20	28	30	20	28	30	4.15
2502	2020/11/13	12-55	21	31	33	21	31	33	4.15
2503	2020/11/13	1-13	21	30	34	21	30	34	4.15
2504	2020/11/13	6-13	20	31	34	20	31	34	4.15
2505	2020/11/13	12-13	21	30	33	21	30	33	4.15
2506	2020/11/13	13-17	23	31	31	23	31	31	4.15
2507	2020/11/13	13-23	24	33	36	23	33	36	4.15
2508	2020/11/13	13-28	23	33	37	23	33	37	4.15
2509	2020/11/13	13-34	25	35	39	24	34	39	4.15
2510	2020/11/13	13-39	25	34	36	24	34	36	4.15
2511	2020/11/13	13-45	27	36	39	25	35	39	4.15
2512	2020/11/13	13-50	31	41	42	27	38	42	4.15
2513	2020/11/13	13-56	31	40	42	27	38	42	4.15
2514	2020/11/13	1-14	31	39	41	27	36	41	4.15
