数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
0	20-11-3	23-37	2	5	5	2	5	5	4.17	
1	20-11-3	23-43	2	5	6	2	5	6	4.16	
2	20-11-3	23-48	5	8	11	5	8	11	4.16	
3	20-11-3	23-54	4	6	6	4	6	6	4.16	
4	20-11-3	23-59	4	6	9	4	6	9	4.16	
5	20-11-4	0-5	4	6	6	4	6	6	4.16	
6	20-11-4	0-10	2	5	5	2	5	5	4.16	
7	20-11-4	0-16	2	5	6	2	5	6	4.16	
8	20-11-4	0-21	2	5	5	2	5	5	4.16	
9	20-11-4	0-27	4	5	6	4	5	6	4.16	
10	20-11-4	0-32	4	5	5	4	5	5	4.16	
11	20-11-4	0-38	4	6	8	4	6	8	4.16	
12	20-11-4	0-43	4	6	8	4	6	8	4.16	
13	20-11-4	0-49	4	8	9	4	8	9	4.16	
14	20-11-4	0-54	2	4	5	2	4	5	4.16	
15	20-11-4	1-0	4	6	6	4	6	6	4.16	
16	20-11-4	1-5	2	4	5	2	4	5	4.16	
17	20-11-4	1-11	4	6	8	4	6	8	4.16	
18	20-11-4	1-16	6	11	13	6	11	13	4.16	
19	20-11-4	1-22	5	9	12	5	9	12	4.16	
20	20-11-4	1-27	8	11	15	8	11	15	4.16	
21	20-11-4	1-33	5	9	12	5	9	12	4.16	
22	20-11-4	1-38	6	11	13	6	11	13	4.16	
23	20-11-4	1-44	5	9	9	5	9	9	4.16	
24	20-11-4	1-49	5	9	11	5	9	11	4.16	
25	20-11-4	1-55	5	8	11	5	8	11	4.16	
26	20-11-4	2-0	4	6	6	4	6	6	4.16	
27	20-11-4	2-6	4	8	8	4	8	8	4.16	
28	20-11-4	2-11	4	8	11	4	8	11	4.16	
29	20-11-4	2-17	4	6	8	4	6	8	4.16	
30	20-11-4	2-22	5	8	8	5	8	8	4.16	
31	20-11-4	2-28	4	6	6	4	6	6	4.16	
32	20-11-4	2-33	4	8	8	4	8	8	4.16	
33	20-11-4	2-39	5	8	9	5	8	9	4.16	
34	20-11-4	2-44	4	6	6	4	6	6	4.16	
35	20-11-4	2-50	4	6	8	4	6	8	4.16	
36	20-11-4	2-55	4	6	8	4	6	8	4.16	
37	20-11-4	3-1	4	8	8	4	8	8	4.16	
38	20-11-4	3-6	5	8	9	5	8	9	4.16	
39	20-11-4	3-12	5	8	9	5	8	9	4.16	
40	20-11-4	3-17	2	6	8	2	6	8	4.16	
41	20-11-4	3-23	4	6	8	4	6	8	4.16	
42	20-11-4	3-28	5	8	9	5	8	9	4.16	
43	20-11-4	3-34	4	6	6	4	6	6	4.16	
44	20-11-4	3-39	5	8	8	5	8	8	4.16	
45	20-11-4	3-45	5	8	8	5	8	8	4.16	
46	20-11-4	3-50	4	6	6	4	6	6	4.16	
47	20-11-4	3-56	5	8	8	5	8	8	4.16	
48	20-11-4	4-1	4	6	6	4	6	6	4.16	
49	20-11-4	4-7	4	6	8	4	6	8	4.16	
50	20-11-4	4-12	4	8	8	4	8	8	4.16	
51	20-11-4	4-18	5	8	8	5	8	8	4.16	
52	20-11-4	4-23	4	6	8	4	6	8	4.16	
53	20-11-4	4-29	5	8	9	5	8	9	4.16	
54	20-11-4	4-34	4	5	8	4	5	8	4.16	
55	20-11-4	4-40	5	6	8	5	6	8	4.16	
56	20-11-4	4-45	4	6	6	4	6	6	4.16	
57	20-11-4	4-51	4	6	6	4	6	6	4.16	
58	20-11-4	4-56	5	8	8	5	8	8	4.16	
59	20-11-4	5-2	5	8	8	5	8	8	4.16	
60	20-11-4	5-7	6	9	9	6	9	9	4.16	
61	20-11-4	5-13	4	6	8	4	6	8	4.16	
62	20-11-4	5-18	5	8	8	5	8	8	4.16	
63	20-11-4	5-24	6	9	11	6	9	11	4.16	
64	20-11-4	5-29	5	9	9	5	9	9	4.16	
65	20-11-4	5-35	5	11	12	5	11	12	4.16	
66	20-11-4	5-40	5	8	8	5	8	8	4.16	
67	20-11-4	5-46	5	8	8	5	8	8	4.16	
68	20-11-4	5-51	5	8	8	5	8	8	4.16	
69	20-11-4	5-57	6	9	9	6	9	9	4.16	
70	20-11-4	6-2	6	8	8	6	8	8	4.16	
71	20-11-4	6-8	6	9	9	6	9	9	4.16	
72	20-11-4	6-13	5	11	11	5	11	11	4.16	
73	20-11-4	6-19	6	9	9	6	9	9	4.16	
74	20-11-4	6-24	8	11	11	8	11	11	4.16	
75	20-11-4	6-30	8	9	9	8	9	9	4.16	
76	20-11-4	6-35	6	8	11	6	8	11	4.16	
77	20-11-4	6-41	6	9	12	6	9	12	4.16	
78	20-11-4	6-46	6	11	11	6	11	11	4.16	
79	20-11-4	6-52	6	11	11	6	11	11	4.16	
80	20-11-4	6-57	6	11	12	6	11	12	4.16	
81	20-11-4	7-3	6	9	9	6	9	9	4.16	
82	20-11-4	7-8	6	9	13	6	9	13	4.16	
83	20-11-4	7-14	8	12	12	8	12	12	4.16	
84	20-11-4	7-19	8	11	12	8	11	12	4.16	
85	20-11-4	7-25	6	9	11	6	9	11	4.16	
86	20-11-4	7-30	6	9	9	6	9	9	4.16	
87	20-11-4	7-36	9	12	13	9	12	13	4.16	
88	20-11-4	7-41	9	13	16	9	13	16	4.11	
89	20-11-4	7-47	9	14	14	9	14	14	4.13	
90	20-11-4	7-53	8	13	13	8	13	13	4.13	
91	20-11-4	7-58	7	10	10	7	10	10	4.13	
92	20-11-4	8-4	8	11	11	8	11	11	4.13	
93	20-11-4	8-9	7	11	12	7	11	12	4.13	
94	20-11-4	8-15	7	11	17	7	11	17	4.13	
95	20-11-4	8-20	8	14	16	8	14	16	4.13	
96	20-11-4	8-26	8	12	14	8	12	14	4.12	
97	20-11-4	8-31	9	12	13	9	12	13	4.12	
98	20-11-4	8-37	9	13	15	9	13	15	4.12	
99	20-11-4	8-42	11	16	19	11	16	19	4.12	
100	20-11-4	8-48	11	13	16	11	13	16	4.12	
101	20-11-4	8-53	9	13	15	9	13	15	4.11	
102	20-11-4	8-59	8	13	13	8	13	13	4.11	
103	20-11-4	9-4	9	13	13	9	13	13	4.11	
104	20-11-4	9-10	9	13	17	9	13	17	4.11	
105	20-11-4	9-16	8	13	13	8	13	13	4.12	
106	20-11-4	9-21	9	12	13	9	12	13	4.11	
107	20-11-4	9-27	9	12	12	9	12	12	4.11	
108	20-11-4	9-32	9	10	10	9	10	10	4.09	
109	20-11-4	9-38	8	10	10	8	10	10	4.11	
110	20-11-4	9-43	8	10	10	8	10	10	4.11	
111	20-11-4	9-49	8	12	12	8	12	12	4.10	
112	20-11-4	9-54	6	9	10	6	9	10	4.11	
113	20-11-4	10-0	9	13	15	9	13	15	4.10	
114	20-11-4	10-5	10	16	19	10	16	19	4.10	
115	20-11-4	10-11	9	13	16	9	13	16	4.10	
116	20-11-4	10-16	11	15	15	11	15	15	4.10	
117	20-11-4	10-22	11	15	16	11	15	16	4.10	
118	20-11-4	10-27	6	10	10	6	10	10	4.09	
119	20-11-4	10-33	8	10	10	8	10	10	4.11	
120	20-11-4	10-38	6	9	10	6	9	10	4.09	
121	20-11-4	10-44	6	9	9	6	9	9	4.10	
122	20-11-4	10-50	8	10	10	8	10	10	4.09	
123	20-11-4	10-55	8	12	16	8	12	16	4.09	
124	20-11-4	11-1	8	10	10	8	10	10	4.09	
125	20-11-4	11-6	8	10	10	8	10	10	4.09	
126	20-11-4	11-12	6	9	10	6	9	10	4.09	
127	20-11-4	11-17	8	12	12	8	12	12	4.09	
128	20-11-4	11-23	9	13	14	9	13	14	4.09	
129	20-11-4	11-28	9	12	14	9	12	14	4.08	
130	20-11-4	11-34	6	9	10	6	9	10	4.09	
131	20-11-4	11-39	7	10	11	7	10	11	4.07	
132	20-11-4	11-45	9	13	13	9	13	13	4.08	
133	20-11-4	11-50	7	10	10	7	10	10	4.09	
134	20-11-4	11-56	7	11	11	7	11	11	4.08	
135	20-11-4	12-1	9	13	13	9	13	13	4.08	
136	20-11-4	12-7	9	11	13	9	11	13	4.06	
137	20-11-4	12-13	7	10	14	7	10	14	4.08	
138	20-11-4	12-18	9	13	13	9	13	13	4.07	
139	20-11-4	12-24	7	11	15	7	11	15	4.05	
140	20-11-4	12-29	11	15	17	11	15	17	4.08	
141	20-11-4	12-35	6	9	9	6	9	9	4.08	
142	20-11-4	12-40	9	13	13	9	13	13	4.08	
143	20-11-4	12-46	7	10	14	7	10	14	4.05	
144	20-11-4	12-51	7	10	13	7	10	13	4.07	
145	20-11-4	12-57	7	11	11	7	11	11	4.07	
146	20-11-4	13-2	6	9	10	6	9	10	4.07	
147	20-11-4	13-8	8	10	13	8	10	13	4.07	
148	20-11-4	13-13	6	9	13	6	9	13	4.05	
149	20-11-4	13-19	8	10	12	8	10	12	4.07	
150	20-11-4	13-24	6	10	10	6	10	10	4.07	
151	20-11-4	13-30	10	14	17	10	14	17	4.07	
152	20-11-4	13-35	9	13	16	9	13	16	4.07	
153	20-11-4	13-41	9	13	13	9	13	13	4.06	
154	20-11-4	13-47	9	12	13	9	12	13	4.07	
155	20-11-4	13-52	9	12	15	9	12	15	4.07	
156	20-11-4	13-58	8	15	16	8	15	16	4.06	
157	20-11-4	14-3	11	13	15	11	13	15	4.06	
158	20-11-4	14-9	9	13	18	9	13	18	4.06	
159	20-11-4	14-14	5	7	9	5	7	9	4.06	
160	20-11-4	14-20	8	12	13	8	12	13	4.06	
161	20-11-4	14-25	6	12	13	6	12	13	4.05	
162	20-11-4	14-31	8	9	11	8	9	11	4.06	
163	20-11-4	14-36	6	9	9	6	9	9	4.06	
164	20-11-4	14-42	6	9	11	6	9	11	4.06	
165	20-11-4	14-47	8	11	11	8	11	11	4.06	
166	20-11-4	14-53	6	11	12	6	11	12	4.06	
167	20-11-4	14-58	5	11	11	5	11	11	4.05	
168	20-11-4	15-4	6	9	13	6	9	13	4.05	
169	20-11-4	15-10	6	9	9	6	9	9	4.05	
170	20-11-4	15-15	6	11	11	6	11	11	4.05	
171	20-11-4	15-21	5	9	11	5	9	11	4.05	
172	20-11-4	15-26	8	12	12	8	12	12	4.05	
173	20-11-4	15-32	5	8	8	5	8	8	4.05	
174	20-11-4	15-37	6	9	9	6	9	9	4.05	
175	20-11-4	15-43	6	9	9	6	9	9	4.05	
176	20-11-4	15-48	5	8	9	5	8	9	4.05	
177	20-11-4	15-54	5	8	8	5	8	8	4.05	
178	20-11-4	15-59	8	9	9	8	9	9	4.02	
179	20-11-4	16-5	6	9	12	6	9	12	4.05	
180	20-11-4	16-10	5	9	9	5	9	9	4.05	
181	20-11-4	16-16	5	8	8	5	8	8	4.05	
182	20-11-4	16-21	5	8	8	5	8	8	4.05	
183	20-11-4	16-27	6	9	12	6	9	12	4.05	
184	20-11-4	16-33	6	9	9	6	9	9	4.04	
185	20-11-4	16-38	6	9	11	6	9	11	4.04	
186	20-11-4	16-44	8	11	11	8	11	11	4.04	
187	20-11-4	16-49	5	9	9	5	9	9	4.04	
188	20-11-4	16-55	6	9	9	6	9	9	4.04	
189	20-11-4	17-0	7	11	12	7	11	12	4.04	
190	20-11-4	17-6	7	9	9	7	9	9	4.04	
191	20-11-4	17-11	5	9	11	5	9	11	4.04	
192	20-11-4	17-17	7	9	12	7	9	12	4.04	
193	20-11-4	17-22	4	8	12	4	8	12	4.04	
194	20-11-4	17-28	5	7	7	5	7	7	4.04	
195	20-11-4	17-33	5	8	8	5	8	8	4.02	
196	20-11-4	17-39	7	9	11	7	9	11	4.03	
197	20-11-4	17-44	7	9	11	7	9	11	4.02	
198	20-11-4	17-50	7	8	9	7	8	9	4.02	
199	20-11-4	17-55	5	8	9	5	8	9	4.03	
200	20-11-4	18-1	5	9	9	5	9	9	4.03	
201	20-11-4	18-7	5	11	14	5	11	14	4.03	
202	20-11-4	18-12	5	9	9	5	9	9	4.03	
203	20-11-4	18-18	5	11	11	5	11	11	4.03	
204	20-11-4	18-23	7	9	9	7	9	9	4.03	
205	20-11-4	18-29	7	9	9	7	9	9	4.03	
206	20-11-4	18-34	7	9	11	7	9	11	4.02	
207	20-11-4	18-40	7	8	9	7	8	9	4.03	
208	20-11-4	18-45	5	9	11	5	9	11	4.03	
209	20-11-4	18-51	7	9	11	7	9	11	4.04	
210	20-11-4	18-56	7	11	11	7	11	11	4.03	
211	20-11-4	19-2	7	9	9	7	9	9	4.02	
212	20-11-4	19-7	7	9	9	7	9	9	4.01	
213	20-11-4	19-13	8	11	12	8	11	12	4.03	
214	20-11-4	19-18	8	11	12	8	11	12	4.03	
