数据排序	年月日	时分	PM1.0(标)	PM2.5(标)	PM10(标)	PM1.0(气)	PM2.5(气)	PM10(气)	电压	
1	2020/11/3	22-29	4	6	8	4	6	8	4.24	
2	2020/11/3	22-35	3	7	7	3	7	7	4.24	
3	2020/11/3	22-40	4	8	8	4	8	8	4.25	
4	2020/11/3	22-46	3	7	7	3	7	7	4.25	
5	2020/11/3	22-51	3	7	8	3	7	8	4.25	
6	2020/11/3	22-57	2	5	5	2	5	5	4.23	
7	2020/11/3	23-2	4	6	6	4	6	6	4.23	
8	2020/11/3	23-8	4	7	8	4	7	8	4.23	
9	2020/11/3	23-13	2	6	8	2	6	8	4.23	
10	2020/11/3	23-19	3	5	7	3	5	7	4.23	
11	2020/11/3	23-24	2	6	8	2	6	8	4.23	
12	2020/11/3	23-30	5	8	8	5	8	8	4.23	
13	2020/11/3	23-35	4	6	9	4	6	9	4.23	
14	2020/11/3	23-41	3	8	8	3	8	8	4.23	
15	2020/11/3	23-46	4	6	6	4	6	6	4.23	
16	2020/11/3	23-52	4	7	9	4	7	9	4.23	
17	2020/11/3	23-57	4	8	9	4	8	9	4.23	
18	2020/11/4	0-3	5	8	9	5	8	9	4.23	
19	2020/11/4	0-8	4	8	8	4	8	8	4.23	
20	2020/11/4	0-14	3	9	9	3	9	9	4.23	
21	2020/11/4	0-19	4	8	9	4	8	9	4.23	
22	2020/11/4	0-25	2	5	6	2	5	6	4.23	
23	2020/11/4	0-30	3	6	6	3	6	6	4.23	
24	2020/11/4	0-36	3	5	5	3	5	5	4.23	
25	2020/11/4	0-41	3	5	5	3	5	5	4.23	
26	2020/11/4	0-47	3	7	8	3	7	8	4.23	
27	2020/11/4	0-52	3	8	9	3	8	9	4.23	
28	2020/11/4	0-58	5	9	9	5	9	9	4.23	
29	2020/11/4	1-3	4	8	8	4	8	8	4.23	
30	2020/11/4	1-9	5	7	7	5	7	7	4.23	
31	2020/11/4	1-14	4	8	9	4	8	9	4.23	
32	2020/11/4	1-20	3	7	7	3	7	7	4.23	
33	2020/11/4	1-25	4	6	6	4	6	6	4.23	
34	2020/11/4	1-31	3	7	7	3	7	7	4.23	
35	2020/11/4	1-36	4	6	8	4	6	8	4.23	
36	2020/11/4	1-42	4	8	9	4	8	9	4.23	
37	2020/11/4	1-47	4	8	8	4	8	8	4.23	
38	2020/11/4	1-53	4	9	9	4	9	9	4.23	
39	2020/11/4	1-58	4	8	9	4	8	9	4.23	
