term,estimate,std.error,statistic,p.value,lag
Treatment,0.7759407060823964,2.045402339163165,0.37935847203531453,0.7097382565337613,1 day
Treatment,-2.3513260341980984,1.6067684964670201,-1.463388185272626,0.16711735883737702,2 days
Treatment,-3.4395631081464546,2.4100733313721108,-1.427161183592796,0.17710981667714976,4 days
Control,-8.901226138754257,5.066682528870397,-1.7568154483795457,0.09806612116165195,1 day
Control,-0.2935719340728478,2.5399148854030633,-0.11558337476582818,0.9095158901887083,2 days
Control,-0.009868819331723733,3.761326381937586,-0.0026237604317230164,0.997943564927596,4 days
